Date,Open,High,Low,Close,Volume
2016-01-04,64.71,66.76,64.1,66.72,2126915.0
2016-01-05,70.56,72.12,70.11,72.03,6385360.0
2016-01-06,71.0,71.45,68.42,69.52,2947128.0
2016-01-07,67.64,68.7,65.35,66.22,4091021.0
2016-01-08,67.43,67.95,64.73,65.62,3035650.0
2016-01-11,65.84,66.72,64.37,65.42,1744614.0
2016-01-12,65.98,66.54,63.07,65.22,2307841.0
2016-01-13,65.52,66.27,61.08,61.37,2544384.0
2016-01-14,60.8,62.6,57.54,61.78,3851460.0
2016-01-15,59.58,61.64,58.8,61.32,2377276.0
2016-01-19,62.21,63.15,60.74,61.49,2236286.0
2016-01-20,60.4,62.0,57.2,61.27,3311512.0
2016-01-21,61.29,64.5316,60.86,63.23,2420039.0
2016-01-22,65.1,66.94,64.29,66.44,3006038.0
2016-01-25,66.56,66.59,63.93,64.14,1865981.0
2016-01-26,64.76,67.6,64.44,67.4,1920822.0
2016-01-27,66.93,67.73,65.22,65.64,1893419.0
2016-01-28,66.85,67.4299,64.18,65.88,2228212.0
2016-01-29,65.92,68.7,65.8,68.66,2328829.0
2016-02-01,68.1,69.766,66.74,69.13,1963509.0
2016-02-02,68.05,68.74,65.61,66.13,1967549.0
2016-02-03,66.94,67.15,64.1,66.49,1760678.0
2016-02-04,66.39,68.49,66.05,67.2,1672840.0
2016-02-05,66.71,66.88,64.86,65.07,1656908.0
2016-02-08,63.5,65.07,62.96,64.18,2133231.0
2016-02-09,63.03,66.85,62.54,66.48,2393141.0
2016-02-10,64.66,65.72,63.79,64.41,2386873.0
2016-02-11,63.0,64.07,60.1,61.36,3051960.0
2016-02-12,62.3,62.8,58.08,60.99,2939943.0
2016-02-16,61.98,63.314,61.665,63.05,1652252.0
2016-02-17,63.7,64.2,62.17,63.47,2212910.0
2016-02-18,64.29,64.83,62.5,63.54,1803768.0
2016-02-19,63.03,63.5,61.44,62.76,1721566.0
2016-02-22,63.56,65.56,63.453,64.23,2374541.0
2016-02-23,63.8,64.56,61.265,61.79,3264088.0
2016-02-24,63.96,70.57,63.95,69.45,7957889.0
2016-02-25,69.33,72.518,68.54,72.25,5107476.0
2016-02-26,72.25,73.37,69.88,70.25,3541729.0
2016-02-29,70.28,73.71,70.0211,71.87,3395259.0
2016-03-01,71.36,71.41,68.37,69.02,3348255.0
2016-03-02,68.95,70.6,68.53,69.14,2038119.0
2016-03-03,69.58,70.5,68.66,69.71,1706355.0
2016-03-04,70.16,71.21,68.71,69.52,1926540.0
2016-03-07,69.17,70.4903,68.35,69.18,1358070.0
2016-03-08,68.45,69.17,66.5811,66.87,1719453.0
2016-03-09,67.29,68.75,66.7135,68.49,1566134.0
2016-03-10,68.32,69.53,67.81,69.25,1666307.0
2016-03-11,70.0,70.56,68.51,70.32,1861705.0
2016-03-14,70.35,71.18,69.6,70.89,1303922.0
2016-03-15,70.25,70.99,69.86,70.78,1283213.0
2016-03-16,70.15,73.1899,70.03,72.06,2329894.0
2016-03-17,72.39,73.53,71.7,73.21,1635269.0
2016-03-18,73.43,74.29,72.3,72.44,2284795.0
2016-03-21,72.21,72.62,71.0405,71.24,1599139.0
2016-03-22,70.62,71.57,70.23,71.29,1368996.0
2016-03-23,71.25,71.3,68.14,68.23,1925118.0
2016-03-24,67.98,68.84,66.6101,68.46,1511970.0
2016-03-28,68.55,69.3,67.53,68.4,1335381.0
2016-03-29,68.15,69.72,67.7575,69.3,1261047.0
2016-03-30,69.88,70.285,68.91,68.97,1268482.0
2016-03-31,68.73,69.64,68.4001,68.47,1392925.0
2016-04-01,67.88,68.47,66.78,67.48,1794893.0
2016-04-04,67.36,69.01,67.09,67.24,1578302.0
2016-04-05,65.23,65.97,62.3,62.42,4834685.0
2016-04-06,62.92,63.59,61.47,62.76,3187946.0
2016-04-07,62.43,62.7999,60.76,61.26,2425536.0
2016-04-08,61.95,62.14,60.2735,60.63,2148286.0
2016-04-11,61.0,61.213,59.63,59.96,2363214.0
2016-04-12,59.93,60.85,59.5,60.34,1488269.0
2016-04-13,61.25,63.094,61.04,61.65,2624000.0
2016-04-14,61.58,61.62,60.38,60.42,1801817.0
2016-04-15,60.33,60.938,59.27,59.59,1692934.0
