Date,Open,High,Low,Close,Volume
2016-01-04,4.6,4.72,4.57,4.65,9378296.0
2016-01-05,4.63,4.74,4.61,4.72,6858630.0
2016-01-06,4.66,4.78,4.64,4.76,12389639.0
2016-01-07,4.72,4.79,4.68,4.69,12467971.0
2016-01-08,4.74,4.77,4.64,4.67,13846781.0
2016-01-11,4.68,4.72,4.47,4.515,14505840.0
2016-01-12,4.56,4.57,4.37,4.38,17140804.0
2016-01-13,4.4,4.43,4.13,4.17,27519139.0
2016-01-14,4.2,4.37,3.96,4.37,23110989.0
2016-01-15,4.22,4.26,4.11,4.24,24824722.0
2016-01-19,4.28,4.32,4.16,4.18,15665807.0
2016-01-20,4.1,4.15,3.81,3.94,28272582.0
2016-01-21,4.01,4.1,3.9,4.0,29644816.0
2016-01-22,4.09,4.36,4.08,4.36,23209227.0
2016-01-25,4.34,4.4,4.19,4.19,13178221.0
2016-01-26,4.2,4.46,4.19,4.42,11435817.0
2016-01-27,4.41,4.51,4.35,4.45,14044727.0
2016-01-28,4.49,4.54,4.42,4.51,9892743.0
2016-01-29,4.55,4.58,4.5,4.55,12877665.0
2016-02-01,4.64,4.64,4.45,4.58,10147454.0
2016-02-02,4.51,4.54,4.34,4.35,12799456.0
2016-02-03,4.42,4.64,4.38,4.6,15768312.0
2016-02-04,4.62,4.89,4.62,4.7,26429498.0
2016-02-05,4.69,4.86,4.61,4.68,25876180.0
2016-02-08,4.63,4.66,4.21,4.32,19109683.0
2016-02-09,4.25,4.36,4.08,4.32,22689897.0
2016-02-10,4.36,4.37,4.105,4.17,18481938.0
2016-02-11,4.12,4.26,4.07,4.165,20949715.0
2016-02-12,4.2,4.29,4.06,4.24,19893918.0
2016-02-16,4.35,4.35,4.15,4.25,11779897.0
2016-02-17,4.32,4.47,4.28,4.42,13517886.0
2016-02-18,4.45,4.7,4.4,4.54,18100006.0
2016-02-19,4.54,4.545,4.37,4.44,11815432.0
2016-02-22,4.53,4.65,4.49,4.51,23203727.0
2016-02-23,4.74,5.09,4.64,5.08,52495085.0
2016-02-24,5.03,5.35,4.98,5.3,61804012.0
2016-02-25,5.35,5.38,5.13,5.31,39810094.0
2016-02-26,5.32,5.47,5.19,5.43,19529241.0
2016-02-29,5.4,5.52,5.36,5.41,29556853.0
2016-03-01,5.46,5.52,5.41,5.47,18889554.0
2016-03-02,5.48,5.68,5.43,5.63,16976484.0
2016-03-03,5.63,5.81,5.6,5.69,19465099.0
2016-03-04,5.69,5.85,5.52,5.57,27837688.0
2016-03-07,5.54,5.85,5.47,5.79,18808015.0
2016-03-08,5.76,5.77,5.52,5.65,21094001.0
2016-03-09,5.37,5.38,5.11,5.17,32435115.0
2016-03-10,5.01,5.36,4.97,5.32,26138480.0
2016-03-11,5.36,5.41,5.3,5.38,9252739.0
2016-03-14,5.29,5.39,5.25,5.34,11925763.0
2016-03-15,5.26,5.3,5.02,5.16,18544059.0
2016-03-16,5.12,5.36,5.045,5.34,16760698.0
2016-03-17,5.35,5.37,5.26,5.29,20155600.0
2016-03-18,5.25,5.36,5.25,5.28,17264554.0
2016-03-21,5.3,5.4,5.25,5.27,8387009.0
2016-03-22,5.25,5.34,5.23,5.31,7030569.0
2016-03-23,5.28,5.3,5.2,5.21,7376954.0
2016-03-24,5.21,5.28,5.07,5.27,9465093.0
2016-03-28,5.27,5.35,5.21,5.3,8221379.0
2016-03-29,5.31,5.47,5.26,5.47,9591396.0
2016-03-30,5.5,5.72,5.5,5.63,21837061.0
2016-03-31,5.66,5.72,5.59,5.59,23381753.0
2016-04-01,5.55,5.59,5.41,5.47,17361052.0
2016-04-04,5.5,5.515,5.39,5.42,13072748.0
2016-04-05,5.4,5.4339,5.22,5.23,14354873.0
2016-04-06,5.23,5.38,5.21,5.36,11486854.0
2016-04-07,5.31,5.46,5.3,5.34,37902954.0
2016-04-08,5.4,5.41,5.23,5.25,18531372.0
2016-04-11,5.25,5.3,5.18,5.24,15855793.0
2016-04-12,5.27,5.4,5.21,5.34,13576766.0
2016-04-13,5.37,5.37,5.26,5.36,24201987.0
2016-04-14,5.38,5.41,5.32,5.38,9092369.0
2016-04-15,5.36,5.42,5.34,5.41,11075624.0
2016-04-18,5.39,5.49,5.36,5.46,15790171.0
2016-04-19,5.46,5.68,5.455,5.68,16708644.0
2016-04-20,5.68,5.75,5.61,5.63,26278744.0
2016-04-21,5.63,5.71,5.52,5.55,17444522.0
2016-04-22,5.54,5.63,5.49,5.63,20710764.0
2016-04-25,5.61,5.635,5.51,5.55,7950234.0
2016-04-26,5.58,5.62,5.55,5.61,8752339.0
2016-04-27,5.62,5.695,5.54,5.63,9896530.0
2016-04-28,5.61,5.66,5.52,5.55,11448547.0
2016-04-29,5.54,5.56,5.41,5.56,17025022.0
2016-05-02,5.57,5.58,5.38,5.44,41093620.0
2016-05-03,5.46,5.47,5.07,5.22,49253337.0
2016-05-04,5.19,5.38,5.15,5.35,31823545.0
