Date,Open,High,Low,Close,Volume
2016-01-04,30.55,30.76,30.25,30.71,62875775.0
2016-01-05,30.68,30.84,30.45,30.74,55117900.0
2016-01-06,30.27,30.715,30.05,30.25,62647791.0
2016-01-07,29.65,29.955,28.85,28.97,92216299.0
2016-01-08,29.2,29.3,28.34,28.45,74483885.0
2016-01-11,28.54,29.92,28.25,28.58,58427541.0
2016-01-12,28.76,28.875,28.34,28.64,47665873.0
2016-01-13,28.91,29.06,28.2,28.24,55717721.0
2016-01-14,28.31,29.25,28.29,29.06,65233884.0
2016-01-15,28.14,28.76,28.1,28.49,69415025.0
2016-01-19,28.72,28.8899,28.2,28.49,51978787.0
2016-01-20,27.93,28.43,27.48,28.0,88043054.0
2016-01-21,28.13,28.99,28.13,28.59,56022023.0
2016-01-22,28.55,28.56,27.71,28.24,87867933.0
2016-01-25,28.32,28.49,28.0,28.04,44844232.0
2016-01-26,28.07,28.54,28.05,28.31,42426687.0
2016-01-27,28.2,28.575,27.82,28.0,46109638.0
2016-01-28,28.22,28.35,27.93,28.21,40069281.0
2016-01-29,28.46,29.11,28.34,29.1,51569446.0
2016-02-01,29.01,29.03,28.56,28.64,43437074.0
2016-02-02,28.27,28.29,27.92,28.24,40069799.0
2016-02-03,28.39,28.69,27.87,28.67,44261122.0
2016-02-04,28.65,29.46,28.49,29.18,53994518.0
2016-02-05,29.15,29.2,28.3,28.54,51982629.0
2016-02-08,28.22,28.27,27.76,28.17,48095676.0
2016-02-09,27.75,28.54,27.75,28.28,37027655.0
2016-02-10,28.37,28.7,28.25,28.3,32485136.0
2016-02-11,27.75,28.03,27.1,27.45,80542521.0
2016-02-12,27.57,28.26,27.36,28.26,57644900.0
2016-02-16,28.58,29.03,28.42,28.86,47216039.0
2016-02-17,29.14,29.61,29.12,29.34,38253827.0
2016-02-18,29.3,29.345,28.99,29.08,31054052.0
2016-02-19,28.94,29.13,28.68,29.02,36064558.0
2016-02-22,29.25,29.485,29.2,29.41,38511529.0
2016-02-23,29.21,29.36,29.08,29.22,31149038.0
2016-02-24,28.9,29.05,28.4,28.96,44923373.0
2016-02-25,28.8,29.28,28.78,29.23,35880264.0
2016-02-26,29.3,29.56,29.29,29.4,29342309.0
2016-02-29,29.44,29.55,29.12,29.14,34152559.0
2016-03-01,29.41,29.97,29.31,29.88,32329596.0
2016-03-02,29.78,30.18,29.76,30.18,37212718.0
2016-03-03,30.2,30.4,30.06,30.22,28111715.0
2016-03-04,30.22,30.59,30.22,30.46,33032707.0
2016-03-07,30.26,30.45,30.13,30.29,26244587.0
2016-03-08,30.08,30.22,29.97,30.06,30537142.0
2016-03-09,30.16,30.2,29.97,30.05,24820109.0
2016-03-10,30.17,30.29,29.7938,29.94,33147925.0
2016-03-11,30.14,30.58,30.14,30.34,32156767.0
2016-03-14,30.22,30.37,30.08,30.27,22159646.0
2016-03-15,30.03,30.37,30.03,30.28,28899038.0
2016-03-16,30.24,30.31,30.065,30.17,32846963.0
2016-03-17,30.22,31.11,30.175,30.96,60642867.0
2016-03-18,31.09,31.15,30.9,30.92,52373900.0
2016-03-21,30.85,31.2,30.79,31.09,27367342.0
2016-03-22,30.98,31.24,30.97,31.06,26035117.0
2016-03-23,31.04,31.24,31.01,31.07,27233948.0
2016-03-24,30.91,31.11,30.82,31.11,27594273.0
2016-03-28,31.14,31.7,31.095,31.49,39474284.0
2016-03-29,31.46,31.58,31.28,31.48,38549776.0
2016-03-30,31.76,31.95,31.73,31.83,35090006.0
2016-03-31,31.89,32.05,31.76,31.79,36833998.0
2016-04-01,31.5,32.02,31.45,31.93,39397161.0
2016-04-04,31.69,31.71,31.085,31.23,44923327.0
2016-04-05,30.95,31.13,30.78,30.98,31281147.0
2016-04-06,30.89,31.5,30.64,30.9,36642705.0
2016-04-07,30.72,30.78,30.51,30.63,33561379.0
2016-04-08,30.9,31.075,30.69,30.79,26808243.0
2016-04-11,30.83,31.0,30.71,30.71,25125205.0
2016-04-12,30.68,30.93,30.58,30.81,27554426.0
2016-04-13,30.98,31.1,30.94,30.98,23625824.0
2016-04-14,30.99,31.08,30.86,31.02,21497161.0
2016-04-15,31.07,31.1,30.93,31.03,24436000.0
2016-04-18,30.9,31.19,30.9,31.06,21073404.0
2016-04-19,31.14,31.21,31.01,31.15,22869883.0
2016-04-20,31.2,31.35,31.05,31.15,26540750.0
2016-04-21,31.12,31.28,30.85,30.98,39641312.0
2016-04-22,31.03,31.18,30.31,30.76,56496103.0
2016-04-25,30.81,30.86,30.4,30.68,35476455.0
2016-04-26,30.84,30.98,30.735,30.9,28683652.0
2016-04-27,30.94,31.01,30.815,30.93,22942836.0
2016-04-28,30.74,31.22,30.7,30.9,28826417.0
2016-04-29,30.75,30.97,30.6,30.75,28899341.0
2016-05-02,30.64,30.99,30.63,30.89,17191087.0
2016-05-03,30.64,30.71,30.35,30.63,27706272.0
2016-05-04,30.4,30.415,29.89,30.07,39794461.0
2016-05-05,30.14,30.24,29.8,29.89,31694654.0
2016-05-06,29.68,30.24,29.41,30.12,28301031.0
2016-05-09,30.05,30.09,29.63,29.87,27153135.0
2016-05-10,29.99,30.56,29.98,30.48,27126418.0
2016-05-11,30.5,30.75,30.34,30.34,23609612.0
2016-05-12,29.84,30.195,29.84,30.09,47267196.0
2016-05-13,29.97,30.11,29.54,29.64,35266525.0
2016-05-16,29.55,30.13,29.52,29.96,25698303.0
2016-05-17,29.89,30.09,29.5837,29.71,33520126.0
2016-05-18,29.7,29.85,29.43,29.61,27805495.0
2016-05-19,29.33,29.45,29.06,29.36,34044846.0
