Date,Open,High,Low,Close,Volume
2016-01-04,33.45,33.54,32.84,33.31,14875381.0
2016-01-05,33.33,33.41,32.18,32.43,19755908.0
2016-01-06,31.95,31.98,31.01,31.27,27514380.0
2016-01-07,30.26,30.82,29.825,29.99,21030692.0
2016-01-08,30.46,30.7,29.42,29.53,16447761.0
2016-01-11,30.37,30.48,29.68,30.25,16870960.0
2016-01-12,30.63,30.745,29.8,30.3,13398035.0
2016-01-13,31.83,31.9,30.09,30.49,31586233.0
2016-01-14,30.81,30.89,29.45,30.3,27104499.0
2016-01-15,29.46,29.68,28.8,29.57,26697012.0
2016-01-19,29.93,30.0,28.91,29.4,17824081.0
2016-01-20,28.86,29.9,28.32,29.42,21480536.0
2016-01-21,29.46,30.135,29.07,29.55,15842177.0
2016-01-22,30.16,30.29,29.03,29.28,18300387.0
2016-01-25,29.33,29.59,29.015,29.23,33627093.0
2016-01-26,29.41,29.75,29.04,29.65,11656059.0
2016-01-27,29.72,29.9,29.0,29.21,12931488.0
2016-01-28,29.47,29.48,28.4,29.02,16419864.0
2016-01-29,29.17,29.64,29.02,29.64,13444558.0
2016-02-01,29.46,30.24,29.1,30.11,13830770.0
2016-02-02,29.99,30.19,28.87,29.65,23773472.0
2016-02-03,30.1,30.25,28.18,28.92,29059303.0
2016-02-04,28.94,29.21,28.1,28.64,20999876.0
2016-02-05,28.67,29.2,28.415,28.54,14123557.0
2016-02-08,28.28,28.839,28.05,28.68,19169858.0
2016-02-09,28.13,28.87,27.77,27.87,21648517.0
2016-02-10,28.12,28.64,27.69,27.71,15158321.0
2016-02-11,27.48,28.09,26.69,26.9,25161884.0
2016-02-12,27.23,27.74,27.05,27.71,11040924.0
2016-02-16,28.0,28.59,27.76,28.58,14619835.0
2016-02-17,28.86,29.35,28.7,29.27,13253505.0
2016-02-18,29.45,29.546,28.915,29.03,12157435.0
2016-02-19,28.88,28.98,28.38,28.78,12360841.0
2016-02-22,29.18,29.64,29.03,29.63,12206300.0
2016-02-23,29.41,29.82,29.28,29.38,9948121.0
2016-02-24,28.72,28.9,27.81,28.84,20986394.0
2016-02-25,28.83,29.51,28.55,29.5,11903268.0
2016-02-26,29.73,29.96,29.535,29.63,15777809.0
2016-02-29,29.37,29.8,29.29,29.44,10321926.0
2016-03-01,30.02,30.23,28.92,30.01,21005860.0
2016-03-02,30.0,30.32,29.84,30.15,12094359.0
2016-03-03,30.26,31.22,30.2,31.07,18340504.0
2016-03-04,31.22,31.74,31.06,31.37,13962678.0
2016-03-07,31.31,31.78,31.19,31.59,11373180.0
2016-03-08,31.4,31.4001,30.46,30.68,16765888.0
2016-03-09,30.47,30.63,30.2,30.54,12158796.0
2016-03-10,30.72,30.88,30.27,30.82,15092689.0
2016-03-11,31.05,31.33,30.98,31.26,13362519.0
2016-03-14,31.18,31.39,30.9,31.18,9353041.0
2016-03-15,30.86,31.08,30.44,31.05,8983477.0
2016-03-16,30.83,31.76,30.83,31.69,9991902.0
2016-03-17,31.73,32.1,31.636,31.96,11294914.0
2016-03-18,32.08,32.38,31.91,31.96,15431567.0
2016-03-21,32.11,32.19,31.75,32.08,7396392.0
2016-03-22,32.08,32.21,31.76,31.9,8195286.0
2016-03-23,31.92,31.93,31.17,31.31,9105813.0
2016-03-24,30.88,30.97,30.39,30.96,12041022.0
2016-03-28,31.13,31.25,30.94,31.02,6109293.0
2016-03-29,31.04,31.28,30.58,31.19,13667755.0
2016-03-30,31.44,31.67,30.955,30.99,13377401.0
2016-03-31,31.01,31.59,31.0,31.43,10208995.0
2016-04-01,31.18,31.2,30.32,30.47,17418124.0
2016-04-04,30.4,30.48,29.75,29.9,12165972.0
2016-04-05,29.67,29.73,29.35,29.6,9101869.0
2016-04-06,29.66,29.95,29.3,29.94,9619877.0
2016-04-07,29.85,29.95,29.18,29.42,12864618.0
2016-04-08,29.67,29.76,29.23,29.37,8842431.0
2016-04-11,29.49,30.04,29.48,29.53,8864568.0
2016-04-12,29.56,29.77,29.27,29.71,11214445.0
2016-04-13,30.01,30.87,29.94,30.78,11076770.0
2016-04-14,30.84,31.05,30.64,30.72,8198645.0
2016-04-15,30.68,30.85,30.405,30.56,8260763.0
2016-04-18,30.76,31.37,30.61,31.31,15741996.0
2016-04-19,31.65,32.16,31.6102,31.97,14407757.0
2016-04-20,32.0,32.41,32.0,32.19,12910452.0
2016-04-21,33.18,33.41,32.47,32.66,22791998.0
2016-04-22,32.66,32.79,32.12,32.18,13824407.0
2016-04-25,32.09,32.11,31.6,31.95,10604845.0
2016-04-26,32.0,32.3,31.93,32.19,8700790.0
2016-04-27,32.18,32.29,31.99,32.16,6711311.0
2016-04-28,31.97,32.73,31.73,32.44,13442016.0
2016-04-29,32.35,32.35,31.52,31.8,12532438.0
2016-05-02,32.05,32.12,31.7262,31.75,9794022.0
2016-05-03,31.57,31.6,30.665,31.25,15044344.0
2016-05-04,31.0,31.085,30.42,30.59,13708150.0
2016-05-05,30.79,30.81,30.3,30.54,10381903.0
2016-05-06,30.73,31.11,30.56,30.96,11427553.0
2016-05-09,31.0,31.07,30.54,30.78,8126275.0
2016-05-10,30.9,31.365,30.84,31.35,9184470.0
2016-05-11,31.32,31.46,31.0,31.08,8538025.0
2016-05-12,31.2,31.37,30.75,31.18,9411111.0
2016-05-13,30.87,31.285,30.37,30.52,10562575.0
2016-05-16,30.5,30.98,30.5,30.67,17749489.0
2016-05-17,30.4,30.775,30.28,30.63,9541781.0
2016-05-18,30.56,31.04,30.4362,30.75,8454169.0
2016-05-19,30.51,30.68,30.17,30.32,10142160.0
2016-05-20,30.51,30.79,30.4,30.57,7735485.0
2016-05-23,30.5,30.63,30.345,30.59,6698932.0
2016-05-24,30.65,31.08,30.62,31.05,8743126.0
2016-05-25,31.19,31.77,31.12,31.65,10152219.0
2016-05-26,31.65,31.75,31.18,31.29,6747686.0
2016-05-27,31.31,31.64,31.26,31.39,6089666.0
2016-05-31,31.54,31.62,31.13,31.28,11803307.0
2016-06-01,31.15,31.15,29.87,30.22,25997421.0
2016-06-02,30.13,30.46,30.05,30.26,12649256.0
2016-06-03,30.09,30.15,29.51,29.6,18547375.0
2016-06-06,29.85,30.04,29.72,29.99,10985050.0
2016-06-07,30.16,30.38,29.95,30.23,14425689.0
2016-06-08,30.0,30.03,29.52,29.57,12990855.0
2016-06-09,29.48,29.5,29.155,29.36,11907119.0
2016-06-10,29.22,29.34,28.98,29.06,10740357.0
2016-06-13,28.85,29.4,28.8,29.08,13871284.0
2016-06-14,29.07,29.31,28.65,28.83,10751572.0
2016-06-15,28.98,29.22,28.79,28.86,8479845.0
2016-06-16,28.67,29.07,28.5,29.02,9654391.0
2016-06-17,29.14,29.43,29.06,29.23,12707391.0
2016-06-20,29.62,30.03,29.59,29.65,12329065.0
2016-06-21,29.64,29.77,29.43,29.51,10317860.0
2016-06-22,29.34,29.59,29.27,29.32,8714079.0
2016-06-23,29.59,29.85,29.55,29.82,9589520.0
2016-06-24,28.58,29.04,28.25,28.35,30176942.0
2016-06-27,28.09,28.1,27.34,27.51,18645156.0
2016-06-28,27.93,27.98,27.4,27.74,14060960.0
2016-06-29,28.0,28.2,27.6,28.17,10644071.0
2016-06-30,28.18,29.66,27.7,28.3,15360601.0
2016-07-01,28.69,28.98,28.36,28.89,15156343.0
2016-07-05,28.64,28.68,28.04,28.17,12174286.0
2016-07-06,28.0,28.41,27.52,28.4,14630399.0
2016-07-07,28.49,29.055,28.42,28.74,10842314.0
2016-07-08,29.27,29.87,29.27,29.66,16659407.0
2016-07-11,29.79,30.27,29.74,30.13,13870121.0
2016-07-12,30.45,30.85,30.39,30.6,16787602.0
2016-07-13,30.63,30.69,30.22,30.63,13298372.0
2016-07-14,30.88,31.05,30.6,30.76,11302476.0
2016-07-15,30.82,30.98,30.57,30.77,8423965.0
2016-07-18,30.75,31.1,30.61,30.87,8732227.0
2016-07-19,30.7,31.27,30.7,31.25,17149291.0
2016-07-20,31.42,31.58,31.07,31.49,20903690.0
2016-07-21,32.56,32.87,31.83,32.03,36290005.0
2016-07-22,32.1,32.24,31.72,32.16,13305449.0
2016-07-25,32.19,32.36,31.96,32.06,11323530.0
2016-07-26,31.98,32.22,31.89,32.15,9457786.0
2016-07-27,32.18,32.29,31.97,32.02,9145890.0
2016-07-28,31.05,31.2,30.65,30.99,20363869.0
2016-07-29,30.79,31.55,30.78,31.54,16150459.0
2016-08-01,31.54,31.62,31.2,31.3,11190647.0
2016-08-02,31.03,31.08,29.82,29.93,24346905.0
2016-08-03,30.0,30.25,29.91,30.24,14503963.0
2016-08-04,30.24,30.53,30.23,30.34,8660875.0
2016-08-05,30.51,30.89,30.5,30.8,13135880.0
2016-08-08,30.92,31.06,30.8,30.88,10470883.0
2016-08-09,30.91,31.25,30.83,31.07,13691127.0
2016-08-10,31.03,31.27,30.96,31.25,10833721.0
2016-08-11,31.43,31.79,31.36,31.75,13210802.0
2016-08-12,31.6,31.75,31.5499,31.57,9840876.0
2016-08-15,31.59,31.89,31.55,31.86,9345275.0
2016-08-16,31.81,31.85,31.61,31.71,9888486.0
2016-08-17,31.71,31.88,31.55,31.85,8392391.0
2016-08-18,31.8,31.86,31.48,31.55,14089870.0
2016-08-19,31.48,31.89,31.4,31.83,8809347.0
2016-08-22,31.79,31.95,31.7,31.87,8306765.0
2016-08-23,31.97,32.05,31.87,31.9,10960584.0
2016-08-24,31.84,32.09,31.76,31.78,8179481.0
2016-08-25,31.71,31.75,31.355,31.54,15925247.0
2016-08-26,31.67,31.8235,31.42,31.53,10436238.0
2016-08-29,31.78,31.96,31.57,31.81,7708220.0
