Date,Open,High,Low,Close,Volume
2016-01-04,36.6,36.89,36.27,36.8,2050126.0
2016-01-05,37.0,37.34,36.785,36.94,1305540.0
2016-01-06,36.42,36.57,35.8,35.93,2521400.0
2016-01-07,35.4,35.59,34.8,34.9,1688870.0
2016-01-08,35.14,35.33,33.48,33.55,2429414.0
2016-01-11,33.89,33.98,32.85,33.2,2416438.0
2016-01-12,33.65,33.71,32.715,33.15,1729758.0
2016-01-13,33.28,33.47,32.37,32.46,1552535.0
2016-01-14,32.66,33.44,32.08,33.17,1973342.0
2016-01-15,32.08,32.75,32.02,32.52,2168778.0
2016-01-19,32.97,33.0,31.78,32.29,1268361.0
2016-01-20,31.81,32.65,30.93,32.35,1691026.0
2016-01-21,32.47,33.885,32.36,33.13,1814905.0
2016-01-22,33.64,34.2,33.46,33.84,1116219.0
2016-01-25,33.75,33.83,33.15,33.2,1045483.0
2016-01-26,33.43,34.14,33.31,33.84,722057.0
2016-01-27,33.74,34.27,33.46,33.75,1014273.0
2016-01-28,34.14,34.46,33.44,33.88,1010723.0
2016-01-29,34.04,35.23,33.92,35.18,2701098.0
2016-02-01,34.97,35.355,34.63,35.09,1047864.0
2016-02-02,34.75,34.775,33.92,34.13,942361.0
2016-02-03,34.49,34.77,33.58,34.22,1499577.0
2016-02-04,34.23,35.2,34.23,35.14,1400116.0
2016-02-05,34.93,35.14,34.33,34.69,1401669.0
2016-02-08,34.45,34.945,33.85,34.35,1374626.0
2016-02-09,34.03,34.84,33.47,33.95,1974485.0
2016-02-10,34.41,35.14,34.02,34.47,1475239.0
2016-02-11,32.83,34.42,32.83,33.84,1371249.0
2016-02-12,34.11,34.7699,33.49,34.36,1059371.0
2016-02-16,34.92,36.36,34.49,35.23,2730793.0
2016-02-17,38.25,41.97,37.59,41.06,7100579.0
2016-02-18,40.22,41.11,38.53,40.77,4216596.0
2016-02-19,40.56,40.865,39.575,39.97,2544803.0
2016-02-22,40.5,41.18,40.26,40.98,1553486.0
2016-02-23,40.65,40.97,40.26,40.74,1472866.0
2016-02-24,40.78,40.78,39.405,40.6,1357679.0
2016-02-25,40.55,40.8,39.83,40.31,1282091.0
2016-02-26,40.49,40.8,40.24,40.4,1027497.0
2016-02-29,40.39,40.83,40.175,40.51,1560538.0
2016-03-01,40.9,42.26,40.74,41.44,1761457.0
2016-03-02,41.33,41.72,40.741,40.92,1442263.0
2016-03-03,40.44,41.08,40.44,40.94,1641541.0
2016-03-04,40.88,41.245,40.49,40.74,1128995.0
2016-03-07,40.67,40.83,40.2911,40.47,1134323.0
2016-03-08,40.31,40.34,39.35,39.37,1399481.0
2016-03-09,39.72,39.79,39.14,39.27,1189380.0
2016-03-10,39.6,40.05,39.2103,39.83,1708626.0
2016-03-11,40.12,40.12,39.36,39.72,1438207.0
2016-03-14,39.27,39.4389,39.0888,39.27,1489253.0
2016-03-15,38.94,39.04,38.61,39.02,1028941.0
2016-03-16,38.97,39.48,38.62,39.35,1066762.0
2016-03-17,39.35,39.88,38.98,39.59,1299342.0
2016-03-18,39.6,39.805,39.35,39.63,2699689.0
2016-03-21,39.6,40.01,39.4511,39.91,953403.0
2016-03-22,39.85,40.08,39.72,39.97,801788.0
2016-03-23,39.83,39.94,39.22,39.33,776068.0
2016-03-24,39.16,39.16,38.4,38.97,787789.0
2016-03-28,39.04,39.38,38.91,39.1,628794.0
2016-03-29,39.1,39.65,38.58,39.49,501150.0
2016-03-30,39.69,40.05,39.5201,39.86,758093.0
2016-03-31,39.97,40.29,39.68,39.96,1221888.0
2016-04-01,39.67,39.78,38.95,39.69,1055075.0
2016-04-04,39.79,40.04,39.46,40.01,1058315.0
2016-04-05,40.06,40.3285,39.86,40.05,1374978.0
2016-04-06,39.97,40.1,39.42,40.02,748875.0
2016-04-07,39.77,40.21,39.32,39.57,1155009.0
2016-04-08,39.96,40.2,39.42,39.63,612637.0
2016-04-11,39.75,40.58,39.6,39.94,1351424.0
2016-04-12,40.12,40.58,40.0,40.42,925264.0
2016-04-13,40.94,42.42,40.715,42.32,2251542.0
2016-04-14,42.3,42.32,41.9,42.09,914883.0
2016-04-15,41.9,42.26,41.75,42.23,786870.0
2016-04-18,42.0,42.57,41.79,42.27,625169.0
2016-04-19,42.37,42.77,42.24,42.6,1186613.0
2016-04-20,42.5,43.1,42.36,42.89,983938.0
2016-04-21,43.04,43.1699,42.21,42.24,931182.0
2016-04-22,42.38,42.87,42.38,42.71,1062448.0
2016-04-25,42.55,42.63,41.875,42.08,1036121.0
2016-04-26,42.36,42.37,41.67,42.29,1754996.0
2016-04-27,42.95,44.42,42.56,43.88,2258611.0
2016-04-28,43.75,44.36,43.12,43.26,1364363.0
2016-04-29,43.09,43.19,42.23,42.63,1130649.0
2016-05-02,42.88,43.02,42.51,43.01,808422.0
2016-05-03,42.57,42.82,41.75,42.28,880620.0
2016-05-04,41.84,42.18,41.1966,41.28,1218262.0
2016-05-05,41.36,41.66,40.86,41.06,872432.0
2016-05-06,40.8,41.045,40.34,40.84,793978.0
2016-05-09,41.03,41.3299,40.33,40.41,979913.0
2016-05-10,40.74,40.92,40.2,40.83,1270889.0
2016-05-11,40.52,40.82,40.26,40.28,640076.0
2016-05-12,40.53,40.655,39.88,40.17,770311.0
2016-05-13,40.05,40.33,39.89,40.01,694620.0
2016-05-16,40.01,40.59,39.7,40.42,740996.0
2016-05-17,39.77,40.54,39.74,40.06,777964.0
2016-05-18,40.03,40.41,39.75,39.94,725405.0
2016-05-19,39.69,39.96,39.24,39.82,662063.0
2016-05-20,40.08,40.63,40.0,40.29,628816.0
2016-05-23,40.24,40.645,40.24,40.45,348258.0
2016-05-24,40.57,41.19,40.57,41.13,570886.0
2016-05-25,41.33,41.585,40.815,41.29,719581.0
2016-05-26,41.38,41.59,41.27,41.45,285530.0
2016-05-27,40.42,42.21,40.29,41.71,766167.0
2016-05-31,41.96,42.59,41.93,42.52,927592.0
2016-06-01,42.41,42.495,42.0,42.31,603905.0
2016-06-02,42.08,42.85,42.04,42.8,608330.0
2016-06-03,42.37,42.4999,41.8,42.38,969350.0
2016-06-06,42.61,42.97,42.4,42.79,893014.0
2016-06-07,42.89,43.25,42.81,43.22,892187.0
2016-06-08,43.22,43.53,43.12,43.22,664319.0
2016-06-09,43.09,43.28,42.84,43.24,601641.0
2016-06-10,43.06,43.06,42.41,42.51,735765.0
2016-06-13,42.31,42.73,42.11,42.43,788545.0
2016-06-14,42.35,42.61,41.9,42.53,673436.0
2016-06-15,42.75,42.85,42.15,42.22,729063.0
2016-06-16,41.6,42.14,41.11,41.87,598582.0
2016-06-17,41.84,42.57,41.75,42.08,1525283.0
2016-06-20,42.69,42.9,42.51,42.52,572147.0
2016-06-21,42.58,42.68,42.3,42.51,526240.0
2016-06-22,42.57,42.88,42.27,42.3,720241.0
2016-06-23,42.78,43.37,42.64,43.28,909621.0
2016-06-24,40.99,41.82,40.76,40.77,1579464.0
2016-06-27,40.38,40.55,39.29,39.68,973082.0
2016-06-28,39.96,40.76,39.78,40.61,985224.0
2016-06-29,40.75,41.51,40.67,41.43,812035.0
2016-06-30,41.83,42.43,41.11,42.42,909546.0
2016-07-01,42.43,42.72,42.228,42.47,749122.0
2016-07-05,42.4,42.4,41.6,41.91,601672.0
2016-07-06,41.87,42.05,41.355,42.02,848725.0
2016-07-07,42.15,43.1,41.89,42.59,859094.0
2016-07-08,42.88,43.44,42.7801,43.37,894674.0
2016-07-11,43.53,44.06,43.38,43.74,673628.0
2016-07-12,44.14,44.72,44.13,44.71,1251741.0
2016-07-13,44.75,44.75,44.15,44.31,540233.0
2016-07-14,44.9,45.34,44.6,44.74,762262.0
2016-07-15,44.87,45.07,44.69,45.01,669969.0
2016-07-18,45.21,45.74,45.12,45.43,783841.0
2016-07-19,45.41,45.76,45.241,45.66,703061.0
2016-07-20,45.69,45.95,45.42,45.7,503482.0
2016-07-21,45.63,45.94,45.4101,45.71,478071.0
2016-07-22,45.74,46.1,45.63,46.05,486586.0
2016-07-25,46.09,46.14,45.7,45.92,964503.0
2016-07-26,45.86,46.52,45.78,46.39,1186481.0
2016-07-27,50.27,52.14,50.12,51.79,5643630.0
2016-07-28,52.0,53.8,51.55,53.54,2974525.0
2016-07-29,53.6,54.86,53.36,54.33,2219385.0
2016-08-01,54.48,56.19,54.24,55.75,3015539.0
2016-08-02,55.52,55.83,54.66,54.86,1801368.0
2016-08-03,54.74,55.94,54.51,55.46,1356209.0
2016-08-04,53.85,55.05,53.75,54.54,2000750.0
2016-08-05,54.91,55.26,54.53,54.92,1434363.0
2016-08-08,55.19,55.29,54.7801,54.86,1108856.0
2016-08-09,55.03,55.19,54.235,54.36,1273423.0
2016-08-10,54.62,55.09,54.38,55.08,1450840.0
