Date,Open,High,Low,Close,Volume
2016-01-04,42.67,42.82,42.16,42.69,2808628.0
2016-01-05,42.77,43.585,42.61,43.37,3356136.0
2016-01-06,42.49,42.77,41.93,42.24,3053266.0
2016-01-07,41.27,41.85,41.01,41.2,3526271.0
2016-01-08,41.54,41.64,40.57,40.65,2984022.0
2016-01-11,40.94,41.14,40.32,40.92,3427272.0
2016-01-12,41.35,41.48,40.7,41.37,2872919.0
2016-01-13,42.01,42.01,40.03,40.09,3554695.0
2016-01-14,40.21,40.64,39.74,40.25,3041439.0
2016-01-15,39.09,39.7,38.61,39.08,4889243.0
2016-01-19,39.5,39.67,38.83,39.11,4046451.0
2016-01-20,38.42,38.45,36.54,37.87,6079372.0
2016-01-21,37.92,38.72,37.4,38.03,3667121.0
2016-01-22,38.74,38.93,38.34,38.71,3063618.0
2016-01-25,38.66,38.82,37.57,37.63,3180494.0
2016-01-26,38.04,38.83,38.04,38.6,2852298.0
2016-01-27,38.55,39.45,38.29,38.55,3375853.0
2016-01-28,39.05,39.08,38.37,38.9,1933969.0
2016-01-29,39.18,40.19,39.0,40.18,4228759.0
2016-02-01,39.87,40.1,39.61,39.89,2360745.0
2016-02-02,39.32,39.375,38.92,39.22,3132041.0
2016-02-03,39.54,39.68,38.06,38.94,3332056.0
2016-02-04,38.75,39.81,38.17,39.8,6205353.0
2016-02-05,40.77,42.3,40.43,40.54,6164662.0
2016-02-08,39.98,39.99,39.035,39.59,4612957.0
2016-02-09,39.03,40.275,38.8511,40.0,4875627.0
2016-02-10,40.2,40.67,39.72,39.74,3190869.0
2016-02-11,38.45,39.02,38.38,38.63,3604187.0
2016-02-12,39.44,40.83,39.34,40.79,3049047.0
2016-02-16,41.45,41.57,40.63,41.17,2773524.0
2016-02-17,41.63,42.08,41.54,41.91,2726340.0
2016-02-18,41.9,41.99,41.55,41.77,1827416.0
2016-02-19,41.62,41.9,41.375,41.78,1863961.0
2016-02-22,42.3,42.52,42.1,42.5,1893241.0
2016-02-23,42.29,42.4,41.54,41.72,1784783.0
2016-02-24,41.23,42.04,40.98,41.9,1677431.0
2016-02-25,42.12,42.73,41.96,42.73,1790268.0
2016-02-26,43.06,43.33,42.59,42.83,2384957.0
