Date,Open,High,Low,Close,Volume
2016-01-04,15.08,15.27,14.9,15.16,7723754.0
2016-01-05,15.21,15.41,15.03,15.39,8954083.0
2016-01-06,15.16,15.22,14.92,15.07,8897360.0
2016-01-07,14.9,15.1,14.53,14.55,7847765.0
2016-01-08,14.56,14.78,14.49,14.51,6623331.0
2016-01-11,14.47,14.84,14.45,14.75,10259613.0
2016-01-12,14.92,15.0,14.225,14.33,13354092.0
2016-01-13,14.34,14.36,13.38,13.46,13945633.0
2016-01-14,13.53,13.88,13.17,13.78,12012136.0
2016-01-15,13.36,13.45,12.86,13.16,10937044.0
2016-01-19,13.28,13.5,12.8,12.82,10988907.0
2016-01-20,12.63,13.0,12.17,12.83,12428508.0
2016-01-21,12.92,13.89,12.79,13.5,14841148.0
2016-01-22,13.75,14.305,13.575,13.8,19432075.0
2016-01-25,13.81,13.93,13.485,13.57,9534204.0
2016-01-26,13.63,14.12,13.59,13.87,13113618.0
2016-01-27,13.81,14.09,13.4,13.55,7579688.0
2016-01-28,13.73,13.82,13.11,13.19,11083776.0
2016-01-29,13.39,14.08,13.27,13.85,15907584.0
2016-02-01,13.72,13.88,13.55,13.71,6979324.0
2016-02-02,13.53,13.53,13.02,13.23,9583351.0
2016-02-03,13.33,13.68,12.98,13.64,10256173.0
2016-02-04,13.59,14.29,13.54,14.2,13723686.0
2016-02-05,14.12,14.54,13.91,14.15,11993864.0
2016-02-08,14.04,14.05,13.41,13.76,12926565.0
2016-02-09,13.56,14.34,13.56,13.85,11314228.0
2016-02-10,13.9,14.54,13.87,14.08,8472785.0
2016-02-11,13.83,14.04,13.6649,13.88,9800446.0
2016-02-12,14.07,14.48,13.98,14.42,9798452.0
2016-02-16,14.64,14.885,14.53,14.84,13977608.0
2016-02-17,15.57,16.0,14.6,14.97,20458248.0
2016-02-18,15.04,15.515,14.89,15.32,9495667.0
2016-02-19,15.17,15.27,14.89,15.06,8193134.0
2016-02-22,15.21,15.59,15.14,15.32,8763751.0
2016-02-23,15.23,15.46,14.93,14.96,7504673.0
2016-02-24,14.86,15.12,14.635,15.05,7537606.0
2016-02-25,15.14,15.51,14.99,15.51,7218831.0
2016-02-26,15.54,15.735,15.335,15.39,9182938.0
2016-02-29,15.42,15.54,15.24,15.31,8786500.0
2016-03-01,15.48,15.88,15.46,15.85,9658512.0
2016-03-02,15.82,16.0,15.78,15.95,8003395.0
2016-03-03,15.99,16.23,15.95,16.11,11328921.0
2016-03-04,16.18,16.58,16.13,16.49,7287275.0
2016-03-07,16.39,16.8475,16.3,16.84,9775729.0
2016-03-08,16.73,16.84,16.22,16.27,10660563.0
2016-03-09,16.32,16.37,15.99,16.17,9644144.0
2016-03-10,16.32,16.5,15.73,16.05,10025373.0
2016-03-11,16.29,16.67,16.17,16.63,9953176.0
2016-03-14,16.8,17.17,16.645,16.87,15992714.0
2016-03-15,16.65,16.73,16.37,16.56,7031775.0
2016-03-16,16.45,16.97,16.45,16.91,9350417.0
2016-03-17,16.98,16.98,16.12,16.75,14295604.0
2016-03-18,16.81,17.08,16.755,16.97,19795658.0
2016-03-21,16.99,17.26,16.67,16.82,8196528.0
2016-03-22,16.73,16.775,16.34,16.48,11057211.0
2016-03-23,16.48,16.51,16.01,16.18,11951682.0
2016-03-24,16.07,16.25,15.77,16.18,7300624.0
2016-03-28,16.22,16.44,16.02,16.34,5753885.0
2016-03-29,16.2,16.54,15.95,16.46,7475436.0
2016-03-30,16.55,16.77,16.45,16.46,5843849.0
2016-03-31,16.45,16.73,16.36,16.7,8354826.0
2016-04-01,16.47,16.47,15.995,16.06,11392783.0
2016-04-04,16.0,16.04,15.59,15.68,11262253.0
2016-04-05,15.55,15.58,15.2,15.44,14426425.0
2016-04-06,15.38,15.575,15.19,15.48,10167450.0
2016-04-07,15.38,15.465,15.15,15.29,9886792.0
2016-04-08,15.38,15.67,15.25,15.26,7815926.0
2016-04-11,15.39,15.73,15.34,15.53,7661995.0
2016-04-12,15.63,15.885,15.545,15.86,7524694.0
2016-04-13,15.98,16.12,15.87,16.1,6247200.0
2016-04-14,16.13,16.29,16.0399,16.09,9574065.0
2016-04-15,16.1,16.38,16.09,16.21,7311262.0
2016-04-18,16.08,16.14,15.82,15.86,8361423.0
2016-04-19,15.96,16.01,15.735,15.86,7523787.0
2016-04-20,15.85,15.91,15.53,15.54,9957491.0
2016-04-21,15.45,15.855,15.45,15.59,13538911.0
2016-04-22,15.66,15.81,15.0,15.34,19606281.0
2016-04-25,15.25,15.4,15.17,15.27,10830080.0
2016-04-26,15.33,15.64,15.28,15.51,10353901.0
2016-04-27,15.47,15.975,15.42,15.94,11896321.0
2016-04-28,15.77,16.15,15.75,15.82,15190555.0
2016-04-29,15.37,16.1,15.14,15.82,11998981.0
2016-05-02,15.9,16.14,15.82,16.01,8381151.0
2016-05-03,15.83,16.13,15.76,16.11,9678304.0
2016-05-04,15.94,16.265,15.93,16.16,8367515.0
2016-05-05,16.16,16.38,16.04,16.18,6031837.0
2016-05-06,16.14,16.42,16.1,16.36,7615537.0
2016-05-09,16.39,16.52,16.27,16.41,5451589.0
2016-05-10,16.53,16.72,16.5,16.67,5775835.0
2016-05-11,16.65,16.69,15.98,16.07,10739329.0
2016-05-12,16.14,16.28,15.69,15.89,9751331.0
2016-05-13,15.87,15.94,15.56,15.61,7811418.0
2016-05-16,15.63,15.79,15.6,15.63,6985285.0
2016-05-17,15.58,15.785,15.44,15.49,10817736.0
2016-05-18,15.57,15.57,14.81,15.0,18472558.0
2016-05-19,14.84,14.88,14.3,14.66,17185528.0
2016-05-20,14.72,14.81,14.43,14.58,7921061.0
2016-05-23,14.61,14.82,14.51,14.78,8153667.0
2016-05-24,14.91,15.13,14.82,15.07,11310854.0
2016-05-25,15.1,15.505,14.99,15.35,12336869.0
2016-05-26,15.34,15.38,15.12,15.2,6488953.0
2016-05-27,15.21,15.43,15.15,15.3,4546596.0
2016-05-31,15.29,15.49,15.155,15.4,7987008.0
2016-06-01,15.28,15.475,15.26,15.44,6759022.0
2016-06-02,15.37,16.005,15.3,15.77,13731981.0
2016-06-03,15.72,15.93,15.37,15.65,9276320.0
2016-06-06,15.69,16.48,15.5,15.68,7827078.0
2016-06-07,15.68,15.95,15.66,15.74,7618124.0
2016-06-08,15.75,15.83,15.55,15.69,9309024.0
2016-06-09,15.64,15.74,15.51,15.59,5943357.0
2016-06-10,15.43,15.51,15.31,15.4,6432415.0
2016-06-13,15.4,15.68,15.36,15.38,5847740.0
2016-06-14,15.35,15.595,15.32,15.54,8465264.0
2016-06-15,15.53,16.27,15.49,15.98,10308590.0
2016-06-16,15.88,16.06,15.67,16.04,9281287.0
2016-06-17,15.95,16.49,15.95,16.44,21600181.0
2016-06-20,16.58,16.85,16.51,16.55,9176404.0
2016-06-21,16.58,16.76,16.455,16.65,9840518.0
2016-06-22,16.69,16.895,16.57,16.8,8351881.0
2016-06-23,16.99,17.12,16.835,16.95,7334358.0
2016-06-24,16.42,16.47,15.7,15.7,19918821.0
2016-06-27,15.52,15.54,14.77,14.79,16118428.0
2016-06-28,14.85,15.39,14.85,15.15,11770586.0
2016-06-29,15.33,16.12,15.24,16.05,15163484.0
2016-06-30,16.06,16.21,15.79,16.21,10087585.0
2016-07-01,16.28,16.55,16.22,16.45,6167052.0
2016-07-05,16.31,16.36,15.93,16.09,6812679.0
2016-07-06,15.98,16.265,15.79,16.26,7110677.0
2016-07-07,16.31,16.97,16.245,16.41,8267798.0
2016-07-08,16.64,17.01,16.58,16.76,9307290.0
2016-07-11,16.9,17.18,16.81,16.99,7671995.0
2016-07-12,17.21,17.3,16.97,17.16,9559621.0
2016-07-13,16.91,16.96,16.22,16.48,15258753.0
2016-07-14,16.58,16.81,16.42,16.71,10338517.0
2016-07-15,16.77,17.01,16.48,16.98,8776714.0
2016-07-18,16.97,17.205,16.93,17.09,8023067.0
2016-07-19,16.97,17.265,16.76,17.25,9508256.0
2016-07-20,17.23,17.29,16.99,17.12,11199536.0
2016-07-21,17.1,17.69,17.005,17.51,13597883.0
2016-07-22,17.53,17.99,17.45,17.91,17487425.0
2016-07-25,17.94,18.17,17.79,17.96,10795541.0
2016-07-26,17.88,17.95,17.29,17.6,13128153.0
2016-07-27,17.46,17.46,16.905,17.14,18265169.0
2016-07-28,17.15,17.56,16.97,17.28,11305669.0
2016-07-29,17.25,17.84,17.17,17.74,17298122.0
2016-08-01,17.65,17.92,17.61,17.89,9116410.0
2016-08-02,17.89,17.985,17.42,17.44,9901442.0
2016-08-03,17.44,17.7,17.32,17.55,6686444.0
2016-08-04,17.54,17.68,17.24,17.38,7311288.0
2016-08-05,17.5,17.93,17.41,17.84,6868327.0
2016-08-08,17.91,18.28,17.85,18.24,11280856.0
2016-08-09,18.25,18.32,18.03,18.18,10432871.0
2016-08-10,18.24,18.345,18.07,18.2,9872164.0
2016-08-11,18.25,18.33,17.895,17.99,7495661.0
2016-08-12,17.85,18.13,17.81,18.02,5260074.0
2016-08-15,18.04,18.235,17.99,18.18,4580514.0
2016-08-16,18.1,18.25,17.985,18.15,5681592.0
2016-08-17,18.17,18.17,17.58,17.93,7786340.0
2016-08-18,17.91,18.12,17.91,18.1,8524266.0
2016-08-19,18.01,18.21,17.948,18.2,5832174.0
2016-08-22,18.19,18.37,18.14,18.37,4998873.0
2016-08-23,18.49,18.555,18.29,18.31,6566948.0
2016-08-24,18.34,18.41,18.13,18.27,6411872.0
2016-08-25,18.19,18.29,18.11,18.14,5505349.0
2016-08-26,18.27,18.32,17.84,17.96,8149399.0
2016-08-29,18.04,18.23,17.97,18.01,5060094.0
2016-08-30,18.07,18.1,17.79,18.09,4619839.0
2016-08-31,18.06,18.21,17.65,17.82,11878116.0
2016-09-01,17.88,17.88,17.295,17.57,10995597.0
2016-09-02,17.64,17.82,17.34,17.41,7008970.0
2016-09-06,17.43,17.53,17.01,17.07,11537553.0
2016-09-07,17.02,17.16,16.76,17.06,16419473.0
2016-09-08,16.99,17.02,16.79,16.81,12824350.0
2016-09-09,16.68,16.69,16.18,16.2,12837543.0
2016-09-12,16.09,16.36,16.07,16.19,12503799.0
2016-09-13,16.04,16.18,15.84,16.02,13111656.0
