Date,Open,High,Low,Close,Volume
2016-01-04,54.4,55.22,53.98,55.14,2637382.0
2016-01-05,55.31,55.7,54.42,54.55,2345313.0
2016-01-06,53.76,54.21,53.03,53.39,2288372.0
2016-01-07,52.31,52.56,51.575,51.8,2301351.0
2016-01-08,52.08,52.24,51.19,51.31,1841528.0
2016-01-11,51.6,51.93,50.94,51.48,2206324.0
2016-01-12,52.04,52.61,51.41,52.32,2044860.0
2016-01-13,52.71,52.98,51.32,51.39,2909072.0
2016-01-14,51.54,52.405,50.6,52.06,1915281.0
2016-01-15,50.62,52.03,50.56,51.74,2525229.0
2016-01-19,52.37,52.56,50.03,50.58,3519754.0
2016-01-20,49.94,49.94,47.082,48.92,4184863.0
2016-01-21,49.08,49.68,48.05,48.83,3168845.0
2016-01-22,49.41,50.82,49.32,50.46,1786493.0
2016-01-25,50.05,50.43,48.76,48.82,2704222.0
2016-01-26,49.21,50.67,48.99,50.59,2317444.0
2016-01-27,50.36,51.06,49.68,50.02,2419773.0
2016-01-28,50.97,51.06,49.51,49.95,2425809.0
2016-01-29,50.45,51.52,50.24,51.47,2522554.0
2016-02-01,50.91,51.11,49.86,50.91,1669753.0
2016-02-02,50.26,50.26,48.49,48.8,3280830.0
2016-02-03,49.03,50.29,48.24,49.95,3195556.0
2016-02-04,49.78,51.92,49.69,51.3,2790020.0
2016-02-05,51.3,52.07,50.92,51.34,3152344.0
2016-02-08,50.23,50.31,48.96,49.46,3417528.0
2016-02-09,50.49,51.55,49.29,50.15,3818359.0
2016-02-10,49.91,50.57,49.435,49.55,2366293.0
2016-02-11,48.63,49.61,48.31,48.99,2140180.0
2016-02-12,49.63,51.45,49.08,51.32,6507292.0
2016-02-16,51.99,51.99,50.98,51.74,3221915.0
2016-02-17,52.35,53.54,52.11,52.45,2996012.0
2016-02-18,52.63,52.78,51.92,52.1,2145226.0
2016-02-19,52.07,52.07,51.32,52.02,1387148.0
2016-02-22,52.42,53.76,52.3,53.7,2185967.0
2016-02-23,53.65,54.87,53.33,53.42,2619121.0
2016-02-24,52.71,55.63,52.31,55.45,4893525.0
2016-02-25,55.56,56.49,55.05,56.49,2685649.0
2016-02-26,56.75,57.0,56.05,56.55,2421477.0
2016-02-29,56.59,56.74,55.53,55.56,2709035.0
2016-03-01,56.18,57.28,55.51,57.1,2260796.0
2016-03-02,56.75,57.23,56.61,57.23,1677271.0
2016-03-03,57.15,58.06,57.0601,57.57,1744122.0
2016-03-04,57.39,57.9,56.95,57.43,1939372.0
2016-03-07,57.52,58.78,57.52,58.31,2495655.0
2016-03-08,58.0,58.17,56.89,57.2,2260263.0
2016-03-09,57.22,57.55,56.98,57.31,1383965.0
2016-03-10,57.52,57.71,56.73,57.41,2345485.0
2016-03-11,58.14,58.96,58.0566,58.79,1901497.0
2016-03-14,59.51,59.59,58.856,59.1,1790802.0
2016-03-15,58.68,58.68,57.89,58.64,1876130.0
2016-03-16,58.64,59.39,58.25,59.22,1639283.0
2016-03-17,59.21,61.0101,59.08,61.0,3406999.0
2016-03-18,61.06,61.8,60.74,61.69,4132974.0
2016-03-21,61.31,61.96,61.16,61.95,2306492.0
2016-03-22,61.49,61.97,61.3,61.57,2087972.0
2016-03-23,61.5,61.69,60.81,61.41,1924510.0
2016-03-24,60.75,61.36,60.63,61.28,1811989.0
2016-03-28,60.52,61.33,60.36,61.28,1959450.0
2016-03-29,61.0,62.23,60.55,62.07,2213248.0
2016-03-30,62.35,62.48,61.77,62.07,1755862.0
2016-03-31,62.05,62.23,61.76,62.01,1720682.0
2016-04-01,61.29,62.21,60.87,62.08,1870824.0
2016-04-04,61.96,62.04,61.29,61.43,1624549.0
2016-04-05,60.77,60.86,60.01,60.15,2517216.0
2016-04-06,60.3,60.3,59.17,59.88,1645120.0
2016-04-07,59.63,60.28,59.36,59.6,1389040.0
2016-04-08,60.13,61.23,60.09,60.35,1814635.0
2016-04-11,60.56,61.28,60.39,60.65,1809406.0
2016-04-12,60.76,61.66,60.76,61.45,1314920.0
2016-04-13,61.96,63.47,61.69,63.33,1733249.0
2016-04-14,63.93,63.93,63.1761,63.68,1501373.0
2016-04-15,63.72,64.09,63.4,63.77,916367.0
2016-04-18,63.41,64.0898,63.355,63.9,1098917.0
2016-04-19,64.4,64.5,63.6,63.88,1248158.0
2016-04-20,63.93,64.1,63.42,63.62,1393761.0
2016-04-21,63.7,64.31,63.41,63.53,1105172.0
2016-04-22,63.71,64.47,63.56,64.44,1390385.0
2016-04-25,64.07,64.3,63.46,64.03,2077855.0
2016-04-26,67.06,67.48,65.06,65.39,4098283.0
2016-04-27,65.56,66.3,65.29,66.06,2233444.0
2016-04-28,65.76,66.42,65.18,65.33,1850870.0
2016-04-29,65.12,65.8,64.95,65.54,2454504.0
2016-05-02,65.87,66.55,65.29,66.14,1985779.0
2016-05-03,65.57,66.12,65.15,66.0,1595114.0
2016-05-04,65.57,65.74,64.53,64.85,1691064.0
2016-05-05,65.18,65.53,64.56,64.85,1649750.0
2016-05-06,64.66,65.57,64.59,65.53,1266340.0
2016-05-09,65.29,65.52,64.97,65.25,1299711.0
2016-05-10,65.66,66.45,65.36,66.34,1296372.0
2016-05-11,66.2,66.85,65.84,65.94,1626855.0
2016-05-12,66.28,66.49,65.35,65.92,1268372.0
2016-05-13,65.72,66.32,65.16,65.59,1627142.0
2016-05-16,65.87,66.71,65.87,66.33,2106708.0
2016-05-17,66.19,66.66,65.42,65.63,1632566.0
2016-05-18,65.45,66.11,64.73,65.2,1979112.0
2016-05-19,64.74,64.84,63.69,64.01,2587547.0
2016-05-20,64.47,64.95,64.18,64.2,1714895.0
2016-05-23,64.24,64.78,63.76,64.58,1065006.0
2016-05-24,65.03,65.82,64.89,65.55,999221.0
2016-05-25,65.98,66.585,65.93,66.29,1254621.0
2016-05-26,66.51,66.94,66.18,66.28,1119420.0
2016-05-27,66.29,66.61,65.87,66.48,1426462.0
2016-05-31,66.54,66.96,66.3,66.81,1842785.0
2016-06-01,66.35,66.585,65.16,66.5,1627024.0
2016-06-02,66.22,66.57,66.01,66.57,913641.0
2016-06-03,66.27,66.42,65.35,65.8,1659231.0
2016-06-06,65.94,66.08,65.24,65.9,3541392.0
2016-06-07,66.11,66.65,65.53,65.84,2114637.0
2016-06-08,65.8,66.2,65.56,65.84,1370046.0
2016-06-09,65.41,65.76,65.16,65.69,971310.0
2016-06-10,65.05,65.1,64.08,64.49,1024456.0
2016-06-13,64.15,64.41,63.55,63.55,1154982.0
2016-06-14,63.3,63.69,63.0,63.66,1592935.0
2016-06-15,63.87,64.7,63.73,64.32,2214162.0
2016-06-16,64.08,64.63,63.43,64.55,1376690.0
2016-06-17,64.67,65.31,64.45,65.14,1873357.0
2016-06-20,65.99,66.59,65.92,65.97,1348439.0
2016-06-21,65.93,66.1,65.36,65.4,1109647.0
2016-06-22,65.55,66.03,65.19,65.36,941007.0
2016-06-23,66.17,66.31,65.75,66.29,1065358.0
2016-06-24,63.35,64.32,62.79,62.87,4607813.0
2016-06-27,62.04,62.09,59.1,59.18,4309934.0
2016-06-28,59.95,60.31,59.34,60.31,3106008.0
2016-06-29,61.15,61.97,60.58,61.84,2429647.0
2016-06-30,62.03,63.71,61.8601,63.68,2963135.0
2016-07-01,63.77,64.465,63.43,64.01,1859216.0
2016-07-05,63.71,63.78,62.77,63.08,1767908.0
2016-07-06,62.77,64.07,62.46,64.06,2304974.0
2016-07-07,64.24,64.99,64.01,64.52,1394453.0
2016-07-08,65.14,65.86,65.14,65.74,1216548.0
2016-07-11,66.0,66.5,65.87,65.88,1560179.0
2016-07-12,66.45,67.1,66.315,66.94,1474554.0
2016-07-13,66.98,67.55,66.78,67.52,1574569.0
2016-07-14,68.01,68.62,67.905,68.01,1620797.0
2016-07-15,68.33,68.61,67.9,67.94,1556895.0
2016-07-18,67.69,67.69,65.76,67.13,2760320.0
2016-07-19,66.84,67.11,66.521,67.11,1187956.0
2016-07-20,67.33,67.78,66.77,67.53,985880.0
2016-07-21,67.41,67.68,66.88,67.01,1872661.0
2016-07-22,66.78,67.76,66.57,67.72,1153265.0
2016-07-25,67.45,67.94,67.12,67.86,1223847.0
2016-07-26,67.82,68.24,67.4,68.17,2585419.0
2016-07-27,64.4,66.38,64.4,65.62,4489238.0
2016-07-28,65.66,66.64,65.44,66.46,3118549.0
2016-07-29,66.4,66.63,66.195,66.26,2445376.0
2016-08-01,66.39,66.81,65.84,66.37,2114070.0
2016-08-02,66.3,66.6,65.94,66.31,2665661.0
2016-08-03,66.29,67.8,66.29,67.34,2589241.0
2016-08-04,67.48,68.69,67.3774,67.79,1949886.0
2016-08-05,67.97,68.49,67.965,68.35,1624972.0
2016-08-08,68.35,68.55,67.63,67.77,1954361.0
2016-08-09,67.99,68.27,67.72,68.16,1671720.0
2016-08-10,68.29,68.55,67.66,67.82,1242353.0
2016-08-11,68.17,68.61,68.1,68.34,993918.0
2016-08-12,68.04,68.23,67.5,68.0,1337545.0
2016-08-15,68.38,68.52,68.16,68.3,1843663.0
2016-08-16,68.01,68.17,67.38,67.39,1387180.0
2016-08-17,67.4,67.53,66.96,67.26,2915402.0
2016-08-18,67.3,67.5,67.15,67.27,1785792.0
2016-08-19,67.17,67.67,67.1008,67.44,1541605.0
2016-08-22,67.38,67.43,66.97,67.21,1198992.0
2016-08-23,67.48,68.1,67.48,67.89,919861.0
2016-08-24,67.91,67.96,67.42,67.55,977318.0
2016-08-25,67.44,68.1201,67.27,67.79,1168621.0
2016-08-26,68.02,68.3,67.34,67.64,851899.0
2016-08-29,67.63,68.85,67.445,68.64,1568486.0
2016-08-30,68.47,68.625,68.0,68.21,1214274.0
2016-08-31,68.0,68.12,67.71,67.99,1506771.0
2016-09-01,67.98,68.23,67.16,68.16,1478632.0
2016-09-02,68.51,68.97,68.14,68.53,1076100.0
2016-09-06,68.46,68.46,66.59,66.83,2114166.0
2016-09-07,66.44,67.19,66.3,67.1,1230192.0
2016-09-08,67.02,67.59,66.77,67.41,1682885.0
2016-09-09,66.28,66.33,63.05,63.1,5552660.0
2016-09-12,62.63,65.42,62.4,65.31,3828430.0
2016-09-13,64.52,64.77,63.64,63.78,1840754.0
2016-09-14,63.8,64.12,63.31,63.73,1920404.0
2016-09-15,63.56,63.99,63.29,63.83,2883018.0
2016-09-16,63.43,63.48,62.97,63.31,2462210.0
2016-09-19,63.85,64.59,63.67,64.02,1680632.0
2016-09-20,64.66,64.94,63.96,64.06,1763169.0
2016-09-21,64.41,65.57,64.2,65.52,1813087.0
2016-09-22,66.15,66.59,65.67,66.05,2294457.0
2016-09-23,65.58,65.58,64.575,64.65,2248494.0
2016-09-26,64.46,65.63,64.39,65.39,2376759.0
2016-09-27,65.18,66.775,64.84,66.69,3012393.0
2016-09-28,66.71,67.595,66.71,67.49,2314538.0
2016-09-29,67.25,68.23,66.93,67.1,2384729.0
2016-09-30,67.31,68.22,67.26,67.94,2132581.0
2016-10-03,67.53,68.27,67.49,67.74,1358765.0
2016-10-04,67.83,68.015,66.9,66.99,1701102.0
2016-10-05,67.45,67.81,67.08,67.56,1595937.0
2016-10-06,67.61,68.82,67.61,68.78,1452998.0
2016-10-07,68.68,68.68,67.31,67.45,1927781.0
2016-10-10,67.79,68.01,66.93,67.22,830879.0
2016-10-11,66.27,66.68,64.58,64.78,3703994.0
2016-10-12,64.85,66.19,64.79,65.92,1966087.0
2016-10-13,65.39,65.6,64.85,65.39,2162329.0
2016-10-14,65.71,66.39,65.59,65.79,1391397.0
2016-10-17,65.9,66.14,65.075,65.27,1769281.0
2016-10-18,65.9,66.04,64.945,64.96,1341998.0
2016-10-19,65.04,65.81,64.6,65.43,1558202.0
2016-10-20,65.25,66.39,65.175,65.81,2280558.0
2016-10-21,65.11,65.97,64.76,65.76,1283017.0
2016-10-24,66.25,67.08,65.49,65.79,2269800.0
2016-10-25,65.61,65.61,64.24,64.6,3100175.0
2016-10-26,66.17,66.855,63.87,66.33,4467336.0
2016-10-27,66.8,67.34,66.03,67.04,3669144.0
2016-10-28,67.07,67.99,66.52,66.95,2497447.0
2016-10-31,67.36,67.99,66.97,67.29,2281034.0
2016-11-01,67.49,68.0,66.83,67.32,2805541.0
2016-11-02,67.35,67.57,66.84,67.29,2485929.0
2016-11-03,67.42,67.67,66.81,66.99,2303354.0
2016-11-04,67.04,69.37,67.04,68.75,3470897.0
2016-11-07,69.78,70.775,69.59,70.72,3315992.0
2016-11-08,70.57,72.36,70.4,71.87,3008447.0
2016-11-09,71.57,74.71,71.32,74.26,4452037.0
2016-11-10,74.83,75.9,74.75,75.72,3460646.0
2016-11-11,75.17,75.89,75.15,75.83,2367827.0
2016-11-14,76.09,76.45,74.815,75.07,4432113.0
2016-11-15,75.13,75.94,74.61,75.92,2973178.0
2016-11-16,75.1,75.78,74.74,75.23,1892800.0
2016-11-17,75.24,75.44,74.53,74.68,2215919.0
2016-11-18,74.46,74.72,74.13,74.46,1853703.0
2016-11-21,74.85,75.33,74.49,75.11,1710059.0
2016-11-22,75.39,75.76,75.22,75.62,1903801.0
2016-11-23,75.72,75.88,75.4,75.58,1227966.0
2016-11-25,75.63,76.12,75.38,76.12,931681.0
2016-11-28,75.96,75.96,74.72,74.73,1879690.0
2016-11-29,74.37,75.4,74.25,75.06,1975954.0
2016-11-30,75.6,76.31,74.54,74.54,1999620.0
2016-12-01,75.01,75.11,74.03,74.59,3347815.0
2016-12-02,74.67,74.77,74.02,74.5,2508392.0
2016-12-05,74.9,75.399,74.61,74.89,2093030.0
2016-12-06,74.98,75.93,74.92,75.91,1635549.0
2016-12-07,75.7,78.03,75.58,78.0,2179804.0
2016-12-08,77.8,79.04,77.8,78.75,2293228.0
2016-12-09,78.53,79.0,77.64,78.45,1860329.0
2016-12-12,78.45,78.73,77.63,77.75,1404630.0
2016-12-13,78.11,78.38,77.19,77.84,1755461.0
2016-12-14,77.44,79.21,77.325,77.68,2186671.0
2016-12-15,77.57,77.835,76.79,77.23,2267242.0
2016-12-16,77.18,77.63,76.84,77.14,3068883.0
2016-12-19,77.14,77.46,76.37,76.96,1236219.0
2016-12-20,77.47,77.87,77.01,77.29,1203512.0
2016-12-21,77.39,77.5,76.67,76.73,1249720.0
2016-12-22,76.77,76.91,76.155,76.41,1441536.0
2016-12-23,76.24,77.04,76.13,76.86,1203533.0
2016-12-27,77.26,77.67,76.8,77.02,553126.0
2016-12-28,77.37,77.79,75.8,75.91,1127957.0
2016-12-29,76.04,76.3,75.32,75.57,1318188.0
2016-12-30,75.85,75.85,74.7598,75.04,1425283.0
2017-01-03,75.81,76.2,75.15,75.93,2237583.0
2017-01-04,76.27,76.68,75.89,76.12,1116680.0
2017-01-05,76.0,76.12,74.35,75.23,1759473.0
2017-01-06,75.43,75.535,74.85,75.06,2001120.0
2017-01-09,75.0,75.34,74.74,74.9,1529664.0
2017-01-10,75.15,76.15,74.875,76.01,1604927.0
2017-01-11,76.41,77.22,75.94,77.16,1880868.0
2017-01-12,77.05,77.1099,75.2,76.64,1637526.0
2017-01-13,76.9,77.7,76.81,77.27,1049730.0
2017-01-17,76.78,77.33,76.31,76.59,1457507.0
2017-01-18,76.89,77.15,76.49,77.14,1592679.0
2017-01-19,77.26,78.31,77.26,78.25,2481822.0
2017-01-20,78.52,78.72,78.15,78.64,2177932.0
2017-01-23,78.48,78.57,77.97,78.42,1913199.0
2017-01-24,78.54,80.28,78.54,79.59,2898695.0
2017-01-25,80.45,80.87,80.05,80.4,3085403.0
2017-01-26,80.24,80.71,80.0,80.17,1933632.0
2017-01-27,80.44,80.66,79.8899,80.0,1776719.0
2017-01-30,79.4,79.69,78.67,79.55,2289464.0
2017-01-31,79.45,79.69,78.38,79.35,2845615.0
2017-02-01,77.17,79.33,77.0,78.0,4180149.0
2017-02-02,78.0,78.65,77.51,78.0,2336898.0
2017-02-03,78.38,79.06,78.13,79.02,1463256.0
2017-02-06,78.72,80.0,78.4,79.91,2439763.0
2017-02-07,80.01,80.685,79.73,79.85,2136247.0
2017-02-08,79.7,80.2,79.42,80.08,1701669.0
2017-02-09,80.09,81.25,80.08,80.82,1565011.0
2017-02-10,81.0,81.99,80.81,81.19,2811171.0
2017-02-13,81.45,82.17,81.31,81.98,2730745.0
2017-02-14,81.76,81.8,81.08,81.67,1723737.0
2017-02-15,81.58,81.99,81.11,81.62,1914228.0
2017-02-16,81.67,81.76,80.7,81.1,1996646.0
2017-02-17,80.91,81.255,80.41,80.99,1700363.0
2017-02-21,80.94,81.7,80.864,81.51,1497913.0
2017-02-22,81.07,81.65,80.82,81.5,1793876.0
2017-02-23,81.98,82.14,80.81,81.24,1508502.0
2017-02-24,80.67,81.32,80.17,81.32,1484309.0
