Date,Open,High,Low,Close,Volume
2016-01-04,31.44,31.905,31.39,31.79,3475343.0
2016-01-05,31.76,31.97,31.23,31.41,3437760.0
2016-01-06,30.63,31.12,30.43,31.11,6144202.0
2016-01-07,30.47,30.78,30.19,30.32,3267575.0
2016-01-08,30.52,30.73,30.21,30.27,3412735.0
2016-01-11,30.33,30.52,30.04,30.28,3768435.0
2016-01-12,30.8,31.3,30.33,30.57,4650085.0
2016-01-13,31.21,31.54,29.66,29.81,3310817.0
2016-01-14,29.88,30.515,29.6,30.22,4100934.0
2016-01-15,29.51,30.42,29.51,30.29,4208549.0
2016-01-19,30.82,30.82,30.135,30.52,4780538.0
2016-01-20,29.55,30.08,28.94,29.82,4787617.0
2016-01-21,29.79,30.4001,29.555,29.99,3117962.0
2016-01-22,30.37,30.755,30.19,30.59,2224527.0
2016-01-25,32.86,34.39,32.07,34.15,23949619.0
2016-01-26,33.62,34.25,33.09,33.98,8430669.0
2016-01-27,33.94,34.745,33.46,33.62,6856213.0
2016-01-28,34.01,34.19,33.39,33.48,4814567.0
2016-01-29,34.29,34.765,33.94,34.39,5212681.0
2016-02-01,34.19,34.49,33.63,34.08,3736286.0
2016-02-02,33.76,33.84,33.54,33.75,4576091.0
2016-02-03,34.03,34.57,33.79,34.28,5415000.0
2016-02-04,33.99,35.02,33.87,34.7,4738928.0
2016-02-05,34.64,35.0,34.47,34.98,5339858.0
2016-02-08,34.69,34.845,34.37,34.73,3226727.0
2016-02-09,34.46,34.85,34.39,34.65,3514896.0
2016-02-10,34.7,35.0,34.045,34.1,4518858.0
2016-02-11,33.62,33.86,32.915,33.25,2998411.0
2016-02-12,33.53,33.62,33.0,33.52,5057389.0
2016-02-16,34.0,34.35,33.72,34.2,3364380.0
2016-02-17,34.2,35.06,34.16,34.95,3508130.0
2016-02-18,34.96,35.05,34.44,34.5,4011217.0
2016-02-19,34.44,34.5,33.15,33.57,8038574.0
2016-02-22,33.62,34.25,33.62,34.17,4393545.0
2016-02-23,34.0,34.375,33.68,33.82,3325417.0
2016-02-24,33.55,34.45,33.01,34.4,4841212.0
2016-02-25,34.55,34.89,34.05,34.88,5037366.0
2016-02-26,35.0,35.475,34.94,35.41,3788981.0
2016-02-29,35.34,35.43,35.06,35.18,5662886.0
2016-03-01,35.44,36.02,35.37,36.02,4234339.0
