Date,Open,High,Low,Close,Volume
2016-01-04,41.35,41.94,41.04,41.92,654088.0
2016-01-05,41.75,42.12,41.04,41.33,631974.0
2016-01-06,40.48,40.9,40.3,40.53,861629.0
2016-01-07,39.89,40.3,39.27,39.44,1074933.0
2016-01-08,39.6,39.95,38.59,38.75,1070391.0
2016-01-11,38.86,39.16,38.0,38.4,1368674.0
2016-01-12,38.9,39.17,38.29,39.06,1205573.0
2016-01-13,39.39,39.63,37.83,38.25,1375963.0
2016-01-14,38.55,38.8099,37.59,38.38,875420.0
2016-01-15,37.13,37.79,36.754,37.64,1323755.0
2016-01-19,38.0,38.2,36.26,36.44,1269960.0
2016-01-20,35.87,37.19,35.2,36.78,2028280.0
2016-01-21,36.87,37.44,36.37,36.62,984122.0
2016-01-22,37.41,38.41,36.9,37.41,973843.0
2016-01-25,37.12,37.7,36.65,36.72,833715.0
2016-01-26,36.89,37.4701,36.54,37.46,1762368.0
2016-01-27,37.4,38.325,36.99,37.46,1210973.0
2016-01-28,37.89,38.09,37.385,37.72,698912.0
2016-01-29,37.82,39.23,37.45,39.23,1255483.0
2016-02-01,38.79,39.22,38.15,39.13,1083110.0
2016-02-02,38.13,38.91,38.11,38.66,1729476.0
2016-02-03,38.84,38.84,36.19,37.35,3067773.0
2016-02-04,37.22,38.27,37.11,37.4,1948881.0
2016-02-05,37.26,37.97,36.82,37.05,1707208.0
2016-02-08,36.48,36.616,34.97,35.71,1246002.0
2016-02-09,35.35,35.78,35.1,35.5,1296571.0
2016-02-10,35.67,36.02,35.39,35.4,932213.0
2016-02-11,34.91,35.58,34.76,35.06,1448038.0
2016-02-12,35.37,36.17,34.95,36.08,1125465.0
2016-02-16,36.79,37.225,36.0398,37.21,1021976.0
2016-02-17,37.69,38.84,37.69,38.43,1075925.0
2016-02-18,38.67,38.8,37.58,38.0,678209.0
2016-02-19,37.43,38.12,36.69,37.99,820709.0
2016-02-22,38.46,39.19,38.46,38.63,893004.0
2016-02-23,38.43,39.13,38.05,38.23,697523.0
2016-02-24,37.68,38.545,37.2701,38.51,590960.0
2016-02-25,38.69,38.99,37.92,38.47,463049.0
2016-02-26,38.86,39.16,38.59,38.86,670135.0
2016-02-29,38.84,39.1,38.26,38.65,795672.0
2016-03-01,38.88,39.74,38.76,39.66,633555.0
2016-03-02,39.48,40.1,39.32,39.98,520386.0
2016-03-03,40.04,40.7,39.97,40.58,617049.0
2016-03-04,40.7,40.85,40.16,40.73,1076373.0
2016-03-07,40.58,41.92,40.58,41.75,1154803.0
2016-03-08,41.41,41.61,40.4,40.76,859262.0
2016-03-09,41.09,41.09,40.48,40.75,599713.0
2016-03-10,40.82,40.97,39.88,40.6,569071.0
2016-03-11,40.92,41.925,40.8751,41.75,709355.0
2016-03-14,41.48,41.68,40.93,41.49,509532.0
2016-03-15,41.04,41.55,40.8601,41.36,622070.0
2016-03-16,41.22,42.65,41.14,42.38,961401.0
2016-03-17,42.38,43.98,42.31,43.86,1336152.0
2016-03-18,43.98,44.57,43.73,44.08,818141.0
2016-03-21,43.91,44.18,43.66,44.14,485176.0
2016-03-22,44.12,44.77,43.9101,44.59,662402.0
2016-03-23,44.3,44.4,43.63,43.66,615090.0
2016-03-24,43.35,43.4,42.92,43.27,700653.0
2016-03-28,43.5,43.55,42.76,43.02,690536.0
2016-03-29,42.87,43.53,42.53,43.53,760141.0
2016-03-30,43.96,43.99,43.49,43.77,482756.0
2016-03-31,43.72,43.79,43.4,43.55,627808.0
2016-04-01,43.08,43.77,42.5,43.76,986981.0
2016-04-04,43.72,43.77,42.94,43.04,565573.0
2016-04-05,42.57,42.87,42.24,42.43,908621.0
2016-04-06,42.51,42.7,41.92,42.28,1405333.0
2016-04-07,41.83,41.98,40.93,40.99,1457075.0
2016-04-08,41.49,42.03,41.03,41.2,502952.0
2016-04-11,41.46,41.89,41.19,41.47,695235.0
2016-04-12,41.44,42.09,41.36,41.8,971695.0
2016-04-13,41.96,43.06,41.94,42.95,557814.0
2016-04-14,43.07,43.095,42.29,42.38,811002.0
2016-04-15,42.23,42.5197,41.99,42.16,753215.0
2016-04-18,41.88,42.68,41.77,42.6,339860.0
2016-04-19,42.8,43.27,42.7,42.96,371990.0
2016-04-20,43.12,43.61,42.92,43.38,515293.0
2016-04-21,43.34,43.67,43.28,43.38,544282.0
2016-04-22,43.53,44.05,43.5,43.77,571651.0
2016-04-25,43.53,43.98,43.3394,43.61,542675.0
2016-04-26,43.81,44.52,43.81,44.38,589868.0
2016-04-27,44.4,45.04,44.35,44.95,414865.0
2016-04-28,44.51,45.3,44.36,44.5,634481.0
2016-04-29,44.39,45.09,44.27,44.58,642310.0
2016-05-02,44.62,44.88,44.21,44.88,486095.0
2016-05-03,44.31,45.18,43.9304,45.07,2139752.0
2016-05-04,45.0,45.21,44.07,44.45,1060924.0
2016-05-05,45.0,46.62,44.44,46.59,1760190.0
2016-05-06,46.55,48.67,46.38,48.65,2807913.0
2016-05-09,49.05,50.04,48.72,49.24,2458096.0
2016-05-10,49.56,50.59,49.3,50.43,1592971.0
2016-05-11,50.4,50.52,50.01,50.07,1135659.0
2016-05-12,50.3,50.72,49.79,49.81,1339094.0
2016-05-13,49.81,50.195,48.984,49.14,1091897.0
2016-05-16,49.43,50.375,49.36,50.12,1307890.0
2016-05-17,50.0,50.25,49.24,49.32,1363565.0
2016-05-18,49.19,50.15,48.7,49.4,2122540.0
2016-05-19,48.95,49.37,48.34,48.92,1053080.0
2016-05-20,49.36,49.69,49.0,49.22,1053122.0
2016-05-23,49.17,49.34,48.41,48.64,1677465.0
2016-05-24,49.0,49.09,48.675,49.0,1198005.0
2016-05-25,49.48,50.22,49.37,50.02,873511.0
2016-05-26,50.18,50.39,49.63,50.02,606343.0
2016-05-27,49.91,50.17,49.7,50.15,566934.0
2016-05-31,50.17,50.83,50.02,50.69,1031101.0
2016-06-01,50.47,50.995,50.25,50.88,946903.0
2016-06-02,50.66,51.06,50.455,50.78,1214573.0
2016-06-03,51.07,51.75,50.49,51.5,1037892.0
2016-06-06,51.62,51.98,51.39,51.96,840302.0
2016-06-07,51.88,52.0,51.55,51.77,619259.0
2016-06-08,51.99,52.99,51.95,52.61,1164597.0
2016-06-09,52.23,52.5498,51.765,52.51,678075.0
2016-06-10,51.93,52.105,51.42,51.56,703671.0
2016-06-13,51.34,51.62,50.71,50.73,777050.0
2016-06-14,50.72,51.09,50.51,51.02,525556.0
2016-06-15,51.28,51.53,50.96,51.03,1028418.0
2016-06-16,50.7,51.01,50.18,50.97,652699.0
2016-06-17,51.0,51.46,50.81,51.24,1044984.0
2016-06-20,51.96,52.48,51.91,52.39,711924.0
2016-06-21,52.28,52.365,51.79,52.2,589213.0
2016-06-22,52.42,52.65,52.17,52.32,447338.0
2016-06-23,52.98,53.33,52.7,53.1,858863.0
2016-06-24,49.96,51.45,49.44,49.67,1802532.0
2016-06-27,49.2,50.34,47.47,47.65,1149643.0
2016-06-28,48.3,48.49,47.14,47.86,1203182.0
2016-06-29,48.57,48.97,47.8,48.75,1112798.0
2016-06-30,48.89,49.99,48.51,49.81,1172093.0
2016-07-01,49.9,50.58,49.514,49.74,649930.0
2016-07-05,49.61,49.61,48.13,48.65,1058222.0
2016-07-06,48.57,49.81,48.26,49.78,1022080.0
2016-07-07,49.91,50.45,49.75,49.97,870274.0
2016-07-08,50.39,51.36,50.3,51.25,548414.0
2016-07-11,51.53,52.23,51.53,51.85,1062886.0
2016-07-12,52.02,53.27,52.02,53.09,1002425.0
2016-07-13,53.54,53.74,52.5801,52.79,627245.0
2016-07-14,53.14,53.49,52.81,52.84,635621.0
2016-07-15,52.9,53.26,52.54,52.7,614266.0
2016-07-18,52.64,53.08,52.2,52.62,749359.0
2016-07-19,52.64,52.74,52.18,52.49,510230.0
2016-07-20,52.46,53.41,52.051,53.32,588660.0
2016-07-21,53.45,53.99,53.04,53.35,647454.0
2016-07-22,53.26,53.34,52.89,53.08,750676.0
2016-07-25,52.87,53.14,52.66,52.99,414226.0
2016-07-26,53.2,53.9,53.125,53.87,525642.0
2016-07-27,53.9,54.54,53.7696,54.47,837721.0
2016-07-28,54.33,54.5,53.65,54.08,400722.0
2016-07-29,54.03,54.03,53.3,53.52,598177.0
2016-08-01,53.45,53.73,52.87,53.49,619548.0
2016-08-02,53.38,53.45,52.69,52.99,805368.0
2016-08-03,52.93,53.1,52.5,53.0,642528.0
2016-08-04,52.93,53.43,52.78,53.01,576182.0
2016-08-05,53.26,53.94,53.25,53.76,1176334.0
2016-08-08,53.92,54.38,53.3,53.39,1129811.0
2016-08-09,54.29,55.89,53.53,55.57,1449546.0
2016-08-10,55.38,55.5,54.5,54.62,1237643.0
2016-08-11,54.47,55.0,53.38,54.41,1225461.0
2016-08-12,54.22,54.32,53.3839,53.51,723712.0
2016-08-15,53.75,54.53,53.51,54.25,621752.0
2016-08-16,53.93,54.23,53.4,53.69,742641.0
2016-08-17,53.78,53.84,53.07,53.28,798023.0
2016-08-18,53.38,54.04,53.27,53.97,521739.0
2016-08-19,53.83,53.865,53.13,53.73,790734.0
2016-08-22,53.61,54.155,53.25,54.09,537855.0
2016-08-23,54.22,54.77,54.22,54.64,406206.0
2016-08-24,54.39,54.81,53.99,54.11,417982.0
2016-08-25,54.04,54.42,53.91,54.35,763648.0
2016-08-26,54.63,55.24,54.2,54.48,717178.0
2016-08-29,54.4,55.13,54.33,54.75,909476.0
2016-08-30,54.73,54.86,53.415,53.48,780684.0
2016-08-31,53.18,53.18,52.34,52.69,745925.0
2016-09-01,52.72,53.0352,51.72,52.03,1017785.0
