Date,Open,High,Low,Close,Volume
2016-01-04,101.71,101.81,99.45,100.48,12722446.0
2016-01-05,100.58,101.44,100.57,100.9,6467228.0
2016-01-06,99.82,100.97,99.6,100.39,7733187.0
2016-01-07,99.31,100.09,98.88,99.22,9432286.0
2016-01-08,99.88,99.94,97.85,98.16,9766654.0
2016-01-11,98.24,98.63,96.08,97.57,8151427.0
2016-01-12,97.99,98.63,97.24,98.24,6743979.0
2016-01-13,98.49,98.98,96.84,97.02,8290689.0
2016-01-14,97.1,99.47,97.0,98.89,10164144.0
2016-01-15,96.37,98.0,96.25,97.0,12657614.0
2016-01-19,97.93,98.41,96.9,97.5,12457715.0
2016-01-20,96.11,97.28,94.53,95.75,12685076.0
2016-01-21,95.77,96.64,94.28,95.94,11264989.0
2016-01-22,97.02,97.085,95.95,96.75,8379946.0
2016-01-25,96.72,97.69,96.04,96.4,9350031.0
2016-01-26,97.26,101.34,97.135,101.18,17266443.0
2016-01-27,100.49,103.38,100.49,102.16,19327217.0
2016-01-28,102.5,103.04,101.85,102.27,12789459.0
2016-01-29,102.89,104.75,102.63,104.44,15613480.0
2016-02-01,103.61,104.785,103.22,104.37,9803485.0
2016-02-02,103.3,104.26,103.0,103.41,10616349.0
2016-02-03,103.65,104.38,102.01,104.14,10168633.0
2016-02-04,103.61,104.085,102.73,103.9,10388998.0
2016-02-05,102.66,102.77,99.78,100.54,15521054.0
2016-02-08,100.31,103.51,100.22,102.0,14323726.0
2016-02-09,101.31,102.24,100.9725,101.97,10043839.0
2016-02-10,102.05,102.91,101.3684,101.73,9832924.0
2016-02-11,100.46,102.02,99.98,101.7,12465782.0
2016-02-12,101.82,101.98,100.72,101.82,9035013.0
2016-02-16,102.37,103.05,101.65,102.32,10451550.0
2016-02-17,102.75,103.24,102.23,102.5,8903978.0
2016-02-18,102.83,104.6767,102.5,104.24,10743141.0
2016-02-19,103.58,104.68,103.38,104.16,9342898.0
2016-02-22,104.44,104.75,104.05,104.75,6946966.0
2016-02-23,104.65,104.79,103.96,104.08,6628480.0
2016-02-24,103.34,105.075,102.97,104.96,9072927.0
2016-02-25,104.95,106.39,104.77,106.38,8092367.0
2016-02-26,106.82,106.92,105.42,105.78,9049441.0
2016-02-29,105.28,106.2,105.04,105.21,10103370.0
2016-03-01,105.9,107.24,105.44,107.22,8298471.0
2016-03-02,106.91,107.41,106.43,107.04,9766929.0
2016-03-03,106.82,107.0,105.63,106.65,6927155.0
2016-03-04,106.51,106.98,106.07,106.5,6715568.0
2016-03-07,106.0,106.9196,105.49,106.74,6973441.0
2016-03-08,106.52,106.77,105.965,106.22,7576842.0
2016-03-09,106.84,107.02,106.09,106.84,7564004.0
2016-03-10,106.99,107.48,106.07,107.14,10474747.0
2016-03-11,107.5,107.99,107.21,107.71,7763674.0
2016-03-14,107.92,108.3,107.31,107.66,7242758.0
2016-03-15,107.62,108.35,106.76,107.76,8476598.0
2016-03-16,107.73,107.78,106.875,107.41,7065081.0
2016-03-17,107.47,107.6,106.45,106.74,8571010.0
2016-03-18,106.99,107.84,106.36,107.5,14758303.0
2016-03-21,107.41,107.75,106.55,107.28,7674356.0
2016-03-22,107.28,107.63,107.05,107.38,7821676.0
2016-03-23,107.29,108.825,107.2,108.5,8191313.0
2016-03-24,108.22,108.61,107.75,108.31,6284206.0
2016-03-28,108.41,108.9,108.06,108.23,4738112.0
2016-03-29,108.3,109.25,107.74,109.14,6612787.0
2016-03-30,109.45,109.56,108.93,108.98,5248182.0
2016-03-31,108.86,108.98,108.04,108.2,8167693.0
2016-04-01,108.0,109.29,107.69,109.19,9043031.0
2016-04-04,108.82,109.1,108.26,108.59,10668875.0
2016-04-05,108.23,109.84,108.005,108.95,7938711.0
2016-04-06,108.72,109.5,107.88,109.42,6828705.0
2016-04-07,109.0,109.62,108.63,109.27,7822916.0
2016-04-08,109.37,109.64,108.76,109.1,6301534.0
2016-04-11,109.15,109.62,108.65,108.97,6823772.0
2016-04-12,109.0,110.24,108.75,109.6,8407385.0
2016-04-13,110.0,110.35,109.31,109.87,5758284.0
2016-04-14,110.0,110.29,109.45,109.84,4457099.0
2016-04-15,110.07,110.4,109.5,110.18,10057866.0
2016-04-18,110.0,111.1,109.67,110.93,7768707.0
2016-04-19,111.65,113.95,111.48,112.68,10523512.0
2016-04-20,113.19,114.19,113.05,113.58,8212633.0
2016-04-21,113.31,113.73,112.77,113.57,7884452.0
2016-04-22,113.43,113.7531,112.828,113.32,7508290.0
2016-04-25,113.31,113.55,112.48,113.51,6139854.0
2016-04-26,113.45,113.56,112.65,112.91,5853561.0
2016-04-27,112.96,113.2,112.46,112.77,5759301.0
2016-04-28,112.1,112.71,111.64,112.48,6638316.0
2016-04-29,112.06,112.22,111.51,112.08,7774477.0
2016-05-02,112.22,112.7897,111.93,112.75,5178847.0
2016-05-03,112.56,113.1,112.12,112.69,7550697.0
2016-05-04,112.04,112.54,111.7,112.22,5214649.0
2016-05-05,112.08,113.1,112.04,112.88,5404241.0
2016-05-06,112.58,113.05,112.275,112.74,6099839.0
