Date,Open,High,Low,Close,Volume
2016-01-04,49.3,50.2,48.71,50.13,4518333.0
2016-01-05,49.62,50.7,48.71,49.97,5307905.0
2016-01-06,49.04,49.31,47.71,48.49,4217844.0
2016-01-07,47.07,49.63,47.02,48.5,7616510.0
2016-01-08,48.48,48.51,46.14,46.24,4015298.0
2016-01-11,46.53,47.3,45.88,46.81,3702213.0
2016-01-12,47.37,47.55,46.32,47.12,2968735.0
2016-01-13,47.2,47.6,45.84,45.95,2808888.0
2016-01-14,46.06,46.545,44.63,45.79,3563074.0
2016-01-15,44.49,46.04,44.49,45.45,3830871.0
2016-01-19,45.76,46.47,44.56,46.14,4360731.0
2016-01-20,45.54,46.62,44.69,46.1,4647778.0
2016-01-21,46.29,48.225,45.97,47.74,5489266.0
2016-01-22,48.3,49.1,47.55,48.02,4241226.0
2016-01-25,47.93,48.19,46.76,46.87,3193809.0
2016-01-26,47.37,48.29,47.08,48.04,2123267.0
2016-01-27,47.69,48.85,47.66,48.02,1827331.0
2016-01-28,49.68,49.81,47.48,47.99,1680241.0
2016-01-29,48.43,49.18,48.2,49.1,2118094.0
2016-02-01,48.46,50.19,47.81,49.93,2893969.0
2016-02-02,50.18,50.18,48.66,49.16,3153304.0
2016-02-03,49.33,50.78,48.84,50.53,4038203.0
2016-02-04,49.28,49.28,46.795,47.43,5557531.0
2016-02-05,47.43,48.95,46.704,48.18,4682560.0
2016-02-08,48.15,51.89,47.965,50.85,6711322.0
2016-02-09,50.22,51.73,50.09,50.34,4448468.0
2016-02-10,50.62,50.86,49.15,49.19,2628440.0
2016-02-11,48.58,49.37,47.97,49.19,3021785.0
2016-02-12,48.94,49.7,47.3,48.91,3801910.0
2016-02-16,49.64,51.64,49.51,50.9,4480868.0
2016-02-17,51.34,52.78,51.08,52.25,7118114.0
2016-02-18,52.16,53.07,51.17,52.72,8308871.0
2016-02-19,47.85,49.75,46.65,49.17,18947148.0
2016-02-22,49.32,51.39,49.32,51.37,4711773.0
2016-02-23,51.4,51.57,50.19,50.86,2753260.0
2016-02-24,50.52,52.0,49.48,51.92,3537461.0
2016-02-25,51.9,52.76,50.65,52.43,2834939.0
2016-02-26,52.72,52.76,51.81,52.51,2330777.0
2016-02-29,52.32,52.5,51.23,51.32,3369848.0
2016-03-01,51.67,52.36,51.08,52.29,2579369.0
2016-03-02,52.37,52.83,52.12,52.75,3080862.0
2016-03-03,52.54,53.22,52.15,53.06,2012495.0
2016-03-04,53.04,55.31,52.57,54.51,6376553.0
2016-03-07,53.1,55.56,53.02,54.69,4177556.0
2016-03-08,54.01,55.99,54.0,55.11,4809483.0
2016-03-09,55.39,56.25,54.96,55.84,3367871.0
2016-03-10,56.29,57.08,55.63,57.01,4074482.0
2016-03-11,57.27,57.6496,56.03,56.49,2681509.0
2016-03-14,56.02,56.52,55.6,56.06,1798298.0
2016-03-15,55.81,56.89,55.5,56.77,2422780.0
2016-03-16,56.27,56.988,56.02,56.85,1753439.0
2016-03-17,56.85,58.5,56.5,58.22,2342275.0
2016-03-18,58.01,59.37,57.27,58.52,3668823.0
2016-03-21,57.88,58.7,57.4,57.67,2454082.0
2016-03-22,57.64,58.19,56.72,56.75,2579164.0
2016-03-23,56.84,56.87,55.9,56.04,2114352.0
