Date,Open,High,Low,Close,Volume
2016-01-04,71.59,71.68,70.86,71.61,2039839.0
2016-01-05,72.07,72.68,71.54,71.87,2210468.0
2016-01-06,71.29,72.3,71.15,72.01,2503981.0
2016-01-07,71.09,71.28,70.26,70.37,1933206.0
2016-01-08,71.34,72.39,70.38,71.48,3157399.0
2016-01-11,71.67,71.92,71.03,71.55,1184403.0
2016-01-12,71.96,72.14,70.68,71.47,1645503.0
2016-01-13,71.54,72.2399,70.87,70.9,1365630.0
2016-01-14,70.95,72.3,70.78,71.67,1681041.0
2016-01-15,70.31,71.18,70.29,70.67,2252297.0
2016-01-19,71.02,71.56,70.81,71.24,1529878.0
2016-01-20,70.77,70.99,68.73,70.1,2496628.0
2016-01-21,70.12,70.53,69.07,69.96,2301113.0
2016-01-22,70.66,71.82,70.28,71.61,1366213.0
2016-01-25,71.2,71.65,70.44,70.51,1289336.0
2016-01-26,70.34,71.5,70.1,71.2,2239654.0
2016-01-27,71.42,72.33,71.14,71.57,1244776.0
2016-01-28,72.14,73.24,71.72,72.79,1580620.0
2016-01-29,73.1,73.89,72.75,73.44,2324941.0
2016-02-01,73.32,74.14,73.04,73.59,2443787.0
2016-02-02,73.04,73.26,72.27,72.38,2210988.0
2016-02-03,72.47,73.05,71.52,72.34,1897244.0
2016-02-04,72.02,72.25,71.396,71.83,1616174.0
2016-02-05,72.16,72.595,71.57,71.84,2252953.0
2016-02-08,71.28,71.95,70.735,71.31,2469578.0
2016-02-09,70.63,71.69,70.33,71.4,2660347.0
2016-02-10,71.79,72.5,70.56,70.86,3244865.0
2016-02-11,72.5,74.52,72.23,73.69,5266927.0
2016-02-12,74.33,75.01,73.7,74.97,2599412.0
2016-02-16,74.34,75.33,73.83,75.19,3284737.0
2016-02-17,75.1,76.24,75.01,75.75,2535521.0
2016-02-18,75.84,76.0,74.81,75.79,2039388.0
2016-02-19,75.61,75.7625,74.99,75.52,2124650.0
2016-02-22,75.18,75.43,73.4,73.82,3852859.0
2016-02-23,73.55,74.585,73.535,74.12,2809457.0
2016-02-24,73.92,74.25,73.53,73.91,2257021.0
2016-02-25,74.14,74.97,74.04,74.91,2083366.0
2016-02-26,74.58,74.91,72.9,73.45,2872197.0
2016-02-29,73.24,74.51,73.0664,74.02,2097511.0
2016-03-01,74.56,74.67,74.0,74.17,1841568.0
2016-03-02,73.9,75.14,73.1096,75.09,3353571.0
2016-03-03,74.71,74.9,74.16,74.84,2162967.0
2016-03-04,74.84,75.5,74.51,75.23,1701264.0
2016-03-07,74.94,75.2,74.64,74.93,1456567.0
2016-03-08,74.64,75.13,74.5,74.84,1221502.0
2016-03-09,75.25,75.92,74.98,75.2,1299110.0
2016-03-10,75.2,75.61,74.86,75.24,1366944.0
2016-03-11,75.5,75.7,75.1,75.53,1206023.0
2016-03-14,75.3,75.42,74.72,74.95,2089719.0
2016-03-15,74.52,75.355,74.22,75.09,1208033.0
2016-03-16,75.35,75.86,74.5,75.63,1732206.0
2016-03-17,75.92,76.81,75.7,76.44,2155587.0
2016-03-18,76.53,76.58,75.8401,76.16,2632195.0
2016-03-21,75.79,76.05,75.39,75.49,1480874.0
2016-03-22,75.26,75.44,74.1,74.43,2415945.0
2016-03-23,74.34,75.36,74.2,75.04,1841213.0
2016-03-24,74.93,75.63,74.68,75.44,1212196.0
2016-03-28,75.37,75.96,75.3292,75.67,1088290.0
2016-03-29,75.78,76.89,75.63,76.59,1841462.0
2016-03-30,76.85,77.05,76.5,76.83,1698891.0
2016-03-31,76.53,76.87,76.39,76.55,1902340.0
2016-04-01,75.71,77.98,75.53,77.86,2277432.0
2016-04-04,77.88,78.1,77.0,78.07,2986497.0
2016-04-05,77.9,78.0,76.6463,76.81,1991676.0
2016-04-06,78.0,78.0,77.27,77.78,2315942.0
2016-04-07,77.58,77.68,76.9,77.11,1232615.0
2016-04-08,77.21,77.5,76.81,77.25,819002.0
2016-04-11,77.36,77.83,76.88,76.99,1091836.0
2016-04-12,77.05,77.53,77.05,77.34,912843.0
2016-04-13,77.5,77.5,76.4,76.67,1685871.0
2016-04-14,76.69,77.11,76.4,76.46,2205827.0
2016-04-15,76.51,77.6,76.4,77.55,2237544.0
2016-04-18,77.41,77.85,77.14,77.67,1399189.0
2016-04-19,77.69,77.79,77.05,77.6,1541783.0
2016-04-20,77.54,77.77,76.58,76.71,1373316.0
2016-04-21,76.75,76.75,74.96,74.99,1862255.0
2016-04-22,75.07,75.35,74.72,75.28,1210576.0
2016-04-25,75.15,76.095,75.12,75.8,1312075.0
2016-04-26,75.91,76.04,75.19,75.32,1767864.0
2016-04-27,75.56,76.64,75.49,76.39,1397087.0
2016-04-28,75.92,76.91,75.79,76.48,859542.0
2016-04-29,76.41,76.94,76.06,76.81,1300545.0
2016-05-02,77.0,77.69,76.8,77.44,1427305.0
2016-05-03,77.13,77.63,76.65,76.85,1873166.0
2016-05-04,76.55,77.35,76.53,77.02,3060165.0
2016-05-05,75.9,76.66,74.88,75.05,3398554.0
2016-05-06,74.91,75.29,73.7,75.02,3021151.0
2016-05-09,75.0,75.69,74.71,75.34,2101707.0
2016-05-10,75.66,76.38,75.6,76.37,2004344.0
2016-05-11,76.25,76.92,76.07,76.18,1941009.0
2016-05-12,76.72,77.54,76.62,77.31,2172287.0
2016-05-13,77.11,77.94,76.95,77.19,2378564.0
2016-05-16,77.01,77.44,76.775,77.23,1622586.0
2016-05-17,76.93,77.33,75.14,75.42,2099800.0
2016-05-18,75.3,75.44,74.0501,75.04,3177753.0
2016-05-19,74.83,75.37,74.54,75.24,1877265.0
2016-05-20,75.22,75.22,74.11,74.3,2587367.0
2016-05-23,74.3,75.05,74.26,74.41,1739239.0
2016-05-24,74.45,75.0,74.24,74.65,1758741.0
2016-05-25,74.71,75.12,74.5001,74.75,1479081.0
2016-05-26,74.8,75.59,74.79,75.33,1669626.0
2016-05-27,74.98,75.24,74.1907,74.49,1434569.0
2016-05-31,74.48,74.92,74.01,74.37,3182342.0
2016-06-01,74.4,75.25,74.35,74.9,2129487.0
2016-06-02,74.78,74.816,74.26,74.53,1214234.0
2016-06-03,74.57,75.55,74.57,75.13,1636805.0
2016-06-06,75.14,75.34,74.33,74.52,1117400.0
