Date,Open,High,Low,Close,Volume
2016-01-04,73.18,74.58,72.87,73.72,2812254.0
2016-01-05,74.03,74.36,73.18,73.98,1616098.0
2016-01-06,73.18,74.0,70.385,70.58,2787319.0
2016-01-07,69.48,70.44,69.03,69.17,2585747.0
2016-01-08,69.44,70.41,68.81,69.73,1274385.0
2016-01-11,70.01,70.535,68.655,69.77,1635352.0
2016-01-12,70.3,71.43,69.52,71.27,1185080.0
2016-01-13,71.49,71.62,67.74,68.36,1515271.0
2016-01-14,68.45,69.44,67.31,68.42,1969872.0
2016-01-15,66.3,68.06,66.3,67.66,1342193.0
2016-01-19,68.63,68.63,65.39,65.88,1774664.0
2016-01-20,64.6,65.37,62.21,64.35,3016775.0
2016-01-21,63.48,65.03,62.2,64.54,3504769.0
2016-01-22,70.28,72.21,66.06,67.41,4636696.0
2016-01-25,67.13,67.175,64.62,65.2,1939704.0
2016-01-26,65.85,68.11,65.47,67.47,1141343.0
2016-01-27,67.64,68.795,66.67,67.06,842447.0
2016-01-28,68.22,69.92,67.96,69.35,1708866.0
2016-01-29,69.64,71.76,69.08,70.88,1128174.0
2016-02-01,70.0,72.52,69.86,72.27,1666726.0
2016-02-02,71.41,71.82,69.94,69.99,1550500.0
2016-02-03,70.74,71.39,69.6,71.35,1115200.0
2016-02-04,71.32,76.33,71.32,75.68,2661760.0
2016-02-05,75.53,76.51,74.86,75.71,1682929.0
2016-02-08,74.62,77.82,73.5,77.26,2221624.0
2016-02-09,76.49,79.57,76.02,78.59,2860875.0
2016-02-10,79.03,79.58,77.27,78.25,2267641.0
2016-02-11,76.85,78.08,75.37,77.54,2730062.0
2016-02-12,78.78,79.97,77.495,79.4,1480496.0
2016-02-16,80.3,81.18,79.0168,80.63,1172564.0
2016-02-17,81.17,82.74,80.98,82.67,1718088.0
2016-02-18,82.33,82.405,80.01,80.5,1682968.0
2016-02-19,80.19,82.81,79.605,82.71,2048776.0
2016-02-22,83.5,84.76,82.7,83.01,1685028.0
2016-02-23,81.74,82.63,80.15,81.3,1607871.0
2016-02-24,80.33,81.4,79.0701,81.17,1758631.0
2016-02-25,81.41,82.46,79.88,82.34,1458757.0
2016-02-26,83.6,85.27,82.7,83.93,1475528.0
2016-02-29,83.72,83.97,81.54,81.71,1515492.0
2016-03-01,82.52,84.875,82.04,84.38,1366720.0
2016-03-02,84.49,85.62,84.03,85.55,1428415.0
2016-03-03,85.44,86.68,84.49,86.42,1500897.0
2016-03-04,86.25,88.0,85.59,86.65,2579087.0
2016-03-07,86.07,86.55,84.81,86.53,1726488.0
2016-03-08,86.12,87.025,83.29,83.79,1547985.0
2016-03-09,84.47,85.08,82.985,83.44,1286137.0
2016-03-10,83.78,85.3,81.43,82.43,1936775.0
2016-03-11,83.14,85.41,82.74,85.32,1097496.0
2016-03-14,85.0,86.43,84.59,86.04,1593236.0
2016-03-15,84.94,85.0,82.81,84.6,1339348.0
2016-03-16,84.56,85.6,83.56,84.92,855004.0
2016-03-17,85.14,87.46,84.23,87.35,1405643.0
2016-03-18,87.37,88.84,87.27,87.51,2178875.0
2016-03-21,87.51,88.0,86.35,86.52,1089662.0
2016-03-22,85.85,86.14,85.06,85.45,1158904.0
2016-03-23,85.31,86.23,84.6,85.35,842252.0
2016-03-24,84.45,85.39,83.58,84.94,1125672.0
2016-03-28,84.83,85.045,83.14,83.93,1589763.0
2016-03-29,83.33,85.41,82.8701,85.32,1133277.0
2016-03-30,85.69,86.27,84.52,85.8,1138536.0
2016-03-31,85.77,86.02,84.3401,85.45,1146699.0
2016-04-01,84.13,86.03,83.0,85.82,1643949.0
2016-04-04,85.63,87.1083,85.325,85.95,1061393.0
2016-04-05,84.91,87.04,84.69,86.58,1147505.0
2016-04-06,86.6,86.65,83.83,85.88,1144091.0
2016-04-07,85.09,86.04,84.02,85.27,1107327.0
2016-04-08,86.29,88.82,86.095,87.87,1300759.0
2016-04-11,88.04,90.0,87.23,87.96,1685921.0
2016-04-12,88.43,88.74,86.71,87.44,1597144.0
2016-04-13,89.31,91.1,88.15,90.54,2497886.0
2016-04-14,90.6,91.81,89.6,91.16,1571145.0
2016-04-15,91.26,91.95,90.74,91.46,1365964.0
2016-04-18,91.04,92.05,89.91,91.47,1845008.0
2016-04-19,95.48,96.14,93.1,96.02,2995857.0
2016-04-20,97.36,97.8,95.37,96.49,2328478.0
2016-04-21,96.7,97.6,95.74,96.92,1997352.0
2016-04-22,97.34,98.99,97.27,98.22,2305836.0
2016-04-25,97.75,98.005,96.12,96.92,1371622.0
2016-04-26,96.84,97.825,96.04,97.02,1356330.0
2016-04-27,96.88,98.16,96.155,97.74,1106479.0
2016-04-28,96.27,97.75,95.65,96.04,857697.0
2016-04-29,96.0,97.05,93.82,94.75,1393961.0
2016-05-02,95.55,95.77,94.16,95.24,1794148.0
2016-05-03,94.51,94.51,92.19,93.59,1701390.0
2016-05-04,93.33,93.84,92.26,93.05,1193914.0
2016-05-05,93.19,94.0,92.3,92.37,738897.0
2016-05-06,91.74,93.48,91.2,93.17,1382815.0
2016-05-09,92.91,94.05,91.39,91.5,1469346.0
2016-05-10,92.08,93.7299,91.755,93.17,1528684.0
2016-05-11,93.34,94.02,91.74,91.77,1130261.0
2016-05-12,92.26,93.54,89.02,90.18,1454108.0
2016-05-13,90.08,91.18,87.27,87.97,1403696.0
2016-05-16,88.06,89.27,87.71,88.73,1791421.0
2016-05-17,88.66,91.85,88.455,90.16,1659043.0
2016-05-18,89.72,92.23,89.285,91.49,1968824.0
2016-05-19,90.13,90.83,88.78,90.51,1230714.0
2016-05-20,91.14,91.73,90.54,91.07,778889.0
2016-05-23,91.11,91.58,90.32,90.6,1364057.0
2016-05-24,90.83,92.08,89.68,91.01,1467052.0
2016-05-25,91.22,93.61,90.84,93.49,1398488.0
2016-05-26,93.93,94.51,92.52,93.42,1189916.0
2016-05-27,93.47,93.51,92.4,93.37,611009.0
2016-05-31,93.51,94.6,92.8,93.1,1375302.0
2016-06-01,92.32,92.44,91.3,92.39,673928.0
2016-06-02,91.82,92.31,91.25,91.77,954470.0
2016-06-03,91.74,92.27,90.3601,91.9,977542.0
2016-06-06,92.48,92.58,90.42,91.32,1358678.0
2016-06-07,91.53,92.29,91.48,91.87,800145.0
2016-06-08,92.39,93.45,91.89,92.79,878964.0
2016-06-09,91.72,92.3,89.05,90.18,1799320.0
2016-06-10,89.18,89.73,87.97,88.5,1201689.0
2016-06-13,88.26,90.55,87.39,89.36,2102512.0
2016-06-14,89.0,90.72,88.575,88.72,2274245.0
