Date,Open,High,Low,Close,Volume
2016-01-04,83.4,83.6,81.79,82.87,6907076.0
2016-01-05,82.9,85.4,82.87,84.11,7463864.0
2016-01-06,82.69,84.88,82.495,83.58,6628332.0
2016-01-07,81.63,82.81,80.83,81.41,5832405.0
2016-01-08,81.67,82.485,81.04,81.25,5880152.0
2016-01-11,81.3,81.92,78.83,80.27,4889341.0
2016-01-12,80.61,81.0,79.52,80.4,4329031.0
2016-01-13,80.74,80.8162,79.09,79.3,4628359.0
2016-01-14,79.28,82.73,78.62,82.54,8253667.0
2016-01-15,80.69,81.58,80.08,81.24,6673512.0
2016-01-19,82.31,84.8,81.96,83.23,9161078.0
2016-01-20,81.85,83.47,80.41,82.62,8351906.0
2016-01-21,82.56,82.62,80.59,81.4,4930961.0
2016-01-22,82.4,83.16,81.91,82.48,3456326.0
2016-01-25,82.5,83.2,81.62,81.71,2632771.0
2016-01-26,81.75,82.17,80.91,81.96,4583353.0
2016-01-27,81.61,83.25,80.96,81.76,4341852.0
2016-01-28,81.87,82.49,76.54,76.81,10128508.0
2016-01-29,77.36,79.42,77.23,79.1,7042494.0
2016-02-01,78.21,79.16,77.28,78.4,4056000.0
2016-02-02,77.66,78.3,76.09,76.3,4804168.0
2016-02-03,76.46,77.55,74.18,76.09,6966427.0
2016-02-04,75.95,76.53,73.44,74.28,6339210.0
2016-02-05,74.16,75.82,73.5501,74.32,6312782.0
2016-02-08,73.55,74.58,72.83,74.19,4348609.0
2016-02-09,73.43,74.96,72.72,73.74,5159999.0
2016-02-10,73.73,74.87,72.98,73.07,4748135.0
2016-02-11,72.2,72.63,70.83,71.42,5425363.0
2016-02-12,71.57,71.73,70.43,71.27,6332599.0
2016-02-16,71.95,73.42,71.93,73.33,4811214.0
2016-02-17,74.01,74.92,73.09,74.68,4000056.0
2016-02-18,73.42,74.55,73.16,73.47,5620449.0
2016-02-19,72.69,73.07,72.2,72.61,6650801.0
2016-02-22,72.91,73.64,72.1,73.01,5672321.0
2016-02-23,73.1,74.5,73.06,73.47,4411185.0
