Date,Open,High,Low,Close,Volume
2016-01-04,214.0,215.77,211.39,213.21,1875020.0
2016-01-05,214.59,218.94,214.02,218.26,1349902.0
2016-01-06,217.83,221.0,216.26,217.63,1787137.0
2016-01-07,213.81,216.19,212.14,213.29,1809792.0
2016-01-08,215.01,216.35,212.37,212.91,1765123.0
2016-01-11,215.07,216.47,213.23,215.35,2550140.0
2016-01-12,216.03,218.0999,214.51,217.96,1354867.0
2016-01-13,219.26,219.62,214.06,214.4,1374093.0
2016-01-14,214.42,217.13,212.27,216.42,1920767.0
2016-01-15,211.99,217.01,211.99,215.99,2808904.0
2016-01-19,216.69,220.78,213.1701,215.29,2918082.0
2016-01-20,213.05,216.2,207.62,210.4,2459739.0
2016-01-21,211.2,212.0,208.75,210.79,1563498.0
2016-01-22,213.71,213.71,211.01,212.04,1517930.0
2016-01-25,211.84,212.75,210.0,211.01,1791850.0
2016-01-26,201.43,211.22,200.47,209.93,4440872.0
2016-01-27,209.89,211.64,207.0,207.86,2694438.0
2016-01-28,208.49,209.43,206.17,206.66,1863015.0
2016-01-29,207.83,211.05,206.12,211.0,2595387.0
2016-02-01,209.26,211.34,208.865,209.8,1672479.0
2016-02-02,209.5,210.98,207.64,210.45,1574530.0
2016-02-03,212.0,213.64,210.129,212.92,2231158.0
2016-02-04,212.5,213.38,209.28,210.21,1628202.0
2016-02-05,210.34,212.57,209.57,211.94,1892375.0
2016-02-08,209.33,215.15,209.3,214.53,2502133.0
2016-02-09,213.12,217.33,212.24,215.98,1981460.0
2016-02-10,216.01,217.44,213.624,213.95,1737869.0
2016-02-11,211.67,212.75,203.65,207.18,2649634.0
2016-02-12,208.31,209.92,205.55,206.08,2331644.0
2016-02-16,207.52,209.49,206.85,209.0,1548268.0
2016-02-17,210.0,212.97,209.1,212.74,1237621.0
2016-02-18,212.25,215.5,212.0,214.2,987137.0
2016-02-19,214.51,214.74,212.7,213.62,1233287.0
2016-02-22,214.78,216.78,214.48,215.01,974739.0
2016-02-23,214.83,215.735,213.87,215.15,1282789.0
2016-02-24,213.58,216.99,213.5,216.63,1301720.0
2016-02-25,217.0,220.14,216.38,220.03,1489196.0
2016-02-26,219.22,219.75,217.11,217.24,1210195.0
2016-02-29,216.67,218.1,215.73,215.79,1248321.0
2016-03-01,216.59,218.35,214.88,218.13,1159503.0
2016-03-02,218.09,218.86,215.78,217.2,1188626.0
2016-03-03,216.48,218.62,215.54,218.52,875001.0
2016-03-04,217.91,219.08,217.56,218.72,936287.0
2016-03-07,217.5,218.38,215.3,215.84,1017795.0
2016-03-08,213.95,216.21,210.9,215.34,1839775.0
2016-03-09,216.75,217.92,215.74,216.41,988190.0
2016-03-10,216.94,218.52,215.67,216.56,1367605.0
2016-03-11,218.0,218.89,215.96,217.05,1335763.0
2016-03-14,215.62,217.5099,215.62,216.6,934419.0
2016-03-15,215.34,217.32,214.81,217.05,1012256.0
2016-03-16,217.14,218.94,216.29,218.19,882635.0
2016-03-17,218.28,219.9412,217.42,219.25,1299111.0
2016-03-18,220.0,221.09,218.37,220.91,2114432.0
2016-03-21,220.41,223.19,220.41,221.26,1149539.0
2016-03-22,221.05,222.73,220.5,220.73,925318.0
2016-03-23,220.89,222.54,220.615,221.26,781887.0
2016-03-24,221.05,221.5,217.14,218.0,1318645.0
2016-03-28,218.81,219.55,218.34,219.06,994841.0
2016-03-29,219.0,220.92,218.43,220.76,748514.0
2016-03-30,222.0,223.86,221.79,222.96,950844.0
2016-03-31,222.65,223.3299,221.0948,221.5,1105235.0
2016-04-01,219.96,223.47,219.17,223.11,957818.0
2016-04-04,223.22,224.9,223.08,224.13,1007663.0
2016-04-05,224.03,227.03,222.82,225.62,1437329.0
2016-04-06,225.31,226.85,225.31,226.63,1276010.0
2016-04-07,226.0,227.41,225.64,226.48,1063205.0
2016-04-08,227.59,228.0,225.8,226.3,582628.0
2016-04-11,226.05,226.71,224.11,224.65,1140089.0
2016-04-12,224.75,226.87,224.1803,225.98,682413.0
2016-04-13,227.0,227.16,224.93,226.38,809135.0
2016-04-14,226.79,226.79,225.19,225.44,774293.0
2016-04-15,225.87,225.92,224.62,225.81,1134573.0
2016-04-18,225.65,227.63,225.3,227.14,824487.0
2016-04-19,227.16,227.89,226.29,226.51,721259.0
2016-04-20,227.0,228.12,226.062,226.58,887319.0
2016-04-21,226.31,227.31,225.65,226.07,997260.0
2016-04-22,226.6,227.865,225.6,226.83,1038051.0
2016-04-25,226.04,226.99,225.34,226.3,986315.0
2016-04-26,227.85,232.22,227.85,232.16,1917507.0
2016-04-27,230.09,234.59,229.96,233.65,1405637.0
2016-04-28,232.2,234.48,231.9,232.72,1034881.0
2016-04-29,232.1,232.965,230.82,232.38,952725.0
2016-05-02,232.74,233.8,232.43,233.24,1008300.0
2016-05-03,232.34,234.83,231.365,234.7,1166349.0
2016-05-04,233.85,236.34,233.09,236.01,1382750.0
2016-05-05,236.1,238.16,235.44,238.14,1198808.0
2016-05-06,238.0,240.5,237.7872,240.26,1140760.0
2016-05-09,240.26,242.0,239.52,240.32,1498212.0
2016-05-10,241.31,244.55,241.29,244.36,1141641.0
2016-05-11,243.97,244.49,241.6201,241.83,1006675.0
2016-05-12,242.03,245.37,241.5,244.94,969114.0
2016-05-13,242.38,244.5,241.7,242.12,1198571.0
2016-05-16,241.21,243.994,240.91,242.97,921153.0
2016-05-17,243.0,243.53,240.27,241.53,1016101.0
2016-05-18,240.89,243.185,240.13,241.58,739859.0
2016-05-19,239.68,241.07,237.79,238.89,1360561.0
2016-05-20,239.49,240.3,238.39,240.07,1009332.0
2016-05-23,240.43,240.5207,239.04,239.52,849560.0
2016-05-24,240.4,241.75,240.3,240.97,741439.0
2016-05-25,241.3,241.5599,240.5,240.84,737333.0
2016-05-26,240.59,242.0,240.11,241.54,647708.0
2016-05-27,240.0,240.82,239.21,240.09,794137.0
2016-05-31,239.74,240.605,236.15,236.23,2545987.0
2016-06-01,235.92,238.58,235.36,238.08,972725.0
2016-06-02,238.13,238.245,236.7901,237.83,921498.0
2016-06-03,237.58,239.645,236.23,238.92,1516652.0
2016-06-06,238.52,240.37,238.52,239.4,1154169.0
2016-06-07,240.2,241.36,239.41,239.5,993428.0
2016-06-08,239.26,240.75,239.23,240.38,918974.0
2016-06-09,240.05,240.87,240.0,240.67,894113.0
2016-06-10,240.01,241.7,239.74,240.58,760190.0
2016-06-13,240.01,240.7,237.91,237.95,1076282.0
2016-06-14,237.78,240.12,237.25,239.7,1220104.0
2016-06-15,240.11,240.59,239.23,239.45,854145.0
2016-06-16,239.05,240.45,238.09,239.87,1212409.0
2016-06-17,240.22,240.22,236.661,237.56,1455742.0
2016-06-20,239.2,239.8,237.8601,238.64,1067027.0
2016-06-21,239.49,239.85,238.31,238.55,928324.0
2016-06-22,238.95,239.27,238.04,238.17,1001844.0
2016-06-23,239.79,240.0,238.18,240.0,755711.0
2016-06-24,234.85,242.87,234.75,239.7,3471185.0
2016-06-27,238.78,239.97,236.07,239.29,1868254.0
2016-06-28,240.11,240.96,237.65,240.91,1994731.0
2016-06-29,242.0,244.69,241.66,244.08,1190008.0
2016-06-30,244.78,248.72,244.67,248.17,2045577.0
2016-07-01,248.24,249.923,248.24,249.35,1427822.0
2016-07-05,248.8,250.38,248.42,249.51,1327570.0
2016-07-06,250.95,251.32,247.88,250.08,1387397.0
2016-07-07,250.23,251.22,248.61,249.77,961348.0
2016-07-08,250.78,252.295,248.5,251.9,1082839.0
2016-07-11,252.38,256.34,251.92,254.39,6337102.0
2016-07-12,255.64,256.375,254.03,254.7,4167828.0
2016-07-13,255.1,256.44,254.9201,255.9,4780670.0
2016-07-14,257.19,257.935,254.7,256.0,3324241.0
2016-07-15,257.11,257.62,256.1,256.98,3459825.0
2016-07-18,257.78,258.29,255.3,256.29,2345697.0
2016-07-19,258.54,263.37,252.1,258.96,4979989.0
2016-07-20,259.32,259.82,255.89,256.67,3362076.0
2016-07-21,257.49,257.49,251.6,254.14,2741484.0
2016-07-22,254.6,257.49,253.05,257.31,1864603.0
2016-07-25,256.82,257.28,254.72,255.62,1295923.0
2016-07-26,255.62,256.46,253.83,254.76,2121516.0
2016-07-27,255.47,256.0,253.0301,254.16,2593320.0
2016-07-28,254.2,254.89,252.05,254.55,2716134.0
2016-07-29,254.5,254.81,252.7,252.73,2178251.0
2016-08-01,252.63,254.9255,252.3,254.84,2782279.0
2016-08-02,254.17,257.46,252.73,257.0,4770936.0
2016-08-03,257.51,257.75,254.75,256.85,6827181.0
2016-08-04,257.65,258.78,256.14,257.75,5720398.0
2016-08-05,259.14,260.29,257.63,260.29,4418108.0
2016-08-08,260.0,261.87,258.79,260.19,8743200.0
2016-08-09,260.43,261.29,259.18,260.66,9900252.0
2016-08-10,259.82,262.1,259.07,261.3,9565349.0
2016-08-11,261.5,264.07,260.15,262.54,12648897.0
2016-08-12,262.49,265.34,261.665,264.15,13962172.0
2016-08-15,264.22,266.93,264.2,266.5,9143820.0
2016-08-16,265.23,266.045,254.44,256.77,7884356.0
2016-08-17,256.7,257.5,251.55,255.64,4381071.0
2016-08-18,255.64,255.99,254.1,255.42,2596297.0
2016-08-19,254.73,255.0,252.7,254.12,2412825.0
2016-08-22,254.37,256.42,253.75,254.2,3791010.0
2016-08-23,255.24,255.24,248.1365,249.75,10627904.0
2016-08-24,248.76,249.75,244.8,248.12,10559925.0
2016-08-25,247.61,250.19,246.0,248.53,4383875.0
2016-08-26,249.0,249.8,243.65,244.44,4697122.0
2016-08-29,245.0,246.08,244.04,244.3,1637518.0
2016-08-30,242.65,243.31,238.851,239.45,1887032.0
2016-08-31,239.0,243.62,238.6,242.97,2890210.0
2016-09-01,243.13,243.84,241.9,243.61,1337103.0
2016-09-02,243.75,245.0,242.26,243.32,1492696.0
2016-09-06,244.24,244.49,242.26,243.0,1600397.0
2016-09-07,242.16,243.0,241.15,241.37,1245851.0
