Date,Open,High,Low,Close,Volume
2016-01-04,44.09,44.45,43.25,43.79,11588667.0
2016-01-05,43.79,44.45,43.65,44.15,15463548.0
2016-01-06,43.33,44.17,43.28,43.99,19644732.0
2016-01-07,43.04,43.04,41.35,41.59,19806422.0
2016-01-08,41.65,42.06,40.97,40.99,14529714.0
2016-01-11,41.33,41.795,41.04,41.68,10231989.0
2016-01-12,41.68,42.29,41.51,42.12,10948477.0
2016-01-13,42.11,42.33,40.52,40.59,14091360.0
2016-01-14,41.55,41.93,40.59,41.36,12285694.0
2016-01-15,40.56,40.86,39.79,40.31,19074422.0
2016-01-19,41.05,41.66,40.65,41.46,14058421.0
2016-01-20,40.89,41.15,39.68,40.67,12802900.0
2016-01-21,40.82,40.91,40.0,40.33,9487335.0
2016-01-22,41.09,41.735,40.4,41.6,9511100.0
2016-01-25,41.73,41.79,40.16,40.2,13465201.0
2016-01-26,40.24,41.55,40.24,41.35,8127475.0
2016-01-27,41.34,41.96,40.78,41.12,7742353.0
2016-01-28,41.81,42.5285,41.43,41.55,11620512.0
2016-01-29,42.08,43.1,41.83,43.1,14254490.0
2016-02-01,42.82,42.955,42.1,42.73,7960121.0
2016-02-02,42.12,42.7,41.67,41.95,11028301.0
2016-02-03,38.38,40.08,38.22,39.23,25931224.0
2016-02-04,39.01,39.09,37.86,38.02,18818467.0
2016-02-05,37.99,38.6799,37.37,37.7,30568832.0
2016-02-08,37.27,37.3278,35.88,36.34,24563759.0
2016-02-09,36.21,37.38,36.13,37.05,11313693.0
2016-02-10,37.69,38.565,37.292,38.025,12750762.0
2016-02-11,37.15,37.94,36.9,37.68,11390996.0
2016-02-12,38.1,38.1599,37.635,38.1,7097892.0
2016-02-16,38.64,39.15,38.395,39.12,11137236.0
2016-02-17,39.48,39.92,39.1501,39.81,11097670.0
2016-02-18,39.96,40.28,39.8,39.96,7250119.0
2016-02-19,39.79,40.765,39.56,39.81,13655505.0
2016-02-22,40.0,40.11,39.5,39.7,9490106.0
2016-02-23,39.56,40.17,39.51,40.07,8003446.0
2016-02-24,39.96,41.0,39.63,40.76,8985017.0
2016-02-25,40.85,41.59,40.72,41.58,8361643.0
2016-02-26,41.79,41.829,40.67,40.69,10024047.0
2016-02-29,40.54,41.17,40.5,40.53,10929208.0
2016-03-01,40.99,41.42,40.665,41.33,6839216.0
2016-03-02,40.96,41.28,40.55,41.22,7183792.0
2016-03-03,41.12,41.89,40.94,41.88,7876786.0
2016-03-04,41.97,42.54,41.77,42.13,6835859.0
2016-03-07,41.71,42.3324,41.56,41.73,6904193.0
2016-03-08,41.38,41.76,41.1,41.38,7267177.0
2016-03-09,41.55,42.21,41.3,41.95,7012762.0
2016-03-10,41.91,42.16,41.11,41.67,6852575.0
2016-03-11,41.97,42.42,41.56,42.36,6996758.0
2016-03-14,42.03,42.35,41.79,42.24,4206476.0
2016-03-15,41.93,42.15,41.5501,41.64,7374991.0
2016-03-16,41.57,42.21,41.33,41.72,10258751.0
2016-03-17,40.55,41.29,40.09,40.78,27291133.0
2016-03-18,41.04,41.17,40.665,40.74,21610349.0
2016-03-21,40.52,40.91,40.52,40.69,12193878.0
2016-03-22,40.56,40.7,39.77,39.91,16035113.0
2016-03-23,39.96,40.2,39.5,39.94,15611115.0
2016-03-24,39.96,40.06,39.49,39.51,10392781.0
2016-03-28,39.67,39.7,39.21,39.44,12690754.0
2016-03-29,39.5,40.19,39.24,40.1,9554820.0
2016-03-30,40.49,40.59,40.0,40.46,10805684.0
2016-03-31,40.56,40.58,40.075,40.12,11958548.0
2016-04-01,40.0,41.295,39.53,41.24,9114381.0
2016-04-04,41.14,41.29,40.83,41.22,8787767.0
2016-04-05,40.7,41.15,40.7,41.03,10275108.0
2016-04-06,40.45,41.89,40.32,41.88,9083934.0
2016-04-07,41.59,41.8199,41.315,41.52,7580628.0
2016-04-08,41.69,42.35,41.67,42.32,8854435.0
2016-04-11,42.87,42.95,42.11,42.16,6692378.0
2016-04-12,42.07,42.53,41.95,42.4,5689690.0
2016-04-13,42.66,42.98,42.3041,42.7,7388105.0
2016-04-14,42.74,42.85,42.12,42.16,12085665.0
2016-04-15,42.32,43.03,41.91,43.02,7377875.0
2016-04-18,42.8,43.29,42.66,43.25,5783810.0
2016-04-19,43.49,43.65,43.09,43.26,5339628.0
2016-04-20,43.21,43.48,42.715,43.17,6575678.0
2016-04-21,43.01,43.1699,41.86,41.9,8755347.0
2016-04-22,41.9,42.195,41.545,42.19,7208119.0
2016-04-25,42.0,42.38,41.89,42.26,5820836.0
2016-04-26,42.27,42.5,42.02,42.5,8472693.0
2016-04-27,44.3,44.5,43.28,43.88,11940043.0
2016-04-28,43.69,44.0515,43.25,43.375,7402556.0
2016-04-29,42.98,43.23,42.59,42.96,10307042.0
2016-05-02,43.19,44.48,43.02,44.31,8180335.0
2016-05-03,43.69,43.995,43.29,43.67,5867394.0
2016-05-04,43.46,43.79,43.215,43.67,5344743.0
2016-05-05,43.88,44.2299,43.69,43.92,5104479.0
2016-05-06,43.73,44.17,43.27,43.93,4546011.0
2016-05-09,43.94,44.41,43.89,44.28,6360483.0
2016-05-10,44.32,45.08,44.255,45.04,5503443.0
2016-05-11,44.84,45.17,44.33,44.4,5150912.0
2016-05-12,44.51,45.01,44.38,44.85,9609377.0
2016-05-13,44.68,44.92,44.22,44.36,12203633.0
