Date,Open,High,Low,Close,Volume
2016-01-04,57.54,57.58,56.56,57.39,6800552.0
2016-01-05,57.48,58.74,57.42,58.55,6407647.0
2016-01-06,58.05,59.47,58.0,59.17,7686446.0
2016-01-07,57.92,59.3,57.83,58.14,7313438.0
2016-01-08,58.3,59.23,58.03,58.24,7059460.0
2016-01-11,58.68,59.74,58.68,59.46,8228719.0
2016-01-12,59.96,60.08,58.92,59.38,5628176.0
2016-01-13,59.35,59.35,57.7001,57.78,7714613.0
2016-01-14,57.7,58.7,57.51,58.22,6738711.0
2016-01-15,57.05,58.15,56.83,57.2,9785814.0
2016-01-19,57.78,58.65,57.69,58.4,7911477.0
2016-01-20,57.57,58.14,56.151,57.22,9562879.0
2016-01-21,57.48,57.74,56.762,57.45,6151451.0
2016-01-22,58.15,58.41,57.52,58.28,6449261.0
2016-01-25,58.49,59.14,58.27,58.4,6677752.0
2016-01-26,58.71,59.7,58.35,58.96,8360837.0
2016-01-27,58.99,60.12,58.51,58.96,8296861.0
2016-01-28,58.11,59.89,58.02,59.63,7445913.0
2016-01-29,60.22,61.18,60.02,61.11,10238160.0
2016-02-01,60.73,61.38,60.7,60.94,6017570.0
2016-02-02,60.44,60.8,60.05,60.49,6734687.0
2016-02-03,60.5,61.02,59.135,59.84,7979567.0
2016-02-04,59.35,59.96,58.87,59.48,6364665.0
2016-02-05,59.8,60.0,58.84,59.8,7506216.0
2016-02-08,59.11,60.42,59.0,60.12,7922533.0
2016-02-09,60.15,61.13,59.73,60.45,7670308.0
2016-02-10,60.61,61.08,59.915,60.05,6137484.0
2016-02-11,59.57,60.3,59.18,59.99,5865865.0
2016-02-12,60.33,60.64,59.51,59.97,6719716.0
2016-02-16,60.26,60.54,59.73,60.3,6590793.0
2016-02-17,60.47,60.75,59.85,60.4,5311747.0
2016-02-18,60.32,60.7,60.23,60.62,5524670.0
2016-02-19,60.62,60.93,60.03,60.56,4982327.0
2016-02-22,61.02,61.36,60.71,61.21,4590489.0
2016-02-23,61.22,61.77,61.04,61.52,4684214.0
2016-02-24,61.2,61.42,60.63,61.36,4186882.0
2016-02-25,61.5,62.445,61.38,62.38,5207188.0
2016-02-26,62.53,62.53,61.28,61.54,5543565.0
2016-02-29,61.51,62.24,61.27,61.57,6261506.0
2016-03-01,62.13,62.29,61.32,61.73,7102049.0
2016-03-02,61.48,61.69,61.03,61.5,5623093.0
2016-03-03,61.5,62.285,61.16,62.23,5118981.0
2016-03-04,62.15,63.065,61.875,62.98,5930922.0
2016-03-07,62.86,63.08,61.6,61.81,9972846.0
2016-03-08,61.77,62.39,61.45,62.3,5820930.0
2016-03-09,62.64,62.89,62.4001,62.81,5932279.0
2016-03-10,62.91,63.15,62.42,63.0,6124846.0
2016-03-11,62.8,62.86,61.735,62.01,7469675.0
2016-03-14,62.14,62.3,61.57,62.01,4754826.0
