Date,Open,High,Low,Close,Volume
2016-01-04,54.32,54.8,53.39,54.8,53777963.0
2016-01-05,54.93,55.39,54.54,55.05,34079674.0
2016-01-06,54.32,54.4001,53.64,54.05,39518863.0
2016-01-07,52.7,53.485,52.07,52.17,56564852.0
2016-01-08,52.37,53.28,52.15,52.33,48753969.0
2016-01-11,52.51,52.85,51.46,52.3,36943756.0
2016-01-12,52.76,53.1,52.06,52.78,36095539.0
2016-01-13,53.8,54.07,51.3038,51.64,66883571.0
2016-01-14,52.0,53.4163,51.57,53.11,52381918.0
2016-01-15,51.31,51.97,50.34,50.99,71820697.0
2016-01-19,51.48,51.68,50.06,50.56,43564538.0
2016-01-20,49.98,51.38,49.1,50.79,63272993.0
2016-01-21,51.0,51.58,50.3,50.48,40191157.0
2016-01-22,51.41,52.33,51.26,52.29,37555789.0
2016-01-25,51.94,52.65,51.65,51.79,34707717.0
2016-01-26,51.79,52.44,51.55,52.17,28900820.0
2016-01-27,52.01,52.2,51.0201,51.22,36775194.0
2016-01-28,51.86,52.21,51.25,52.055,62513789.0
2016-01-29,54.73,55.09,54.0,55.09,83611686.0
2016-02-01,54.88,55.09,54.495,54.71,44208542.0
2016-02-02,54.17,54.26,52.65,53.0,56313753.0
2016-02-03,53.25,53.39,51.26,52.16,57559814.0
2016-02-04,52.1,52.81,51.37,52.0,46987123.0
2016-02-05,51.94,52.0,49.56,50.16,62008994.0
2016-02-08,49.55,49.57,48.19,49.41,59290497.0
2016-02-09,49.02,50.24,48.67,49.28,46740474.0
2016-02-10,49.89,50.39,49.52,49.71,38236954.0
2016-02-11,48.68,50.11,48.51,49.69,48878571.0
2016-02-12,50.25,50.68,49.75,50.5,34243324.0
2016-02-16,50.9,51.09,50.13,51.09,37291208.0
2016-02-17,51.49,52.77,51.45,52.42,40788968.0
2016-02-18,52.33,52.95,52.1,52.19,27176035.0
2016-02-19,51.97,52.28,51.53,51.82,33559073.0
2016-02-22,52.28,53.0,52.28,52.65,25008291.0
2016-02-23,52.34,52.37,50.98,51.18,28895274.0
2016-02-24,50.69,51.5,50.2,51.36,33014457.0
2016-02-25,51.73,52.1,50.61,52.1,26939467.0
