Date,Open,High,Low,Close,Volume
2016-01-04,67.67,67.67,66.62,67.13,910847.0
2016-01-05,66.5,67.11,65.815,66.39,1242057.0
2016-01-06,65.57,66.575,65.25,65.43,956417.0
2016-01-07,64.63,65.29,63.54,64.11,1197212.0
2016-01-08,64.33,64.95,64.0,64.25,1288509.0
2016-01-11,64.66,64.975,63.86,64.37,884791.0
2016-01-12,64.93,65.05,63.85,64.91,1125064.0
2016-01-13,65.07,65.15,63.2,63.37,877933.0
2016-01-14,63.66,63.91,62.98,63.11,1204631.0
2016-01-15,61.8,62.28,61.213,61.59,1290941.0
2016-01-19,62.3,62.36,60.66,61.13,1444720.0
2016-01-20,60.38,60.76,59.13,60.36,1247568.0
2016-01-21,60.4,61.27,60.03,60.82,838740.0
2016-01-22,61.56,62.115,61.41,62.04,741190.0
2016-01-25,61.93,62.87,61.59,62.42,881480.0
2016-01-26,62.51,63.43,62.4,63.16,762467.0
2016-01-27,63.89,65.99,63.47,64.8,1642387.0
2016-01-28,64.96,65.45,64.38,64.74,1126573.0
2016-01-29,65.05,66.79,64.73,66.77,1224630.0
2016-02-01,66.58,67.2,66.22,66.85,1108502.0
2016-02-02,66.09,66.43,64.01,64.32,2121171.0
2016-02-03,64.65,65.6,63.85,64.88,761663.0
2016-02-04,64.7,64.91,63.81,64.25,930263.0
2016-02-05,63.99,64.26,62.52,62.82,1082894.0
2016-02-08,62.22,62.48,61.25,62.09,1105532.0
2016-02-09,61.49,63.4,61.48,62.24,1223580.0
2016-02-10,62.72,63.17,60.9,60.97,1081174.0
2016-02-11,60.19,60.83,59.78,60.52,832792.0
2016-02-12,61.0,61.96,60.68,61.78,567568.0
2016-02-16,62.47,63.46,62.36,63.42,771201.0
2016-02-17,63.93,65.19,63.74,65.05,935453.0
2016-02-18,65.17,65.41,64.67,64.78,948893.0
2016-02-19,64.78,66.06,64.33,66.0,1513565.0
2016-02-22,66.46,67.13,66.2152,66.75,1833412.0
2016-02-23,70.04,72.71,69.31,70.78,4942147.0
2016-02-24,70.89,73.0,70.75,72.84,3606405.0
2016-02-25,72.99,74.18,72.67,74.06,2073303.0
2016-02-26,74.3,75.81,74.06,74.86,2096471.0
2016-02-29,75.0,75.27,72.95,73.49,4345063.0
2016-03-01,70.94,71.68,69.31,71.19,7223934.0
2016-03-02,71.2,71.34,70.39,71.28,2762848.0
2016-03-03,71.2,71.58,70.75,71.25,4281036.0
2016-03-04,71.66,71.75,70.783,70.95,2543989.0
2016-03-07,70.67,71.19,70.47,71.01,2181904.0
2016-03-08,70.71,71.45,70.64,71.1,1567808.0
2016-03-09,71.34,71.83,71.17,71.48,1636398.0
2016-03-10,71.83,72.63,70.68,71.22,2886042.0
2016-03-11,71.46,71.75,70.895,71.2,2453022.0
2016-03-14,71.0,72.0,70.59,71.83,2548914.0
2016-03-15,71.51,72.64,71.51,71.97,2318714.0
2016-03-16,71.96,72.405,71.34,72.24,1914737.0
2016-03-17,72.53,73.77,72.25,72.83,2172758.0
2016-03-18,72.99,73.03,72.51,72.59,1456533.0
2016-03-21,72.41,73.31,71.96,73.12,2387162.0
2016-03-22,73.02,74.04,72.72,73.71,2463662.0
2016-03-23,73.69,73.69,72.85,73.15,1358244.0
2016-03-24,73.04,73.04,72.4,72.59,1135124.0
2016-03-28,72.75,73.905,72.75,73.37,1374130.0
2016-03-29,73.5,74.39,73.26,74.09,783609.0
2016-03-30,74.5,75.38,74.29,74.89,1490763.0
2016-03-31,74.78,75.83,74.78,75.7,1480540.0
2016-04-01,75.3,76.59,75.02,76.11,2105225.0
2016-04-04,75.4,76.83,75.13,76.32,1951399.0
2016-04-05,75.97,76.22,75.09,75.71,1647541.0
2016-04-06,75.93,76.15,75.17,76.09,1422582.0
2016-04-07,75.77,75.92,74.865,74.99,1045202.0
2016-04-08,75.52,75.6,75.07,75.24,867350.0
2016-04-11,75.37,75.58,74.76,74.88,1122348.0
2016-04-12,75.02,75.14,74.5961,75.04,924367.0
2016-04-13,75.54,75.58,75.01,75.37,1208648.0
2016-04-14,75.45,75.67,74.9,75.31,791078.0
2016-04-15,75.18,75.77,74.88,75.64,1136394.0
2016-04-18,75.36,75.6989,75.0,75.69,798877.0
2016-04-19,75.99,76.0,75.53,75.97,691902.0
2016-04-20,75.9,75.9,74.91,75.55,993554.0
2016-04-21,75.4,75.545,74.85,74.99,656224.0
2016-04-22,74.63,75.93,74.63,75.56,634798.0
2016-04-25,75.23,75.75,75.23,75.51,599359.0
2016-04-26,75.5,76.12,75.15,75.9,755110.0
2016-04-27,75.55,76.48,75.24,76.04,1313292.0
2016-04-28,75.7,76.15,75.17,75.34,674001.0
2016-04-29,75.07,75.3,74.22,75.19,986875.0
2016-05-02,75.47,76.03,74.94,76.0,1022369.0
2016-05-03,75.63,75.63,74.63,74.96,1234021.0
2016-05-04,74.22,74.71,73.74,74.22,928712.0
2016-05-05,74.21,75.27,74.07,74.25,1356280.0
2016-05-06,71.89,74.25,66.51,70.54,5561103.0
2016-05-09,70.42,71.26,70.0,70.82,2846021.0
2016-05-10,70.87,71.69,70.62,71.05,1539660.0
2016-05-11,71.05,71.33,69.9701,70.07,1972750.0
2016-05-12,70.21,71.54,69.655,71.11,1853561.0
2016-05-13,70.98,71.3,70.375,70.62,1897475.0
2016-05-16,70.4,71.27,70.065,70.83,1745641.0
2016-05-17,70.66,70.795,69.86,69.89,2012721.0
2016-05-18,69.82,70.2,69.05,69.46,1208894.0
2016-05-19,69.36,69.76,68.29,68.72,1240959.0
2016-05-20,69.14,69.14,68.61,68.75,1624044.0
2016-05-23,68.58,69.0,68.49,68.78,1743634.0
2016-05-24,68.87,69.79,68.868,69.68,1414451.0
2016-05-25,69.75,69.965,69.33,69.35,1155408.0
2016-05-26,69.32,69.84,68.96,69.4,832133.0
2016-05-27,69.13,69.505,68.54,69.5,1187545.0
2016-05-31,69.6,69.725,68.735,69.27,3524558.0
2016-06-01,69.01,69.45,68.645,69.06,1556996.0
2016-06-02,69.06,69.16,68.62,68.8,2347608.0
2016-06-03,68.65,68.78,67.69,68.47,4249685.0
2016-06-06,68.52,69.045,68.2,68.77,2766257.0
2016-06-07,68.48,68.65,67.93,68.16,3356049.0
2016-06-08,68.4,69.32,68.18,69.05,2742255.0
2016-06-09,68.92,69.25,68.35,68.56,1516270.0
2016-06-10,67.92,68.045,67.23,67.44,2048943.0
2016-06-13,66.9,67.91,66.77,66.82,2520871.0
2016-06-14,66.55,67.46,66.5,67.24,1688408.0
2016-06-15,67.31,67.895,67.21,67.54,4527824.0
2016-06-16,67.12,67.87,67.03,67.8,2178586.0
2016-06-17,67.82,67.92,67.3,67.33,3816850.0
2016-06-20,67.93,68.59,67.85,68.35,3958027.0
2016-06-21,68.31,68.42,67.8,67.81,1259689.0
2016-06-22,67.72,67.9299,67.38,67.43,1079910.0
2016-06-23,67.83,68.16,67.7,68.01,1001844.0
2016-06-24,66.05,66.45,64.6,64.73,4735121.0
2016-06-27,64.17,64.17,62.76,63.08,2327630.0
2016-06-28,63.61,63.81,62.82,63.69,2158038.0
2016-06-29,64.23,64.65,63.73,64.55,1169304.0
2016-06-30,65.37,65.98,64.88,65.97,1926564.0
2016-07-01,65.86,66.46,65.56,66.01,1171924.0
2016-07-05,65.47,65.475,64.73,64.77,939894.0
2016-07-06,64.42,65.35,64.05,65.3,2213022.0
2016-07-07,65.19,65.43,64.76,65.05,930226.0
2016-07-08,65.67,66.54,65.5,66.38,923532.0
2016-07-11,66.57,66.74,66.21,66.62,983525.0
2016-07-12,67.26,67.51,66.88,67.4,1181611.0
2016-07-13,67.67,67.73,67.32,67.46,951393.0
2016-07-14,67.87,68.16,67.475,67.58,958920.0
2016-07-15,67.79,67.79,67.08,67.4,928355.0
2016-07-18,67.4,68.0,67.4,67.55,696046.0
2016-07-19,67.6,67.76,67.1,67.5,765557.0
2016-07-20,67.57,68.02,67.53,67.93,980034.0
2016-07-21,67.83,68.13,67.31,67.55,718803.0
2016-07-22,67.51,68.355,67.47,68.25,816117.0
2016-07-25,68.03,68.34,67.86,68.09,567570.0
2016-07-26,68.15,68.49,68.1,68.42,564518.0
2016-07-27,68.45,69.29,68.21,69.26,1342678.0
2016-07-28,69.02,69.73,69.01,69.58,1215449.0
2016-07-29,69.46,69.57,68.99,69.38,936301.0
2016-08-01,69.4,69.7,69.03,69.63,871646.0
2016-08-02,69.42,69.5,68.36,68.84,809212.0
2016-08-03,68.8,69.29,68.56,69.29,1032050.0
2016-08-04,69.39,70.76,69.34,70.24,1759180.0
2016-08-05,70.37,73.64,69.81,73.5,2784572.0
2016-08-08,73.66,74.83,73.5,73.93,2120559.0
2016-08-09,74.02,74.515,73.8,74.28,1574958.0
2016-08-10,74.21,74.37,73.89,74.28,1464044.0
2016-08-11,74.6,75.855,74.48,75.52,1616308.0
2016-08-12,75.39,75.95,74.51,74.54,1946163.0
2016-08-15,74.55,75.62,74.31,75.44,1721053.0
2016-08-16,75.32,75.685,74.79,75.58,1320592.0
2016-08-17,75.41,75.81,75.08,75.68,2159197.0
2016-08-18,75.69,76.01,75.535,75.99,658780.0
2016-08-19,75.74,76.48,75.64,76.34,795650.0
2016-08-22,76.07,76.51,75.84,76.49,833434.0
2016-08-23,76.8,77.425,76.6282,76.99,1113216.0
2016-08-24,76.72,77.22,76.5,77.12,1078745.0
2016-08-25,76.82,77.38,76.78,77.18,956485.0
2016-08-26,77.11,77.86,76.59,77.2,777182.0
2016-08-29,77.2,77.64,76.9301,77.29,834437.0
2016-08-30,77.35,77.66,77.15,77.51,1139565.0
2016-08-31,77.19,77.19,76.68,76.99,1410306.0
2016-09-01,76.96,77.02,76.05,76.8,1562726.0
2016-09-02,77.18,77.99,77.06,77.95,1084707.0
2016-09-06,77.92,78.99,77.51,78.32,1398365.0
2016-09-07,78.15,78.42,77.86,78.08,1220190.0
2016-09-08,77.83,77.99,77.36,77.37,1478706.0
2016-09-09,77.02,77.575,76.56,76.65,1588093.0
2016-09-12,76.77,77.28,75.9,77.23,1516419.0
2016-09-13,76.57,77.99,76.03,76.09,1336478.0
2016-09-14,75.91,75.99,75.2467,75.47,1007998.0
2016-09-15,75.56,76.11,75.53,76.04,1535430.0
2016-09-16,75.73,75.91,75.37,75.63,3574170.0
2016-09-19,75.65,76.4,75.48,75.76,772715.0
2016-09-20,76.14,76.24,75.04,75.21,714994.0
2016-09-21,75.21,75.78,75.08,75.73,1268858.0
2016-09-22,76.25,76.45,76.06,76.19,619662.0
2016-09-23,76.04,76.47,75.97,76.11,1275780.0
2016-09-26,75.72,76.16,75.61,75.95,611594.0
2016-09-27,75.95,76.445,75.73,76.32,1134902.0
2016-09-28,76.29,76.96,76.16,76.79,1100128.0
2016-09-29,76.46,77.37,76.16,77.21,1839410.0
2016-09-30,77.49,77.5,76.05,76.28,1806338.0
2016-10-03,75.98,76.39,75.17,75.25,1055833.0
2016-10-04,75.13,75.6,74.01,74.42,978526.0
2016-10-05,74.7,74.94,74.121,74.35,1084420.0
2016-10-06,74.34,74.78,74.0542,74.64,626971.0
2016-10-07,74.79,74.79,73.74,74.48,683025.0
2016-10-10,74.89,74.9899,74.4,74.67,501097.0
2016-10-11,74.66,74.7,73.09,73.5,874190.0
2016-10-12,74.21,74.97,73.55,73.76,1578530.0
2016-10-13,73.55,73.55,72.3,73.06,1231386.0
2016-10-14,73.53,74.05,73.34,73.58,766086.0
2016-10-17,73.66,73.98,73.09,73.13,792669.0
2016-10-18,73.79,74.2,73.68,73.8,477671.0
2016-10-19,74.03,74.2,73.43,73.8,671523.0
2016-10-20,73.75,73.94,73.4,73.57,510185.0
2016-10-21,73.11,73.69,72.98,73.62,586553.0
2016-10-24,74.11,74.91,73.87,74.49,591640.0
2016-10-25,74.35,74.53,73.74,74.16,946293.0
2016-10-26,74.07,74.405,73.55,73.58,651711.0
2016-10-27,73.67,73.93,73.22,73.48,1016547.0
2016-10-28,73.56,74.23,72.75,72.83,1036786.0
2016-10-31,72.71,73.04,72.05,72.58,1020705.0
2016-11-01,72.9,72.975,71.82,72.32,648833.0
2016-11-02,72.29,72.75,71.51,71.57,1075943.0
2016-11-03,71.71,72.3,71.24,71.29,1308751.0
2016-11-04,72.56,76.02,72.54,75.9,2657164.0
2016-11-07,76.78,77.74,76.64,77.71,1407454.0
2016-11-08,77.83,79.08,77.52,78.56,1517229.0
2016-11-09,77.46,79.44,77.09,78.96,1344992.0
2016-11-10,79.3,79.83,78.57,79.19,918924.0
2016-11-11,79.13,80.5,79.013,80.38,1340713.0
2016-11-14,80.5,81.37,80.46,80.6,1141155.0
2016-11-15,80.9,81.83,80.69,81.8,1390162.0
2016-11-16,81.79,82.2,80.49,80.51,1395217.0
2016-11-17,80.39,81.43,79.93,80.35,1262896.0
2016-11-18,80.6,80.6,79.88,79.98,724772.0
