Date,Open,High,Low,Close,Volume
2016-01-04,22.34,23.2,22.08,22.95,4640199.0
2016-01-05,22.91,23.03,21.9,22.59,3197304.0
2016-01-06,21.72,21.9,19.78,20.12,5395050.0
2016-01-07,19.6,20.48,19.37,19.43,3980609.0
2016-01-08,19.59,19.84,19.18,19.31,4898152.0
2016-01-11,19.26,19.5,17.87,18.32,5162592.0
2016-01-12,19.13,19.13,17.48,18.24,5040354.0
2016-01-13,18.51,19.0,17.0,17.3,4937129.0
2016-01-14,17.97,18.66,17.01,18.42,5410239.0
2016-01-15,17.45,17.52,16.6202,17.16,4735520.0
2016-01-19,17.32,17.45,16.05,16.38,5214650.0
2016-01-20,15.96,16.09,14.3,15.87,6701946.0
2016-01-21,15.84,18.1,15.8,17.24,5490759.0
2016-01-22,18.49,19.09,17.11,17.59,6333099.0
2016-01-25,16.84,18.3295,16.75,16.81,5682244.0
2016-01-26,17.08,17.8,16.775,17.71,8104092.0
2016-01-27,17.41,18.91,17.12,18.14,10056031.0
2016-01-28,19.58,20.47,17.56,18.45,10670983.0
2016-01-29,19.04,19.71,18.61,19.61,6634166.0
2016-02-01,18.82,19.16,17.83,18.4,6212132.0
2016-02-02,17.76,17.98,17.15,17.43,5497578.0
2016-02-03,17.91,19.315,17.24,19.26,4932122.0
2016-02-04,19.45,21.11,19.4,20.0,6281671.0
2016-02-05,19.79,20.24,18.86,19.84,5673211.0
2016-02-08,19.23,19.73,18.59,19.23,5605630.0
2016-02-09,18.67,18.82,17.28,17.86,5034981.0
2016-02-10,17.84,18.16,16.75,16.76,5736382.0
2016-02-11,15.86,16.38,15.23,15.97,5996938.0
2016-02-12,16.32,16.97,15.98,16.79,5237533.0
2016-02-16,17.66,17.66,16.21,16.8,5146373.0
2016-02-17,16.99,18.505,16.81,17.98,5912774.0
2016-02-18,18.37,18.53,16.6362,17.0,5129667.0
2016-02-19,16.59,16.61,15.3,15.76,6926857.0
2016-02-22,16.37,16.975,16.08,16.87,4403644.0
2016-02-23,16.56,16.77,15.96,16.17,4546551.0
2016-02-24,15.66,17.02,15.47,16.82,6809985.0
2016-02-25,16.98,17.41,15.895,16.43,5139553.0
2016-02-26,16.96,17.944,16.82,17.14,4622154.0
2016-02-29,17.22,17.435,16.94,17.18,4118223.0
2016-03-01,17.23,17.48,16.11,17.22,4745515.0
2016-03-02,16.97,19.325,16.96,19.3,5855377.0
2016-03-03,19.31,21.71,19.23,21.25,8773867.0
2016-03-04,21.74,24.14,21.35,23.7,9407654.0
2016-03-07,23.76,27.94,23.6,26.69,16922087.0
2016-03-08,26.28,26.33,22.09,22.78,11216280.0
2016-03-09,23.6,24.28,21.84,22.98,9571062.0
2016-03-10,22.7,23.4,22.02,22.95,6458080.0
2016-03-11,23.7,24.641,23.59,23.71,5103349.0
2016-03-14,23.14,24.04,22.65,23.74,4447610.0
2016-03-15,23.3,23.59,22.71,23.56,3865238.0
2016-03-16,23.67,24.55,23.47,24.44,4515555.0
2016-03-17,24.86,25.37,24.1607,24.96,4362960.0
2016-03-18,25.28,26.03,24.67,25.39,8109521.0
2016-03-21,25.31,26.33,24.94,25.67,3374041.0
2016-03-22,25.2,26.54,25.0,25.93,3777752.0
2016-03-23,25.63,25.99,23.93,24.04,3471595.0
2016-03-24,23.3,24.41,23.04,24.13,3943728.0
2016-03-28,24.32,24.38,23.36,24.09,3118413.0
2016-03-29,23.41,24.79,23.24,24.54,3654999.0
2016-03-30,25.25,25.44,24.12,24.42,2556394.0
2016-03-31,24.4,25.41,24.11,25.19,3257850.0
2016-04-01,24.52,24.65,23.82,24.26,4110459.0
2016-04-04,24.29,24.7,23.56,23.82,3783153.0
2016-04-05,23.5,24.27,23.29,23.49,4613156.0
2016-04-06,23.75,24.84,23.31,24.65,3276256.0
2016-04-07,24.25,24.68,23.8501,24.44,4249174.0
2016-04-08,25.43,26.23,25.42,25.69,3888199.0
2016-04-11,26.05,26.93,25.91,26.31,4009231.0
2016-04-12,26.77,29.47,26.65,28.82,6885051.0
2016-04-13,28.96,29.513,27.735,28.82,6676721.0
2016-04-14,29.02,29.25,28.44,28.89,4794890.0
2016-04-15,28.44,29.04,28.04,28.49,3679412.0
2016-04-18,27.22,29.58,27.1,29.13,3492849.0
2016-04-19,29.57,30.61,29.19,30.47,3845450.0
2016-04-20,30.25,31.6,29.98,31.24,4797464.0
2016-04-21,31.72,32.19,31.23,31.63,4927774.0
2016-04-22,31.87,33.67,31.65,33.66,5271770.0
2016-04-25,33.27,33.58,32.49,33.51,5460531.0
2016-04-26,33.91,34.975,33.68,34.87,5204518.0
2016-04-27,35.29,36.45,35.21,36.24,5786400.0
2016-04-28,36.61,37.48,35.19,35.4,6058273.0
2016-04-29,35.97,36.66,34.16,35.74,5647972.0
2016-05-02,35.77,35.94,33.9,35.14,4908909.0
2016-05-03,34.253,34.29,32.95,33.43,5212375.0
2016-05-04,34.11,34.345,31.94,32.81,5403825.0
2016-05-05,33.14,33.44,29.92,30.26,9783388.0
2016-05-06,29.76,31.186,29.76,30.34,5016662.0
2016-05-09,29.81,29.88,28.26,28.84,5341342.0
2016-05-10,29.06,30.17,28.95,29.91,3863190.0
2016-05-11,29.63,30.96,28.8,30.38,4057668.0
2016-05-12,30.49,31.398,29.83,30.35,5139622.0
2016-05-13,29.94,30.55,29.03,29.14,3217616.0
2016-05-16,29.95,30.69,29.88,30.07,3322366.0
2016-05-17,30.11,30.64,29.6,29.81,4309265.0
2016-05-18,29.66,30.1414,28.61,28.9,3744117.0
2016-05-19,28.4,29.65,28.13,29.38,3535979.0
2016-05-20,29.5,29.99,28.87,29.4,3219146.0
2016-05-23,29.09,29.83,28.84,29.64,2524747.0
2016-05-24,29.9,30.59,29.42,30.26,2808607.0
2016-05-25,30.5,31.47,30.42,31.4,3748299.0
