Date,Open,High,Low,Close,Volume
2016-01-04,45.77,45.93,45.165,45.67,2854463.0
2016-01-05,45.68,46.57,45.57,46.4,2402324.0
2016-01-06,46.0,46.39,45.82,46.13,1936698.0
2016-01-07,45.28,45.88,45.03,45.14,6471738.0
2016-01-08,45.49,45.63,44.28,44.33,6200400.0
2016-01-11,44.51,45.27,44.45,44.99,3385455.0
2016-01-12,45.27,45.62,44.74,45.29,1956032.0
2016-01-13,45.43,45.68,44.58,44.62,2417832.0
2016-01-14,44.75,45.99,44.31,45.7,3528967.0
2016-01-15,44.27,45.39,44.16,44.69,3204217.0
2016-01-19,45.14,45.5,44.61,45.02,2436005.0
2016-01-20,44.41,44.78,42.895,43.94,3789045.0
2016-01-21,43.97,44.4,43.42,43.89,3562767.0
2016-01-22,44.65,45.34,44.31,45.31,3454786.0
2016-01-25,45.36,46.565,44.64,44.73,1712763.0
2016-01-26,44.8,45.7,44.73,45.57,2514550.0
2016-01-27,45.65,46.65,45.47,45.91,3198729.0
2016-01-28,46.41,47.26,46.17,46.86,3259461.0
2016-01-29,47.28,48.2,47.02,48.16,3554881.0
2016-02-01,47.77,48.3,47.18,48.03,3910207.0
2016-02-02,47.56,47.97,46.99,47.21,3895300.0
2016-02-03,47.36,47.5,46.06,46.7,2596122.0
2016-02-04,46.68,47.07,46.45,46.7,2581583.0
2016-02-05,46.49,46.66,45.4,45.63,2410334.0
2016-02-08,45.14,45.28,43.91,44.72,3373802.0
2016-02-09,44.17,45.425,44.1489,45.13,3893154.0
2016-02-10,45.4,46.465,45.28,45.42,4534530.0
2016-02-11,45.5,47.65,45.2,47.33,6772938.0
2016-02-12,48.0,48.0,46.99,47.29,3597905.0
2016-02-16,48.07,48.2,47.0601,47.99,2753713.0
2016-02-17,48.22,48.55,47.96,48.41,2622483.0
2016-02-18,48.5,48.51,47.82,47.85,1925954.0
2016-02-19,47.53,48.11,47.43,48.09,1984169.0
2016-02-22,48.63,49.47,48.52,49.45,2354084.0
2016-02-23,49.24,49.24,48.3,48.72,2300786.0
2016-02-24,48.38,49.46,47.8,49.45,2723790.0
2016-02-25,49.52,49.95,49.35,49.66,1659332.0
2016-02-26,49.69,49.92,49.24,49.75,2266055.0
2016-02-29,49.52,51.35,49.52,50.34,3549808.0
2016-03-01,50.29,50.87,50.02,50.6,3130939.0
2016-03-02,50.34,50.915,50.28,50.78,1903794.0
2016-03-03,50.8,51.43,50.61,51.23,1959258.0
2016-03-04,51.19,51.84,50.99,51.73,1374382.0
2016-03-07,51.42,52.07,51.37,51.86,1986005.0
2016-03-08,51.56,51.695,50.94,51.12,2548827.0
2016-03-09,50.8,51.0,50.45,50.64,2950310.0
2016-03-10,50.66,50.92,50.16,50.39,2099544.0
2016-03-11,50.73,51.03,50.31,50.67,2045203.0
2016-03-14,50.75,51.21,50.5,51.03,1103683.0
2016-03-15,50.86,51.23,50.5,51.06,1412706.0
2016-03-16,51.18,52.0,51.07,51.79,1323206.0
2016-03-17,51.67,53.03,51.67,52.84,4298939.0
2016-03-18,53.03,53.05,52.13,52.27,3171762.0
2016-03-21,52.34,52.34,51.77,52.01,1521543.0
2016-03-22,51.98,52.2,51.65,51.8,1621634.0
2016-03-23,51.78,52.17,51.37,51.93,1517398.0
2016-03-24,51.62,52.03,51.57,52.0,1043952.0
2016-03-28,52.04,52.42,51.76,52.22,1313458.0
2016-03-29,52.05,52.44,51.97,52.38,1877883.0
2016-03-30,52.53,52.84,52.32,52.8,1672225.0
2016-03-31,52.67,53.08,52.57,52.66,1794871.0
2016-04-01,52.49,53.53,52.4,53.45,2269958.0
2016-04-04,53.33,53.52,52.49,53.01,1868460.0
2016-04-05,52.77,52.77,51.97,52.33,3057090.0
2016-04-06,52.38,52.75,52.25,52.62,1932247.0
2016-04-07,52.49,52.9,52.13,52.29,1572822.0
2016-04-08,52.7,52.79,52.25,52.51,1270722.0
2016-04-11,52.65,52.86,52.5,52.66,1388835.0
2016-04-12,52.57,53.04,52.39,52.9,1541066.0
2016-04-13,53.28,53.31,52.67,53.19,1836184.0
2016-04-14,53.3,53.42,52.88,52.96,1453869.0
2016-04-15,52.87,53.18,52.54,52.7,2571657.0
2016-04-18,52.64,53.32,52.64,53.26,1460165.0
2016-04-19,53.33,54.05,53.33,53.96,2309262.0
2016-04-20,54.48,54.59,51.76,52.86,4090911.0
2016-04-21,52.7,52.86,51.82,51.86,2293711.0
2016-04-22,51.8,52.09,51.51,51.92,1603651.0
2016-04-25,51.91,51.96,51.47,51.63,1386378.0
2016-04-26,51.8,52.18,51.65,51.98,1615065.0
2016-04-27,51.68,52.06,51.15,51.56,2326304.0
2016-04-28,51.3,52.115,51.24,51.78,2335684.0
2016-04-29,51.76,52.24,51.63,52.14,3366777.0
2016-05-02,52.14,53.01,52.01,52.51,3084127.0
2016-05-03,52.02,52.17,51.29,51.56,2218338.0
2016-05-04,51.24,51.68,51.06,51.33,2436588.0
2016-05-05,51.38,51.56,50.89,50.98,2713004.0
2016-05-06,50.93,51.29,50.66,51.28,1544227.0
2016-05-09,51.28,51.83,51.2,51.7,1691034.0
2016-05-10,51.85,52.44,51.64,52.39,1417750.0
2016-05-11,52.39,52.57,51.95,52.04,1266842.0
2016-05-12,52.17,52.46,51.973,52.3,1002845.0
2016-05-13,52.23,52.55,52.0,52.06,1046800.0
2016-05-16,52.08,52.65,51.77,52.34,1364901.0
2016-05-17,52.25,52.6,51.85,51.99,1586185.0
2016-05-18,51.81,52.41,51.636,51.97,1132299.0
2016-05-19,51.77,51.925,51.07,51.59,1183955.0
2016-05-20,51.95,52.55,51.67,52.2,1341967.0
2016-05-23,52.15,52.4006,51.88,52.22,894809.0
2016-05-24,52.54,53.16,52.26,53.01,1202178.0
2016-05-25,53.07,53.21,52.78,52.95,1274963.0
2016-05-26,52.93,53.45,52.75,53.36,922944.0
2016-05-27,53.48,53.92,53.43,53.72,1235899.0
2016-05-31,53.53,53.55,53.02,53.39,1747976.0
2016-06-01,53.3,53.69,52.94,53.59,1198194.0
2016-06-02,53.49,53.75,53.17,53.72,917065.0
2016-06-03,53.63,53.8,53.4,53.7,1181636.0
2016-06-06,53.83,54.43,53.72,54.3,2192065.0
2016-06-07,54.46,54.48,53.87,53.9,1852115.0
2016-06-08,53.98,54.76,53.73,54.69,1577628.0
2016-06-09,54.45,55.06,54.39,54.98,1098221.0
2016-06-10,54.45,54.76,54.09,54.41,1109646.0
2016-06-13,54.36,54.62,53.88,53.9,1239954.0
2016-06-14,53.82,54.4,53.77,54.35,1540041.0
2016-06-15,54.6,54.62,54.075,54.13,1097771.0
2016-06-16,53.71,54.14,53.58,53.89,2508136.0
2016-06-17,53.71,53.805,53.27,53.41,2022861.0
2016-06-20,53.94,54.21,53.565,53.6,1387953.0
2016-06-21,53.61,53.89,53.28,53.53,1478347.0
2016-06-22,53.51,53.85,53.415,53.47,1127412.0
2016-06-23,54.11,54.14,53.48,53.69,1664763.0
2016-06-24,52.04,52.24,51.05,51.1,3786864.0
2016-06-27,50.47,50.6,49.76,50.17,2679156.0
2016-06-28,50.58,51.03,50.12,51.03,2589155.0
2016-06-29,51.5,52.0,51.34,51.94,3311527.0
2016-06-30,51.96,52.1,51.2,51.97,4529649.0
2016-07-01,51.97,52.42,51.71,52.13,2293421.0
2016-07-05,52.03,52.05,51.365,51.66,1887990.0
2016-07-06,51.59,52.28,51.1,52.18,3141669.0
2016-07-07,52.1,52.5,52.0,52.25,1930057.0
2016-07-08,52.8,53.03,52.64,52.87,1656210.0
2016-07-11,52.98,53.5,52.98,53.39,1354654.0
2016-07-12,53.89,54.21,53.72,53.92,1432176.0
2016-07-13,53.94,54.12,53.685,53.77,1673394.0
2016-07-14,54.04,54.25,53.78,54.03,2093479.0
2016-07-15,54.17,54.4,53.96,54.18,2906086.0
2016-07-18,54.4,54.4,54.02,54.03,1705108.0
2016-07-19,53.87,54.48,53.775,54.38,1302697.0
2016-07-20,54.44,55.125,54.26,55.09,2241247.0
2016-07-21,55.09,55.62,54.855,55.42,2807645.0
2016-07-22,55.34,55.86,55.11,55.81,2052154.0
2016-07-25,55.86,55.94,55.14,55.22,2944840.0
2016-07-26,54.22,54.79,53.31,54.19,4024124.0
2016-07-27,54.19,54.33,53.42,54.05,2236588.0
2016-07-28,53.96,54.535,53.6,54.15,1956128.0
2016-07-29,54.09,54.32,53.86,53.86,2192979.0
2016-08-01,53.77,53.96,53.25,53.49,1858600.0
2016-08-02,53.57,53.65,53.035,53.2,1387596.0
2016-08-03,53.17,53.435,53.07,53.35,1549567.0
2016-08-04,53.28,53.46,52.88,52.96,1706278.0
2016-08-05,53.16,53.24,52.74,52.91,1943455.0
2016-08-08,53.0,53.25,52.58,52.91,1782176.0
2016-08-09,52.96,53.2,52.66,52.68,1802694.0
2016-08-10,52.8,52.9,52.45,52.87,1080772.0
2016-08-11,53.06,53.21,52.67,52.76,1062313.0
2016-08-12,52.76,53.07,52.75,52.96,1039774.0
2016-08-15,52.96,53.0,52.83,52.93,844692.0
2016-08-16,52.95,52.95,52.67,52.76,958580.0
2016-08-17,52.86,53.15,52.68,53.05,2201562.0
2016-08-18,53.03,53.19,52.875,53.15,972090.0
2016-08-19,52.95,53.17,52.75,53.15,1025376.0
2016-08-22,53.04,53.5,52.92,53.47,1401166.0
2016-08-23,53.21,53.35,52.88,52.89,1900584.0
2016-08-24,52.92,52.97,52.375,52.48,1446512.0
2016-08-25,52.52,53.0,52.0,52.6,2188563.0
2016-08-26,52.76,53.1,52.3099,52.49,1316714.0
2016-08-29,52.52,52.86,52.3,52.67,915154.0
2016-08-30,52.73,53.14,52.42,53.09,1741935.0
2016-08-31,52.95,53.3,52.64,53.28,1942738.0
