Date,Open,High,Low,Close,Volume
2016-01-04,13.71,13.725,13.545,13.67,1399984.0
2016-01-05,13.66,13.71,13.06,13.11,2102002.0
2016-01-06,12.9,13.315,12.8201,13.23,1915952.0
2016-01-07,12.96,13.125,12.9,13.01,1825471.0
2016-01-08,13.12,13.15,12.9,13.01,1434618.0
2016-01-11,13.07,13.1,12.5,12.66,1731455.0
2016-01-12,12.79,12.9,12.64,12.825,832712.0
2016-01-13,12.88,12.95,12.46,12.53,901139.0
2016-01-14,12.58,13.17,12.5399,13.09,1158691.0
2016-01-15,12.69,13.04,12.61,12.81,1582956.0
2016-01-19,12.97,12.97,12.485,12.73,1065305.0
2016-01-20,12.55,12.63,12.13,12.48,1553146.0
2016-01-21,12.51,12.91,12.39,12.72,653159.0
2016-01-22,12.96,13.07,12.87,13.04,1106146.0
2016-01-25,12.97,13.05,12.78,12.825,818862.0
2016-01-26,12.91,13.18,12.78,13.16,773934.0
2016-01-27,13.1,13.33,12.99,13.06,666872.0
2016-01-28,13.22,13.3,12.9,13.175,596437.0
2016-01-29,13.25,13.39,13.19,13.35,716725.0
2016-02-01,13.19,13.33,12.875,13.12,850257.0
2016-02-02,12.98,12.98,12.5001,12.57,898584.0
2016-02-03,12.7,12.85,12.35,12.69,1637181.0
2016-02-04,12.66,12.99,12.66,12.78,2195575.0
2016-02-05,12.36,12.36,11.51,11.92,5496106.0
2016-02-08,11.73,11.81,10.96,11.26,2871088.0
2016-02-09,11.08,11.285,10.96,11.09,1922721.0
2016-02-10,11.12,11.405,11.11,11.13,1426981.0
2016-02-11,11.12,11.12,10.735,10.89,1161950.0
2016-02-12,11.04,11.29,11.03,11.27,2223662.0
2016-02-16,11.46,11.66,11.31,11.54,1238844.0
2016-02-17,11.68,11.84,11.505,11.6,1171686.0
2016-02-18,11.64,11.64,11.43,11.45,965506.0
2016-02-19,11.45,11.68,11.33,11.59,1934272.0
2016-02-22,11.74,11.82,11.64,11.75,600367.0
2016-02-23,11.68,11.84,11.6,11.62,1435705.0
2016-02-24,11.44,11.57,11.38,11.55,689321.0
2016-02-25,11.57,11.59,11.3,11.49,905418.0
2016-02-26,11.57,11.655,11.46,11.58,497132.0
2016-02-29,11.58,11.625,11.41,11.41,837659.0
2016-03-01,11.49,11.53,11.3,11.4,920394.0
2016-03-02,11.36,11.58,11.35,11.57,650269.0
2016-03-03,11.57,11.6,11.42,11.58,787349.0
2016-03-04,11.64,11.81,11.49,11.73,1256370.0
2016-03-07,11.58,11.985,11.58,11.95,623805.0
2016-03-08,11.91,11.95,11.57,11.59,838017.0
2016-03-09,11.66,12.02,11.63,11.84,1154409.0
2016-03-10,11.86,11.91,11.55,11.73,792447.0
2016-03-11,11.86,12.4,11.7,12.4,750495.0
2016-03-14,12.35,12.39,12.04,12.15,815911.0
2016-03-15,12.05,12.32,11.96,12.29,1308215.0
2016-03-16,12.27,12.795,12.2181,12.78,3958622.0
2016-03-17,12.79,13.275,12.79,13.1,901030.0
2016-03-18,13.16,13.28,12.875,12.91,1202517.0
2016-03-21,12.9,13.05,12.83,13.01,515661.0
2016-03-22,12.92,13.22,12.92,13.2,979290.0
2016-03-23,13.18,13.295,13.01,13.02,1791473.0
2016-03-24,12.91,13.06,12.82,13.05,662803.0
2016-03-28,13.11,13.39,13.04,13.36,865166.0
2016-03-29,13.32,13.45,13.175,13.4,463510.0
2016-03-30,13.46,13.4875,13.13,13.25,1201937.0
2016-03-31,13.26,13.37,13.19,13.25,558499.0
2016-04-01,13.14,13.55,13.0,13.53,577034.0
2016-04-04,13.51,13.51,13.205,13.21,915713.0
2016-04-05,13.06,13.19,13.01,13.05,560880.0
2016-04-06,13.08,13.275,12.95,13.25,987208.0
2016-04-07,13.19,13.245,12.885,12.99,1100656.0
2016-04-08,13.09,13.09,12.725,12.77,1552534.0
2016-04-11,12.78,12.9,12.72,12.72,469988.0
2016-04-12,12.76,12.98,12.75,12.91,474443.0
2016-04-13,12.97,13.1,12.93,13.09,617462.0
2016-04-14,13.15,13.32,13.15,13.18,886751.0
2016-04-15,13.17,13.19,13.0,13.1,535653.0
2016-04-18,13.03,13.09,12.88,12.92,855913.0
2016-04-19,12.92,13.115,12.82,12.98,473063.0
2016-04-20,12.98,13.12,12.96,12.97,531948.0
2016-04-21,12.99,13.35,12.99,13.21,848890.0
2016-04-22,13.19,13.37,13.19,13.3,879214.0
2016-04-25,13.28,13.3001,13.02,13.08,666041.0
2016-04-26,13.08,13.33,13.02,13.27,594554.0
2016-04-27,13.26,13.39,13.09,13.19,747886.0
2016-04-28,13.09,13.31,13.01,13.07,666231.0
2016-04-29,13.03,13.09,12.76,12.96,733283.0
2016-05-02,12.98,13.25,12.94,13.18,660869.0
