Date,Open,High,Low,Close,Volume
2016-01-04,36.01,36.01,35.36,35.75,18784386.0
2016-01-05,35.86,36.12,35.49,35.64,25328141.0
2016-01-06,35.5,36.135,35.36,35.82,18164654.0
2016-01-07,35.25,35.68,34.88,35.04,22590803.0
2016-01-08,35.13,35.28,34.61,34.65,21962204.0
2016-01-11,34.75,35.12,34.52,34.94,18726561.0
2016-01-12,35.32,35.55,34.985,35.37,18457138.0
2016-01-13,35.19,35.4,33.87,34.08,28322878.0
2016-01-14,34.19,35.09,34.01,34.79,19523517.0
2016-01-15,33.8,34.51,33.66,34.12,25424508.0
2016-01-19,34.54,34.75,34.24,34.55,21423142.0
2016-01-20,33.88,34.23,33.13,33.94,25277866.0
2016-01-21,33.91,34.56,33.59,34.12,20374772.0
2016-01-22,34.55,34.99,34.53,34.8,15892645.0
2016-01-25,34.58,34.94,34.3,34.34,16793613.0
2016-01-26,34.32,35.23,34.12,35.23,19729566.0
2016-01-27,35.03,35.55,34.7339,34.91,20567567.0
2016-01-28,35.17,35.545,34.94,35.33,15472757.0
2016-01-29,35.65,36.31,35.51,36.31,19059281.0
2016-02-01,35.9,36.54,35.85,36.32,14143998.0
2016-02-02,35.85,35.94,35.25,35.35,17404484.0
2016-02-03,35.56,35.79,34.94,35.69,13855330.0
2016-02-04,35.7,36.54,35.66,36.45,16925925.0
2016-02-05,36.13,36.24,35.37,35.7,17312179.0
2016-02-08,35.13,35.7,34.475,35.61,20118847.0
2016-02-09,35.13,35.61,34.62,35.08,17819755.0
2016-02-10,35.42,36.135,35.14,35.2,13368654.0
2016-02-11,34.59,35.11,34.47,34.84,18889731.0
2016-02-12,35.24,35.55,34.905,35.54,15835938.0
2016-02-16,35.76,35.91,35.42,35.7,19675736.0
2016-02-17,35.97,36.77,35.97,36.63,13186471.0
2016-02-18,36.71,36.87,36.395,36.63,12866629.0
2016-02-19,36.52,36.79,36.42,36.78,13203418.0
2016-02-22,37.11,37.4852,36.9,37.11,10109943.0
2016-02-23,37.11,37.11,36.38,36.55,9417125.0
2016-02-24,36.09,36.73,35.77,36.63,10976148.0
2016-02-25,36.79,37.3,36.5,37.29,11565842.0
2016-02-26,37.43,37.65,36.84,36.96,16548735.0
2016-02-29,37.0,37.33,36.625,36.78,22277327.0
2016-03-01,37.15,37.99,37.04,37.99,13030757.0
2016-03-02,37.76,37.8899,37.43,37.76,12791151.0
2016-03-03,37.61,37.91,37.395,37.89,8832188.0
2016-03-04,38.0,38.16,37.7701,37.89,10638066.0
2016-03-07,37.54,38.45,37.52,38.36,13011008.0
2016-03-08,38.11,38.45,37.94,38.15,12318530.0
2016-03-09,38.43,38.61,38.12,38.48,16785792.0
2016-03-10,38.77,38.77,37.505,38.05,17621289.0
2016-03-11,38.45,38.97,38.28,38.95,13143006.0
2016-03-14,38.91,38.94,38.55,38.7,14704476.0
2016-03-15,38.35,38.87,38.13,38.74,17502867.0
2016-03-16,39.55,40.945,39.53,40.22,49082261.0
2016-03-17,40.15,40.96,40.07,40.61,22160775.0
2016-03-18,40.87,41.49,40.65,41.48,34354028.0
2016-03-21,41.42,42.0,41.37,41.61,17274720.0
2016-03-22,41.32,41.75,41.19,41.38,11970527.0
2016-03-23,41.3,41.35,40.57,40.75,13666056.0
2016-03-24,40.6,41.065,40.34,40.97,11955981.0
2016-03-28,41.11,41.11,40.555,40.62,14646960.0
2016-03-29,40.41,40.8,40.37,40.7,15159236.0
2016-03-30,40.96,41.11,40.845,40.97,9803646.0
2016-03-31,41.13,41.24,40.8,40.91,10196456.0
2016-04-01,40.68,41.22,40.62,41.16,9574125.0
2016-04-04,41.15,41.28,40.9,41.07,10243450.0
2016-04-05,40.85,41.06,40.46,40.53,9111323.0
2016-04-06,40.4,40.79,40.19,40.75,12516159.0
2016-04-07,40.59,40.59,39.81,39.97,12838607.0
2016-04-08,40.13,40.54,40.13,40.36,8011652.0
2016-04-11,40.59,41.08,40.38,40.39,10399576.0
2016-04-12,40.31,40.52,39.99,40.42,9245042.0
2016-04-13,40.82,41.39,40.63,41.31,12751341.0
2016-04-14,41.31,41.46,41.18,41.24,9150486.0
2016-04-15,41.12,41.38,41.02,41.02,10340334.0
2016-04-18,40.84,41.25,40.8,41.24,8849059.0
2016-04-19,41.41,41.49,40.965,41.06,9884448.0
2016-04-20,41.19,41.39,41.08,41.1,8481174.0
2016-04-21,41.03,41.3,40.88,40.99,11953953.0
2016-04-22,40.79,41.43,40.67,40.7,15003315.0
2016-04-25,40.59,40.83,40.47,40.78,10876223.0
2016-04-26,40.82,40.85,40.43,40.65,8365822.0
2016-04-27,40.51,41.0,40.51,40.85,8741924.0
2016-04-28,40.36,40.97,40.17,40.33,9233065.0
2016-04-29,40.17,40.17,39.37,39.86,12883113.0
2016-05-02,39.9,40.43,39.83,40.3,10454246.0
2016-05-03,40.03,40.11,39.53,39.68,11439557.0
2016-05-04,39.39,39.57,39.13,39.29,9046012.0
2016-05-05,39.44,39.46,39.125,39.23,8962693.0
2016-05-06,38.97,39.425,38.97,39.41,7587077.0
2016-05-09,39.34,39.725,39.22,39.36,7949374.0
2016-05-10,39.58,40.06,39.58,40.02,9290051.0
2016-05-11,39.86,40.08,39.64,39.65,7180105.0
2016-05-12,39.89,40.03,39.59,39.82,10006798.0
2016-05-13,39.78,40.08,39.51,39.61,9392633.0
2016-05-16,39.77,40.1,39.46,39.97,7797058.0
2016-05-17,39.8,40.02,39.47,39.6,9483701.0
2016-05-18,39.59,39.8,39.16,39.47,10379691.0
2016-05-19,39.16,39.24,38.56,38.84,15124376.0
2016-05-20,39.08,39.58,38.95,39.41,16153202.0
2016-05-23,39.31,39.44,39.14,39.18,8904799.0
2016-05-24,39.42,40.075,39.25,39.9,11329754.0
2016-05-25,40.05,40.29,40.05,40.13,7972174.0
2016-05-26,40.11,40.2,39.925,39.95,7573999.0
2016-05-27,39.83,40.08,39.8,40.07,8240624.0
2016-05-31,40.08,40.22,39.95,40.2,12567400.0
2016-06-01,40.06,40.3,39.82,40.26,9263531.0
2016-06-02,38.7,39.05,38.075,38.66,51063430.0
2016-06-03,38.74,39.21,38.69,39.1,20739974.0
2016-06-06,39.19,39.64,39.12,39.44,16116913.0
2016-06-07,39.55,39.745,39.05,39.13,20009508.0
2016-06-08,39.16,39.34,38.9,39.28,11671047.0
2016-06-09,39.19,39.21,38.75,39.05,12316133.0
2016-06-10,38.78,38.99,38.61,38.74,10441707.0
2016-06-13,38.5,38.89,38.38,38.62,13036197.0
2016-06-14,38.63,38.98,38.57,38.83,12092135.0
2016-06-15,38.8,38.92,38.41,38.44,14474536.0
