Date,Open,High,Low,Close,Volume
2016-01-04,248.45,250.96,243.71,246.11,1195038.0
2016-01-05,246.86,249.49,245.25,247.96,823253.0
2016-01-06,243.63,244.54,238.57,241.07,974008.0
2016-01-07,237.1,244.3,236.0,240.17,1053397.0
2016-01-08,239.75,241.5,234.0001,234.66,880040.0
2016-01-11,235.77,239.71,234.51,237.94,824187.0
2016-01-12,237.94,243.87,236.09,243.13,788619.0
2016-01-13,244.62,244.75,235.14,235.68,840881.0
2016-01-14,235.49,238.34,233.29,235.99,760630.0
2016-01-15,229.5,235.91,225.12,232.16,952010.0
2016-01-19,235.91,236.9,232.31,235.69,957846.0
2016-01-20,232.33,239.9,228.01,236.63,1364817.0
2016-01-21,236.43,239.467,233.48,236.71,951331.0
2016-01-22,239.55,240.54,236.9,239.44,589454.0
2016-01-25,243.68,247.0,240.39,243.89,1393044.0
2016-01-26,244.75,250.11,244.64,249.85,941790.0
2016-01-27,250.25,251.86,244.65,246.42,885234.0
2016-01-28,248.07,257.75,246.39,256.34,1655442.0
2016-01-29,257.59,261.27,255.395,260.9,1433130.0
2016-02-01,260.32,266.19,258.43,265.25,1143796.0
2016-02-02,263.6,266.23,254.77,259.49,1160843.0
2016-02-03,261.27,261.51,250.5,253.62,946110.0
2016-02-04,253.24,253.6,247.05,250.88,1002280.0
2016-02-05,250.88,251.435,241.05,242.07,1381092.0
2016-02-08,238.91,239.37,226.51,233.53,1919673.0
2016-02-09,231.9,240.0,230.17,236.29,1574530.0
2016-02-10,240.01,242.93,235.86,236.7,1788240.0
2016-02-11,242.0,253.49,238.48,249.53,2630297.0
2016-02-12,254.47,255.96,248.3,253.02,1391629.0
2016-02-16,255.14,259.5,253.03,255.76,1830114.0
2016-02-17,257.91,260.03,251.74,254.62,1148797.0
2016-02-18,254.27,255.72,251.51,253.41,736529.0
2016-02-19,252.82,259.55,249.04,257.84,883049.0
2016-02-22,259.26,261.74,257.68,259.54,609945.0
2016-02-23,258.76,260.75,255.83,258.78,881412.0
2016-02-24,256.33,264.1,255.0,263.77,808359.0
2016-02-25,264.77,267.78,262.905,267.27,774041.0
2016-02-26,268.87,269.0,261.54,262.93,798890.0
2016-02-29,262.06,264.78,259.82,260.32,838799.0
2016-03-01,263.18,272.22,261.635,272.22,1288327.0
2016-03-02,271.56,272.25,267.2135,269.55,992115.0
2016-03-03,266.51,270.76,265.0183,267.93,1143570.0
2016-03-04,268.41,268.99,263.01,265.31,1166292.0
2016-03-07,263.98,265.57,260.93,262.01,861076.0
2016-03-08,260.01,268.26,258.55,264.81,1286178.0
2016-03-09,265.27,266.97,262.71,264.77,743734.0
2016-03-10,264.77,268.59,263.87,268.14,682416.0
2016-03-11,270.1,272.29,268.28,272.21,780074.0
2016-03-14,271.87,273.28,270.0169,271.62,1126201.0
2016-03-15,270.66,273.49,270.15,271.13,568829.0
2016-03-16,269.48,270.96,268.0,270.01,453850.0
2016-03-17,269.15,269.81,266.42,267.75,639447.0
2016-03-18,268.6,269.6599,265.24,268.53,972974.0
2016-03-21,266.99,269.72,266.41,269.61,453666.0
2016-03-22,270.33,273.5,269.6647,272.74,603483.0
2016-03-23,272.7,277.68,271.62,276.44,729404.0
2016-03-24,276.35,277.17,273.405,274.76,572160.0
2016-03-28,274.91,275.42,271.84,273.36,619164.0
2016-03-29,273.48,275.8999,273.47,275.31,555363.0
2016-03-30,276.52,277.109,274.01,276.64,425846.0
2016-03-31,277.56,277.66,273.51,273.66,563832.0
2016-04-01,273.19,277.83,271.31,277.82,646409.0
2016-04-04,277.69,277.69,271.5,272.15,555258.0
2016-04-05,271.17,271.9155,269.99,270.51,575842.0
2016-04-06,271.17,272.33,268.41,271.66,488840.0
2016-04-07,270.16,273.49,267.63,269.33,481420.0
2016-04-08,270.55,271.11,267.84,269.82,525403.0
2016-04-11,269.6,270.395,266.79,266.93,581705.0
2016-04-12,268.04,269.01,265.44,268.75,868729.0
2016-04-13,270.73,271.205,266.67,269.37,698686.0
2016-04-14,274.0,274.0,269.48,269.79,766879.0
2016-04-15,269.75,269.76,268.01,268.75,552694.0
2016-04-18,268.51,273.1,268.51,272.87,635071.0
2016-04-19,273.76,275.89,272.8111,274.31,621135.0
2016-04-20,275.52,275.53,272.4101,273.58,430038.0
2016-04-21,273.1,273.4,269.69,269.76,606852.0
