Date,Open,High,Low,Close,Volume
2016-01-04,67.09,67.88,66.37,67.41,4777618.0
2016-01-05,67.18,68.71,66.78,68.53,4461963.0
2016-01-06,66.75,67.11,64.76,65.44,6739809.0
2016-01-07,64.07,65.6799,63.6901,64.26,6562515.0
2016-01-08,64.76,64.95,62.94,63.17,6202462.0
2016-01-11,62.96,63.42,59.97,61.22,9125727.0
2016-01-12,61.42,61.88,58.82,60.97,7996851.0
2016-01-13,61.75,62.8,60.025,60.4,7836353.0
2016-01-14,60.75,64.81,60.1901,64.0,9582198.0
2016-01-15,61.32,63.05,60.96,62.79,7300743.0
2016-01-19,63.5,63.65,60.34,61.46,7852015.0
2016-01-20,60.26,60.87,58.24,59.62,9785212.0
2016-01-21,59.11,61.169,58.76,60.85,7198607.0
2016-01-22,63.53,64.39,61.44,63.8,7590085.0
2016-01-25,63.01,64.3,61.73,61.79,5622608.0
2016-01-26,63.09,63.61,62.14,63.23,5580941.0
2016-01-27,62.8,65.87,62.28,64.16,6212392.0
2016-01-28,66.15,66.75,64.08,65.87,7598531.0
2016-01-29,65.99,68.83,65.88,68.83,10015206.0
2016-02-01,67.54,67.78,65.83,66.56,6053990.0
2016-02-02,64.34,66.3,64.03,65.48,5763104.0
2016-02-03,66.59,68.19,64.75,68.13,6419586.0
2016-02-04,68.9,70.49,66.78,66.98,9267260.0
2016-02-05,66.4,66.65,64.75,65.47,6392582.0
2016-02-08,63.68,66.6981,63.24,66.19,6595953.0
2016-02-09,65.13,66.17,64.05,65.22,4970495.0
2016-02-10,65.13,67.0,64.285,65.66,7291964.0
2016-02-11,64.39,66.52,64.12,66.2,6039052.0
2016-02-12,67.0,67.78,66.44,67.06,5024932.0
2016-02-16,68.25,68.32,67.15,68.01,6296607.0
2016-02-17,69.34,71.3,68.71,70.63,6539832.0
2016-02-18,71.33,71.46,69.81,70.29,4878554.0
2016-02-19,69.84,70.37,68.93,70.26,5546984.0
2016-02-22,71.9,72.19,71.1,71.68,4665069.0
2016-02-23,71.37,71.77,68.58,69.0,4214663.0
2016-02-24,67.71,69.61,67.4,69.47,3447371.0
2016-02-25,69.55,69.93,68.465,69.65,2522903.0
2016-02-26,71.23,71.23,69.75,69.8,3347839.0
2016-02-29,70.31,70.53,68.52,68.82,4650775.0
2016-03-01,69.25,70.6,68.57,70.45,4472145.0
2016-03-02,70.08,71.66,69.57,71.61,4522414.0
2016-03-03,71.59,71.62,69.38,70.49,6663151.0
2016-03-04,70.7,71.0,69.15,69.72,5744777.0
2016-03-07,70.07,70.74,68.32,70.35,6939484.0
2016-03-08,69.12,69.18,66.2,66.4,7062145.0
2016-03-09,67.23,69.25,66.3,68.43,5721345.0
2016-03-10,68.27,68.73,67.53,68.44,4637739.0
2016-03-11,69.67,70.21,69.11,69.95,3924329.0
2016-03-14,69.13,69.67,68.65,69.05,2938187.0
2016-03-15,68.06,68.36,67.48,68.33,4179976.0
2016-03-16,68.74,69.74,68.07,69.42,3601495.0
2016-03-17,70.33,71.17,69.45,70.66,4336513.0
2016-03-18,71.24,71.57,70.1,71.3,5977747.0
2016-03-21,70.89,71.365,70.07,70.67,2326964.0
2016-03-22,70.03,70.57,69.37,69.61,3321014.0
2016-03-23,68.89,69.4,68.03,68.29,4478806.0
2016-03-24,67.27,68.74,67.25,68.51,5142178.0
2016-03-28,68.66,68.715,67.76,68.03,2499595.0
2016-03-29,66.95,68.04,66.9,67.93,3324714.0
2016-03-30,68.91,69.31,68.22,68.6,3037257.0
2016-03-31,68.24,69.42,68.15,68.43,3304675.0
2016-04-01,67.23,68.42,66.98,68.2,2629544.0
2016-04-04,68.68,69.12,67.77,68.19,3233764.0
2016-04-05,67.48,68.08,66.94,67.42,4191365.0
2016-04-06,67.94,70.24,67.4,70.12,4120631.0
2016-04-07,69.55,70.4,69.0,69.38,2558835.0
2016-04-08,70.71,71.14,70.22,70.6,3212568.0
2016-04-11,70.81,71.58,70.7675,70.79,3170905.0
2016-04-12,71.28,72.92,70.33,72.45,4211047.0
2016-04-13,72.65,72.88,71.65,72.24,3753168.0
2016-04-14,72.66,74.47,72.3,74.32,6062730.0
2016-04-15,73.8,74.0,72.1,72.15,4782314.0
2016-04-18,70.7,73.66,70.7,73.3,3762252.0
2016-04-19,73.71,74.99,72.99,74.86,4027198.0
2016-04-20,74.63,76.12,74.0,75.07,4187240.0
2016-04-21,75.21,75.73,74.38,74.62,3228525.0
2016-04-22,74.92,76.0,74.83,75.85,2851799.0
2016-04-25,75.26,75.93,74.6275,75.1,3065239.0
2016-04-26,75.75,76.6,75.24,76.48,3224332.0
2016-04-27,76.76,78.09,76.65,77.52,3678582.0
2016-04-28,77.71,77.71,75.83,76.23,3683134.0
2016-04-29,76.5,77.23,75.78,76.65,4494988.0
2016-05-02,76.22,76.5,75.39,76.33,3354917.0
2016-05-03,75.43,75.88,74.71,75.57,4191874.0
2016-05-04,75.18,75.78,73.85,73.96,6165271.0
2016-05-05,75.66,76.89,75.08,76.14,6338818.0
2016-05-06,75.31,76.64,75.1,76.06,5258006.0
2016-05-09,75.25,75.83,74.25,75.54,3936380.0
2016-05-10,75.66,76.58,75.52,76.41,4696343.0
2016-05-11,75.9,77.0204,75.68,76.31,4523357.0
2016-05-12,76.98,77.2,76.16,76.48,3639480.0
2016-05-13,76.36,76.38,75.17,75.34,3689927.0
2016-05-16,76.15,76.8525,75.84,76.53,4468427.0
2016-05-17,76.33,77.08,75.76,76.34,5319278.0
2016-05-18,75.38,75.89,74.31,74.81,6095521.0
2016-05-19,74.5,75.0,73.82,74.84,3963816.0
2016-05-20,75.31,75.43,74.6,74.96,3411321.0
2016-05-23,74.48,75.37,74.31,74.87,3334451.0
2016-05-24,75.54,76.39,74.98,76.12,3620728.0
2016-05-25,76.87,77.35,75.88,76.17,3399508.0
2016-05-26,76.7,77.18,76.05,76.11,2286839.0
2016-05-27,75.97,76.22,75.58,76.15,2203127.0
2016-05-31,76.22,76.51,75.08,75.44,4584756.0
2016-06-01,74.9,75.55,74.33,75.44,3041913.0
2016-06-02,74.82,75.25,74.36,75.21,2244645.0
2016-06-03,75.48,75.72,74.37,74.83,2561996.0
2016-06-06,75.56,76.18,75.22,75.41,3296114.0
2016-06-07,76.0,77.17,75.57,76.87,4531794.0
2016-06-08,76.6,76.97,75.31,75.44,4143364.0
2016-06-09,74.56,75.66,74.52,75.6,3846622.0
2016-06-10,75.0,75.46,74.8,75.45,4066277.0
2016-06-13,74.84,75.69,74.63,75.25,5074646.0
2016-06-14,75.09,75.26,74.8,75.12,3880269.0
2016-06-15,75.09,75.34,74.59,74.85,3104672.0
2016-06-16,74.36,74.63,73.817,74.45,3378008.0
2016-06-17,74.85,75.05,74.46,74.95,4062595.0
2016-06-20,75.98,76.66,75.7,76.1,3698005.0
2016-06-21,76.31,77.28,75.81,77.16,3164048.0
2016-06-22,77.28,77.68,76.76,77.1,3564586.0
2016-06-23,77.82,78.31,77.29,78.31,4103905.0
2016-06-24,75.68,76.45,74.84,75.27,5599579.0
2016-06-27,74.36,74.74,72.5,73.12,5255973.0
2016-06-28,74.31,74.31,73.17,73.97,4449131.0
2016-06-29,73.98,75.34,73.88,75.09,4330778.0
2016-06-30,75.22,75.66,74.84,75.56,3779265.0
2016-07-01,75.43,76.245,75.14,75.67,3944560.0
2016-07-05,74.9,75.72,74.53,75.22,3599028.0
2016-07-06,75.22,75.56,74.68,75.45,3358286.0
