Date,Open,High,Low,Close,Volume
2016-01-04,15.85,15.94,15.635,15.77,4508752.0
2016-01-05,15.8,15.88,15.64,15.76,3561200.0
2016-01-06,15.55,15.695,15.49,15.61,3604754.0
2016-01-07,15.31,15.48,15.19,15.25,3783519.0
2016-01-08,15.37,15.39,14.92,14.95,4088696.0
2016-01-11,15.04,15.11,14.83,14.99,5114009.0
2016-01-12,15.16,15.17,14.81,15.02,4638029.0
2016-01-13,15.12,15.17,14.47,14.49,6628319.0
2016-01-14,14.57,15.02,14.4,14.81,7220454.0
2016-01-15,14.42,14.8,14.11,14.48,6872239.0
2016-01-19,14.67,14.69,14.35,14.46,4265413.0
2016-01-20,14.23,14.62,13.975,14.44,6849939.0
2016-01-21,14.51,14.68,14.24,14.33,6147727.0
2016-01-22,14.35,14.48,13.778,13.94,9265158.0
2016-01-25,13.9,13.9,13.62,13.64,7303952.0
2016-01-26,13.64,14.16,13.64,14.11,6523387.0
2016-01-27,14.1,14.48,14.02,14.13,4395928.0
2016-01-28,14.01,14.2301,13.965,14.04,3460267.0
2016-01-29,14.04,14.37,14.0,14.37,4585835.0
2016-02-01,14.36,14.45,14.09,14.325,3882473.0
2016-02-02,14.18,14.305,14.0,14.07,3783259.0
2016-02-03,14.16,14.25,13.78,14.17,6691197.0
2016-02-04,14.07,14.53,14.07,14.33,4341251.0
2016-02-05,14.37,14.52,14.24,14.25,5867445.0
2016-02-08,14.03,14.445,13.935,14.36,6936159.0
2016-02-09,14.15,14.72,14.15,14.54,8882092.0
2016-02-10,14.61,14.74,14.15,14.2,5354081.0
2016-02-11,13.89,14.35,13.704,13.85,3696161.0
2016-02-12,14.08,14.47,14.025,14.36,4592799.0
2016-02-16,14.48,14.98,14.355,14.83,4953670.0
2016-02-17,14.78,14.95,14.56,14.68,4817961.0
2016-02-18,14.72,14.73,14.4,14.5,4075134.0
2016-02-19,14.49,14.75,14.34,14.67,3765228.0
2016-02-22,14.82,14.93,14.76,14.86,2241727.0
2016-02-23,14.83,14.87,14.56,14.7,4022041.0
2016-02-24,14.46,14.58,14.235,14.56,4901266.0
2016-02-25,14.64,14.8,14.51,14.78,2172064.0
2016-02-26,14.92,14.99,14.745,14.91,3729398.0
2016-02-29,14.89,14.91,14.61,14.61,3885224.0
2016-03-01,14.7,15.13,14.686,15.13,3524179.0
2016-03-02,15.08,15.3,14.995,15.29,2645481.0
2016-03-03,15.24,15.53,15.19,15.53,3524610.0
2016-03-04,15.53,15.71,15.48,15.61,2769119.0
2016-03-07,15.49,15.69,15.43,15.63,2932164.0
2016-03-08,15.55,15.66,15.455,15.48,3896769.0
2016-03-09,14.84,15.58,14.84,15.41,2987940.0
2016-03-10,15.56,15.79,15.42,15.72,5428997.0
2016-03-11,15.84,15.95,15.685,15.94,3333718.0
2016-03-14,15.87,15.99,15.7,15.9,3285653.0
2016-03-15,15.76,15.92,15.73,15.88,3369889.0
2016-03-16,15.8,16.02,15.66,15.84,4002492.0
2016-03-17,15.84,15.99,15.59,15.94,3274591.0
2016-03-18,15.99,16.23,15.7746,16.02,6292957.0
2016-03-21,15.82,16.13,15.82,16.13,2869395.0
2016-03-22,16.01,16.27,15.99,16.17,3393777.0
2016-03-23,16.14,16.17,15.955,15.96,3569295.0
2016-03-24,15.9,15.94,15.73,15.86,4780605.0
2016-03-28,15.95,15.99,15.795,15.85,4353835.0
2016-03-29,15.81,15.955,15.665,15.92,3645048.0
2016-03-30,15.97,16.215,15.9,16.09,4150251.0
2016-03-31,16.09,16.12,15.84,15.93,4382153.0
2016-04-01,15.83,16.13,15.77,16.13,4471974.0
2016-04-04,16.14,16.14,15.96,16.05,2728942.0
2016-04-05,15.51,15.86,15.51,15.64,4028207.0
2016-04-06,15.65,15.72,15.5,15.72,3227368.0
2016-04-07,15.63,15.68,15.24,15.31,4136065.0
2016-04-08,15.46,15.605,15.34,15.375,4339123.0
2016-04-11,15.45,15.67,15.425,15.46,3172610.0
2016-04-12,15.56,15.68,15.375,15.65,2685805.0
2016-04-13,15.76,16.05,15.75,16.03,3476239.0
2016-04-14,16.0,16.32,15.97,16.13,3432389.0
2016-04-15,16.17,16.215,16.005,16.07,2890277.0
2016-04-18,16.03,16.2,15.95,16.19,2328223.0
2016-04-19,16.22,16.36,16.18,16.35,3046946.0
2016-04-20,16.38,16.5,16.25,16.48,2935914.0
2016-04-21,16.65,16.68,15.8,15.87,6566489.0
2016-04-22,15.67,16.13,15.64,16.09,5971844.0
2016-04-25,16.15,16.15,15.87,16.04,3136818.0
2016-04-26,16.03,16.15,15.97,16.15,5392863.0
2016-04-27,15.98,16.14,15.7,15.81,5119619.0
2016-04-28,15.67,15.76,15.45,15.53,4354386.0
2016-04-29,15.52,15.58,15.38,15.5,6059268.0
2016-05-02,15.53,15.595,15.42,15.55,3841195.0
2016-05-03,15.38,15.49,15.2,15.3,4056500.0
2016-05-04,15.23,15.29,14.93,15.06,5500120.0
2016-05-05,15.14,15.2,14.94,15.0,4201238.0
2016-05-06,14.94,15.05,14.88,15.04,3695187.0
2016-05-09,15.0,15.14,14.93,15.13,5129388.0
2016-05-10,15.18,15.28,15.09,15.21,16369332.0
2016-05-11,15.23,15.43,15.18,15.24,5615121.0
2016-05-12,15.27,15.355,15.14,15.28,3710022.0
2016-05-13,15.27,15.38,15.01,15.04,4458475.0
