Date,Open,High,Low,Close,Volume
2016-01-04,52.85,53.04,52.46,52.94,2201507.0
2016-01-05,52.87,53.28,51.91,53.02,2345654.0
2016-01-06,52.63,52.96,52.49,52.72,2599328.0
2016-01-07,52.21,52.7,52.14,52.46,2331117.0
2016-01-08,52.5,52.67,51.97,52.06,3351484.0
2016-01-11,52.2,52.54,51.91,52.23,3605362.0
2016-01-12,52.51,52.65,51.52,52.56,3495194.0
2016-01-13,52.67,52.97,52.2,52.29,2934975.0
2016-01-14,52.49,53.68,52.28,53.41,3362715.0
2016-01-15,52.36,53.2,51.88,52.47,4201582.0
2016-01-19,52.71,53.37,52.44,52.98,4674602.0
2016-01-20,52.75,53.01,50.65,51.29,4104763.0
2016-01-21,51.55,51.96,50.8,51.48,3604637.0
2016-01-22,51.98,52.39,51.5,52.36,3674691.0
2016-01-25,52.41,52.45,51.44,51.61,2125099.0
2016-01-26,52.12,52.81,51.85,52.14,3367750.0
2016-01-27,52.27,52.76,52.12,52.73,3824949.0
2016-01-28,52.73,54.16,52.35,53.76,2223976.0
2016-01-29,54.14,55.11,53.93,54.91,3727550.0
2016-02-01,54.96,55.53,54.61,55.46,3141497.0
2016-02-02,55.08,56.725,55.0701,56.67,6190116.0
2016-02-03,56.91,57.725,56.7,57.46,3970711.0
2016-02-04,57.27,57.43,56.23,56.33,4175940.0
2016-02-05,55.91,56.47,55.12,56.24,3687181.0
2016-02-08,56.24,57.115,55.73,56.3,3841347.0
2016-02-09,56.07,56.61,55.68,55.92,5979971.0
2016-02-10,55.8,56.5625,55.2,56.17,4100293.0
2016-02-11,55.88,56.48,55.08,55.16,3672496.0
2016-02-12,55.26,55.59,54.45,55.21,2877339.0
2016-02-16,55.8,55.97,55.24,55.75,2939883.0
2016-02-17,56.06,56.52,55.38,55.81,3998633.0
2016-02-18,55.6,56.38,54.95,56.0,4134384.0
2016-02-19,56.08,56.13,55.31,55.89,4175165.0
2016-02-22,56.03,56.51,55.63,56.48,3044157.0
2016-02-23,56.3,57.35,56.19,57.22,2680251.0
2016-02-24,57.01,57.55,56.485,57.46,2873627.0
2016-02-25,57.65,58.46,57.29,58.34,2755300.0
2016-02-26,58.07,58.39,56.4,56.43,2557313.0
2016-02-29,56.48,57.17,56.33,56.73,3185699.0
2016-03-01,57.1,57.24,55.92,56.21,2868433.0
2016-03-02,56.0,56.34,54.71,56.23,2666003.0
2016-03-03,56.34,56.4,55.61,56.29,2171678.0
2016-03-04,56.09,56.58,55.71,56.5,3636640.0
2016-03-07,56.37,56.86,56.2,56.47,3824431.0
2016-03-08,56.38,57.08,56.36,56.94,3390857.0
2016-03-09,56.93,57.44,56.93,57.28,2035183.0
2016-03-10,57.29,57.61,56.56,57.04,2023398.0
2016-03-11,57.5,57.6299,57.08,57.32,2304131.0
2016-03-14,57.05,57.63,57.0,57.54,2040177.0
2016-03-15,57.37,57.875,57.22,57.48,2485514.0
2016-03-16,57.23,58.11,56.7,58.06,2669540.0
2016-03-17,58.09,59.3,57.65,59.0,3023233.0
