Date,Open,High,Low,Close,Volume
2016-01-04,43.81,44.07,43.28,44.04,1816209.0
2016-01-05,43.79,44.3,43.59,44.14,1487076.0
2016-01-06,43.2,43.33,42.04,42.32,2110420.0
2016-01-07,41.3,41.65,40.1,40.23,2936186.0
2016-01-08,40.72,41.12,40.04,40.14,3309436.0
2016-01-11,40.33,41.33,38.93,39.51,2188885.0
2016-01-12,40.19,40.19,39.06,39.68,1387096.0
2016-01-13,40.19,40.47,37.9,38.3,2365479.0
2016-01-14,38.77,39.39,37.69,38.99,1954915.0
2016-01-15,37.74,38.27,37.03,37.91,2510826.0
2016-01-19,38.7,38.8499,37.18,37.53,1971949.0
2016-01-20,36.56,36.82,35.22,36.47,2572110.0
2016-01-21,36.59,37.74,36.38,36.84,1719388.0
2016-01-22,37.77,38.37,37.53,38.06,1983000.0
2016-01-25,37.87,38.02,37.15,37.23,2162526.0
2016-01-26,37.37,38.02,37.33,37.94,1585022.0
2016-01-27,37.75,38.73,37.26,37.6,1865495.0
2016-01-28,38.04,38.7,36.989,37.46,1830872.0
2016-01-29,37.92,38.27,37.39,38.0,4722056.0
2016-02-01,37.85,38.195,37.2101,37.95,3866202.0
2016-02-02,34.5,35.86,33.09,35.07,4766435.0
2016-02-03,35.25,35.54,34.3003,35.54,3535086.0
2016-02-04,35.51,36.78,35.21,36.34,2762825.0
2016-02-05,36.34,36.9955,36.035,36.81,3221804.0
2016-02-08,36.03,36.18,35.26,35.78,3003071.0
2016-02-09,34.95,36.25,34.95,35.98,3126035.0
2016-02-10,36.38,36.97,35.46,36.01,2167716.0
2016-02-11,34.78,34.99,33.72,34.34,3184267.0
2016-02-12,35.17,35.49,34.6,35.38,3534366.0
2016-02-16,36.12,36.52,35.55,36.46,3155608.0
2016-02-17,37.06,37.715,37.06,37.56,2828741.0
2016-02-18,37.66,37.69,36.93,37.18,2091838.0
2016-02-19,36.84,37.04,36.42,36.81,1885509.0
2016-02-22,37.74,37.74,36.985,37.38,1595329.0
2016-02-23,37.29,37.46,36.83,36.93,1474228.0
2016-02-24,36.54,37.51,35.73,37.13,1554364.0
2016-02-25,37.21,37.79,37.065,37.74,1589262.0
2016-02-26,37.68,38.98,37.52,38.47,2509233.0
2016-02-29,38.4,38.53,37.78,37.81,1929473.0
2016-03-01,38.21,39.52,38.16,39.52,2113919.0
2016-03-02,39.56,39.84,39.17,39.47,1969885.0
2016-03-03,39.09,39.21,38.525,39.1,2093941.0
2016-03-04,39.27,39.57,38.87,39.35,1634359.0
2016-03-07,38.97,39.52,38.73,39.51,1907068.0
2016-03-08,38.82,39.34,37.88,38.18,1610475.0
2016-03-09,38.58,38.78,37.78,38.32,1529935.0
2016-03-10,38.93,39.03,37.69,38.46,1164484.0
2016-03-11,39.4,40.4,38.87,40.36,1616219.0
2016-03-14,40.06,40.15,39.44,39.8,1183070.0
2016-03-15,39.32,39.4878,38.81,39.35,1184796.0
2016-03-16,39.28,40.09,39.17,39.91,1622808.0
2016-03-17,39.9,40.945,39.61,40.66,1592119.0
2016-03-18,40.85,41.68,40.84,41.43,2709340.0
2016-03-21,41.32,41.62,40.78,41.22,1390450.0
2016-03-22,40.55,40.92,40.42,40.68,1642879.0
2016-03-23,40.63,40.63,39.56,39.76,1769088.0
2016-03-24,39.27,39.27,38.36,38.9,2340614.0
2016-03-28,39.05,39.485,38.84,39.3,1147753.0
2016-03-29,38.95,39.485,38.51,39.4,1525659.0
