Date,Open,High,Low,Close,Volume
2016-01-04,86.85,87.05,85.76,87.0,4702959.0
2016-01-05,87.03,88.23,86.85,87.87,3923393.0
2016-01-06,87.03,88.21,87.03,87.85,4861386.0
2016-01-07,86.68,88.46,86.68,87.25,6132455.0
2016-01-08,87.58,87.65,86.48,86.71,5415013.0
2016-01-11,87.44,89.33,87.4,89.17,8020963.0
2016-01-12,89.61,89.88,88.16,89.09,4742583.0
2016-01-13,89.0,89.1999,88.06,88.31,6109298.0
2016-01-14,88.39,89.06,86.945,87.88,8194664.0
2016-01-15,86.05,86.94,85.11,86.29,7420453.0
2016-01-19,86.44,87.83,86.44,87.47,5097252.0
2016-01-20,86.68,86.9,84.46,85.86,5729552.0
2016-01-21,85.42,86.2,84.69,85.8,5436320.0
2016-01-22,86.75,87.17,85.8,86.87,3676997.0
2016-01-25,87.05,87.6,86.51,86.68,3258759.0
2016-01-26,86.76,88.32,86.76,87.31,4543961.0
2016-01-27,87.65,89.3795,87.21,88.09,4882885.0
2016-01-28,88.79,89.72,87.61,89.06,3856915.0
2016-01-29,88.86,90.24,88.33,90.01,8383114.0
2016-02-01,89.79,90.31,89.33,89.41,5985599.0
2016-02-02,88.51,89.45,88.3,89.35,5322955.0
2016-02-03,89.84,90.28,88.48,89.79,6022120.0
2016-02-04,87.68,90.35,87.68,89.1,6019855.0
2016-02-05,89.19,89.61,87.42,89.55,4557229.0
2016-02-08,89.28,90.29,88.65,89.72,5298493.0
2016-02-09,89.29,90.56,88.93,90.02,5114078.0
2016-02-10,90.25,90.39,89.0375,89.23,3730252.0
2016-02-11,88.15,88.75,87.5,88.34,4181218.0
2016-02-12,89.03,89.5,88.25,89.06,4930417.0
2016-02-16,89.5,90.34,88.6,90.12,4482856.0
2016-02-17,90.06,92.19,89.76,91.23,6288152.0
2016-02-18,91.14,91.82,91.07,91.65,5886167.0
2016-02-19,91.58,92.19,90.78,91.94,4121463.0
2016-02-22,92.34,92.85,92.019,92.54,3796812.0
2016-02-23,92.42,92.79,91.795,92.05,3589966.0
2016-02-24,91.85,91.91,90.7,91.46,4534095.0
2016-02-25,91.53,92.48,91.36,92.45,3146381.0
2016-02-26,92.54,92.87,91.11,91.45,4025108.0
2016-02-29,91.0,91.77,90.48,91.03,4697221.0
2016-03-01,91.6,91.73,91.02,91.54,4489803.0
2016-03-02,91.29,91.89,90.79,91.56,3258143.0
2016-03-03,91.54,93.29,91.31,93.26,4144085.0
2016-03-04,93.29,94.9066,93.25,94.49,5729294.0
2016-03-07,94.02,94.19,93.1,93.9,4888808.0
2016-03-08,94.07,94.79,93.76,94.45,5122035.0
2016-03-09,94.87,96.07,94.66,96.01,6544284.0
2016-03-10,95.99,96.88,95.75,96.84,5428655.0
2016-03-11,96.99,97.15,96.055,96.49,7202804.0
2016-03-14,96.58,97.13,96.0,96.44,4625115.0
2016-03-15,95.91,96.7,95.8,96.44,5039727.0
2016-03-16,96.41,97.36,95.65,97.18,3936856.0
2016-03-17,97.29,99.33,97.29,98.9,7378210.0
2016-03-18,99.03,99.24,97.92,98.17,9472481.0
2016-03-21,98.08,98.82,97.76,98.59,3783820.0
2016-03-22,97.34,97.69,96.43,96.74,3655050.0
2016-03-23,96.74,97.292,96.28,97.07,3028896.0
2016-03-24,97.04,97.6,96.66,97.57,3673503.0
2016-03-28,97.86,98.21,97.42,97.86,3206789.0
2016-03-29,98.02,98.89,97.37,98.86,5005273.0
2016-03-30,99.03,99.53,98.64,98.69,3405290.0
2016-03-31,98.53,99.005,98.01,98.11,4380321.0
2016-04-01,97.77,99.83,97.55,99.75,4184555.0
