Date,Open,High,Low,Close,Volume
2016-01-04,94.0,94.26,92.26,93.16,3040290.0
2016-01-05,93.23,93.73,92.27,93.29,1911019.0
2016-01-06,91.34,92.75,91.21,91.6,2576151.0
2016-01-07,90.01,90.85,88.88,89.28,2658291.0
2016-01-08,89.95,90.39,87.67,87.96,2358034.0
2016-01-11,88.38,88.85,87.37,88.28,1940702.0
2016-01-12,89.16,89.4,87.664,89.0,2108293.0
2016-01-13,89.32,89.84,85.83,86.41,2970824.0
2016-01-14,85.82,87.145,85.45,86.87,4580120.0
2016-01-15,84.57,86.67,82.84,86.33,5749737.0
2016-01-19,87.14,87.78,84.58,85.33,3426731.0
2016-01-20,83.8,85.11,82.54,84.17,4513994.0
2016-01-21,84.54,86.12,83.87,84.13,2534751.0
2016-01-22,85.79,86.27,84.78,85.74,2097501.0
2016-01-25,85.67,85.81,82.54,82.73,3661573.0
2016-01-26,83.36,84.58,82.93,84.45,2783257.0
2016-01-27,84.45,87.04,84.2,85.05,2811810.0
2016-01-28,85.62,86.18,84.56,84.91,2625906.0
2016-01-29,85.56,86.66,84.92,86.65,3191181.0
2016-02-01,86.65,86.81,85.46,86.09,2040279.0
2016-02-02,84.86,85.38,83.43,83.8,2336179.0
2016-02-03,84.07,84.26,81.38,83.85,3748312.0
2016-02-04,83.26,85.12,83.12,84.89,2242344.0
2016-02-05,85.19,85.71,83.24,83.57,3357217.0
2016-02-08,82.45,82.52,80.72,81.77,3469338.0
2016-02-09,80.48,82.68,80.28,82.2,4125790.0
2016-02-10,82.74,83.49,81.47,81.51,2197241.0
2016-02-11,79.2,80.22,77.67,78.17,5031173.0
2016-02-12,79.71,81.19,79.44,80.93,4390191.0
2016-02-16,82.36,84.21,81.51,83.27,3260010.0
2016-02-17,84.14,84.65,83.86,84.06,2929113.0
2016-02-18,84.05,84.202,82.24,82.58,2721943.0
2016-02-19,81.83,82.99,81.32,82.82,2710404.0
2016-02-22,83.76,84.51,83.76,84.45,1645384.0
2016-02-23,83.94,84.27,81.78,82.81,2555615.0
2016-02-24,81.55,82.41,80.57,82.3,1997309.0
2016-02-25,82.57,82.96,82.1188,82.94,2498337.0
2016-02-26,83.83,84.91,83.08,83.97,2114907.0
2016-02-29,83.7,83.7499,81.3,81.31,3109590.0
2016-03-01,81.82,84.48,81.62,84.48,3119795.0
2016-03-02,84.6,85.65,84.23,85.64,1749418.0
2016-03-03,85.63,86.58,85.245,86.58,1635227.0
2016-03-04,87.19,87.96,86.73,87.3,1872306.0
2016-03-07,86.52,87.28,86.24,86.96,2009535.0
2016-03-08,86.08,86.475,85.0,85.07,2074004.0
2016-03-09,85.75,85.94,84.42,84.62,2276214.0
2016-03-10,85.39,86.24,84.0,85.14,2367630.0
2016-03-11,86.24,86.55,85.62,86.4,3106083.0
2016-03-14,85.95,86.125,85.19,85.82,2487717.0
2016-03-15,85.06,85.87,84.87,85.79,1882810.0
2016-03-16,85.6,86.33,84.38,84.69,2186073.0
2016-03-17,84.59,85.52,83.82,85.2,2556406.0
2016-03-18,85.64,87.02,85.47,86.16,5251204.0
2016-03-21,86.15,86.72,85.63,86.2,1804915.0
2016-03-22,85.59,86.49,85.26,85.85,1987145.0
2016-03-23,85.96,86.08,85.16,85.35,2179214.0
2016-03-24,84.72,84.87,83.82,84.8,2338662.0
2016-03-28,85.38,85.4397,84.54,84.88,1649136.0
2016-03-29,84.35,84.66,83.46,84.47,2162281.0
2016-03-30,85.0,86.13,84.85,85.35,1506910.0
2016-03-31,85.2,85.57,84.31,84.57,1719972.0
2016-04-01,84.65,85.41,83.7,85.29,1844524.0
2016-04-04,85.09,85.9896,84.7,85.32,1736922.0
2016-04-05,84.39,84.68,82.86,82.94,3120293.0
2016-04-06,82.8,83.83,82.3,83.8,3040921.0
2016-04-07,82.97,83.095,81.06,81.47,3834064.0
2016-04-08,81.96,82.97,81.55,81.82,1900558.0
2016-04-11,82.36,83.08,81.92,81.92,1687334.0
2016-04-12,81.94,82.97,81.44,82.86,3281542.0
2016-04-13,83.32,85.51,83.24,85.17,3833705.0
2016-04-14,83.0,85.89,82.69,84.69,3759640.0
2016-04-15,84.59,85.15,83.66,84.16,2052238.0
2016-04-18,83.48,85.1,83.38,85.01,1837082.0
2016-04-19,85.37,86.43,85.1,86.27,2118901.0
2016-04-20,86.69,87.98,86.13,87.74,2281465.0
2016-04-21,87.67,88.56,87.26,87.51,2163355.0
2016-04-22,87.77,88.45,87.36,88.09,2853861.0
2016-04-25,87.55,87.81,86.94,87.71,1545006.0
2016-04-26,87.87,88.96,87.46,88.88,1944276.0
2016-04-27,88.74,89.77,88.22,88.99,2054734.0
2016-04-28,88.0,89.0025,87.675,88.19,2047613.0
2016-04-29,87.69,88.13,87.1,87.78,2589555.0
2016-05-02,88.52,88.55,87.63,87.91,2867535.0
2016-05-03,86.65,87.13,86.0,86.87,1829107.0
2016-05-04,86.0,86.47,84.57,85.37,2743930.0
2016-05-05,85.45,86.1,85.03,85.35,2093374.0
2016-05-06,84.9,85.74,84.6979,85.61,2162623.0
2016-05-09,84.86,86.04,84.61,84.99,2258999.0
2016-05-10,85.79,87.02,85.52,86.59,1787147.0
2016-05-11,86.29,87.28,86.225,86.34,1390907.0
2016-05-12,86.65,87.34,85.62,86.18,2647202.0
2016-05-13,85.94,86.76,84.39,84.74,1963103.0
2016-05-16,84.46,85.8,84.46,85.45,1968091.0
2016-05-17,85.12,86.14,84.4001,85.23,1815451.0
2016-05-18,85.3,88.38,85.27,88.38,2675445.0
2016-05-19,87.86,88.86,87.02,87.88,2321701.0
2016-05-20,88.33,88.92,87.89,88.19,1610629.0
2016-05-23,88.19,88.48,87.31,87.82,1610703.0
2016-05-24,88.4,89.46,88.12,89.03,2133418.0
2016-05-25,89.48,90.85,89.365,90.23,2322832.0
2016-05-26,90.34,90.35,89.41,89.49,2113394.0
2016-05-27,89.84,90.26,89.44,90.24,1924637.0
2016-05-31,90.78,90.8,89.33,89.74,2494648.0
2016-06-01,88.91,89.96,88.41,89.74,1750398.0
2016-06-02,89.59,90.1,89.2,90.01,1553074.0
2016-06-03,88.61,88.82,87.11,88.57,2472889.0
2016-06-06,88.81,90.4315,88.73,89.93,1724307.0
2016-06-07,89.9,90.3,89.07,89.1,1832316.0
2016-06-08,88.9,89.68,88.885,89.5,1834652.0
2016-06-09,88.87,89.44,87.73,88.33,1512788.0
