Date,Open,High,Low,Close,Volume
2016-01-04,45.42,45.76,44.691,45.2,4650075.0
2016-01-05,45.13,46.58,45.13,46.57,5083302.0
2016-01-06,46.25,47.905,46.0,47.77,8773510.0
2016-01-07,47.0,47.79,46.77,47.23,5690443.0
2016-01-08,47.44,47.65,46.9,47.12,5753405.0
2016-01-11,47.23,48.67,47.16,48.45,7689937.0
2016-01-12,48.58,48.99,47.82,48.25,4665688.0
2016-01-13,48.24,48.88,47.29,47.39,4668979.0
2016-01-14,47.2,47.92,47.12,47.4,5535549.0
2016-01-15,47.03,47.59,46.27,46.66,8304495.0
2016-01-19,46.93,47.42,46.63,46.93,6540664.0
2016-01-20,46.5,46.58,44.5842,45.48,6667547.0
2016-01-21,45.46,45.95,44.92,45.7,3790995.0
2016-01-22,46.17,46.51,45.6,46.3,7946386.0
2016-01-25,46.48,47.19,46.32,46.89,5385069.0
2016-01-26,46.82,47.88,46.5,47.11,3795076.0
2016-01-27,47.2,48.49,47.07,47.62,5522473.0
2016-01-28,47.68,48.68,47.3,48.54,4058335.0
2016-01-29,48.74,49.99,48.64,49.95,5747590.0
2016-02-01,49.76,50.42,49.72,49.95,5402144.0
2016-02-02,49.46,49.685,49.1,49.56,4868831.0
2016-02-03,49.83,50.05,47.705,47.85,9751778.0
2016-02-04,47.5,48.0,46.58,47.37,8109669.0
2016-02-05,47.74,48.17,46.92,47.53,6319468.0
2016-02-08,47.07,47.41,46.65,47.08,6314023.0
2016-02-09,47.0,48.26,46.7301,47.69,4605567.0
2016-02-10,48.06,48.4079,47.29,47.46,5740622.0
2016-02-11,46.55,48.77,46.5,48.5,7046303.0
2016-02-12,48.47,48.73,47.38,47.8,5706983.0
2016-02-16,48.23,48.63,47.72,48.28,6056475.0
2016-02-17,48.24,49.2,48.02,48.97,4900877.0
2016-02-18,49.05,49.6699,48.77,49.51,3707650.0
2016-02-19,49.43,49.87,48.98,49.51,3636922.0
2016-02-22,49.59,50.0,49.46,49.82,3538701.0
2016-02-23,50.0,50.66,49.75,50.5,4015039.0
2016-02-24,50.23,51.085,50.0,50.95,4187756.0
2016-02-25,51.11,51.22,50.75,50.94,4439853.0
2016-02-26,50.81,51.05,50.12,50.28,4530409.0
2016-02-29,50.16,50.75,50.16,50.43,4590094.0
2016-03-01,50.56,50.81,50.24,50.49,4992239.0
2016-03-02,50.25,50.6,50.0,50.51,4984984.0
2016-03-03,50.42,51.31,50.395,51.26,5206189.0
2016-03-04,51.28,51.965,50.84,51.71,4387722.0
2016-03-07,51.49,52.25,51.37,51.74,5776640.0
2016-03-08,51.22,51.345,50.8,51.24,5231234.0
2016-03-09,51.4,51.76,51.0,51.59,4288106.0
2016-03-10,51.93,52.54,51.46,51.89,3942419.0
2016-03-11,52.01,52.32,50.86,51.08,5302377.0
2016-03-14,50.97,51.27,50.53,51.07,4102107.0
2016-03-15,50.81,51.24,50.7,50.94,4675499.0
2016-03-16,50.76,51.25,50.36,50.94,4863991.0
2016-03-17,50.8,50.98,50.53,50.68,6528495.0
2016-03-18,50.71,50.91,50.29,50.69,16149107.0
2016-03-21,50.48,51.0689,50.07,50.74,3710259.0
2016-03-22,50.7,50.78,50.05,50.14,3739607.0
2016-03-23,50.21,50.38,49.78,50.28,3238707.0
2016-03-24,50.16,50.465,49.49,49.7,4601141.0
2016-03-28,49.93,50.635,49.81,50.46,3740620.0
2016-03-29,50.82,51.28,50.04,50.45,4031275.0
