Date,Open,High,Low,Close,Volume
2016-01-04,24.02,24.74,23.821,24.74,7733639.0
2016-01-05,24.84,25.25,24.72,25.15,9076190.0
2016-01-06,24.75,24.99,24.56,24.99,7235537.0
2016-01-07,24.46,25.07,24.35,24.57,7394493.0
2016-01-08,24.76,25.33,24.595,24.8,7103115.0
2016-01-11,25.06,25.12,23.87,24.11,8472118.0
2016-01-12,24.52,24.69,23.289,24.23,8001576.0
2016-01-13,24.55,24.61,23.6423,24.19,9474524.0
2016-01-14,24.35,25.7,24.25,25.38,14718961.0
2016-01-15,24.06,25.01,24.06,24.52,10061608.0
2016-01-19,24.78,24.938,24.02,24.47,8811935.0
2016-01-20,24.14,24.37,23.51,24.03,14834461.0
2016-01-21,24.2,25.89,23.94,25.67,10666225.0
2016-01-22,26.48,27.44,26.3198,27.39,12094791.0
2016-01-25,26.9,27.96,26.34,26.36,9115506.0
2016-01-26,26.88,27.305,26.23,26.69,9397780.0
2016-01-27,26.48,27.22,25.74,26.57,9691368.0
2016-01-28,27.55,27.77,26.76,27.11,7670622.0
2016-01-29,27.32,27.68,26.89,27.45,8887201.0
2016-02-01,27.04,27.23,26.14,26.99,8574760.0
2016-02-02,26.31,26.73,26.11,26.19,7633289.0
2016-02-03,26.97,28.49,26.41,28.41,10445268.0
2016-02-04,28.94,29.82,28.63,29.28,9923348.0
2016-02-05,29.01,29.695,28.56,29.52,8814097.0
2016-02-08,28.85,30.33,28.27,29.74,11090010.0
2016-02-09,29.45,30.09,28.98,29.15,9486587.0
2016-02-10,28.53,28.71,27.62,28.06,8177132.0
2016-02-11,27.35,28.01,26.88,27.59,8152740.0
2016-02-12,28.01,28.575,27.7,28.49,5420124.0
2016-02-16,28.8,29.09,28.14,28.4,8277282.0
2016-02-17,29.0,29.42,28.56,29.31,6470441.0
2016-02-18,29.65,29.6999,28.52,29.11,6539403.0
2016-02-19,28.52,28.65,28.01,28.63,6091178.0
2016-02-22,29.23,29.32,28.95,29.02,6501516.0
2016-02-23,28.76,28.935,28.365,28.59,5073090.0
2016-02-24,28.27,28.78,27.67,28.68,5079700.0
2016-02-25,28.63,28.95,28.18,28.77,4045226.0
2016-02-26,29.33,29.45,29.09,29.22,3337542.0
2016-02-29,29.27,29.84,29.1,29.2,6519384.0
2016-03-01,29.47,29.82,28.86,29.66,4782729.0
2016-03-02,29.44,29.94,29.18,29.93,3997798.0
2016-03-03,29.89,30.24,29.47,30.09,6190478.0
2016-03-04,30.2,30.59,29.91,30.21,5743641.0
2016-03-07,30.08,30.98,30.01,30.8,6370052.0
2016-03-08,30.78,30.8,29.74,29.84,6889833.0
2016-03-09,30.17,30.21,29.51,29.54,5731370.0
2016-03-10,29.56,29.99,29.23,29.89,8385454.0
2016-03-11,30.05,30.5742,30.04,30.33,5436072.0
2016-03-14,29.94,30.24,29.65,30.01,5114285.0
2016-03-15,29.64,29.79,28.9,29.54,5149000.0
2016-03-16,29.62,30.4,29.54,30.18,4029273.0
2016-03-17,30.53,31.08,30.35,30.88,4586958.0
2016-03-18,31.16,31.215,30.495,31.01,12421482.0
2016-03-21,30.75,30.99,30.44,30.89,3121883.0
2016-03-22,30.57,31.07,30.556,30.9,3973289.0
2016-03-23,30.57,30.9,30.3983,30.4,2393630.0
2016-03-24,30.09,30.55,29.87,30.44,4499169.0
2016-03-28,30.62,30.63,30.16,30.42,2609001.0
2016-03-29,30.08,30.22,29.68,30.11,3578069.0
2016-03-30,30.49,30.73,30.33,30.55,2722413.0
2016-03-31,30.58,30.74,30.43,30.6,3576452.0
2016-04-01,30.11,30.346,29.87,30.1,3277415.0
2016-04-04,30.24,30.59,30.1,30.29,3662825.0
2016-04-05,29.44,29.9,28.84,28.9,13579883.0
2016-04-06,29.21,29.93,28.9,29.9,8793132.0
2016-04-07,29.8,30.03,29.48,29.7,7256716.0
2016-04-08,30.25,30.32,29.805,30.01,4512700.0
2016-04-11,30.11,30.3,29.91,30.02,4547352.0
2016-04-12,30.15,31.225,30.0,31.08,6058713.0
2016-04-13,31.1,31.11,30.64,30.82,3204471.0
2016-04-14,30.93,31.07,30.23,30.32,4891785.0
2016-04-15,30.12,30.145,29.39,29.4,7744561.0
2016-04-18,28.95,30.23,28.9,30.17,4465927.0
2016-04-19,30.25,30.805,30.13,30.79,3566014.0
2016-04-20,30.64,30.91,30.49,30.62,3897857.0
2016-04-21,30.8,31.23,30.72,30.88,4324400.0
2016-04-22,31.0,31.26,30.88,31.01,3706442.0
2016-04-25,30.88,30.945,30.55,30.79,3570805.0
2016-04-26,31.0,31.305,30.91,31.01,4089019.0
2016-04-27,31.3,31.77,31.2076,31.7,3628877.0
2016-04-28,31.85,31.85,31.13,31.21,3181012.0
2016-04-29,31.23,31.465,30.98,31.27,4342367.0
2016-05-02,31.23,31.3,30.64,31.2,3659275.0
2016-05-03,30.74,30.85,30.15,30.51,6162156.0
2016-05-04,30.75,30.83,29.76,30.23,5604894.0
2016-05-05,30.75,31.59,30.73,31.33,5860947.0
2016-05-06,31.1,31.47,31.01,31.33,4409427.0
2016-05-09,31.23,31.31,30.56,31.07,4192078.0
2016-05-10,31.2,31.49,30.955,31.39,3807929.0
2016-05-11,31.03,31.03,30.36,30.88,2899826.0
2016-05-12,31.22,31.27,30.8973,31.0,3044109.0
2016-05-13,30.86,31.22,30.675,30.87,3372152.0
2016-05-16,31.18,31.525,31.14,31.43,3696172.0
2016-05-17,31.41,31.7,31.25,31.35,3975342.0
2016-05-18,31.49,31.52,30.57,30.69,3704256.0
2016-05-19,30.34,31.13,30.17,31.06,3324626.0
2016-05-20,31.18,31.26,30.72,31.18,2802172.0
2016-05-23,30.94,31.1843,30.75,30.95,2773753.0
2016-05-24,31.08,31.09,30.745,30.95,2916488.0
2016-05-25,31.1,31.78,31.0,31.64,3505237.0
2016-05-26,31.8,31.84,31.22,31.48,2431475.0
2016-05-27,31.33,31.665,31.15,31.64,2193938.0
2016-05-31,31.63,32.12,31.6,31.86,4745294.0
2016-06-01,31.55,32.18,31.37,32.06,4003322.0
2016-06-02,31.98,32.48,31.91,32.45,4189891.0
2016-06-03,32.5,32.915,32.45,32.78,4936904.0
2016-06-06,32.96,33.48,32.63,32.84,6288151.0
2016-06-07,33.05,33.47,32.62,33.29,5521863.0
2016-06-08,33.45,33.72,33.28,33.38,4887975.0
2016-06-09,33.06,33.85,33.05,33.76,4053850.0
2016-06-10,33.42,33.68,33.24,33.4,4670968.0
2016-06-13,33.29,33.53,33.08,33.15,2774730.0
2016-06-14,33.0,33.42,32.91,33.4,3799439.0
2016-06-15,33.23,33.83,33.1201,33.54,4481941.0
2016-06-16,33.25,33.75,32.86,33.68,3418131.0
2016-06-17,33.88,33.98,33.57,33.9,7739831.0
2016-06-20,34.25,34.37,33.925,33.97,3707633.0
2016-06-21,33.9,34.69,33.82,34.64,5244155.0
2016-06-22,34.66,34.86,34.45,34.56,3983662.0
2016-06-23,34.91,35.065,34.6293,35.06,3299398.0
2016-06-24,33.96,34.87,33.81,34.37,7093148.0
2016-06-27,34.09,34.58,33.925,34.54,5202239.0
2016-06-28,35.0,35.32,34.485,35.05,3938033.0
2016-06-29,35.32,36.0,35.31,35.85,4817288.0
2016-06-30,35.75,36.65,35.67,36.63,5109261.0
2016-07-01,36.62,36.88,36.45,36.68,3591287.0
2016-07-05,36.31,36.67,36.16,36.4,5848381.0
2016-07-06,36.42,36.57,35.94,36.37,7431687.0
2016-07-07,36.61,36.82,35.83,36.02,4565631.0
2016-07-08,36.34,36.5,36.14,36.36,3451090.0
2016-07-11,36.38,36.64,36.201,36.56,4022006.0
2016-07-12,36.92,37.11,36.67,36.78,3433287.0
2016-07-13,36.74,37.06,36.5944,36.77,4777458.0
2016-07-14,37.04,37.14,36.51,36.79,3578774.0
2016-07-15,36.91,37.05,36.69,37.05,2955266.0
2016-07-18,36.81,36.84,36.55,36.74,4427857.0
2016-07-19,36.6,36.85,36.35,36.85,3145016.0
2016-07-20,36.84,37.06,36.535,36.9,2145588.0
2016-07-21,36.66,36.9,36.36,36.41,2970531.0
2016-07-22,36.54,36.78,36.33,36.58,2213058.0
2016-07-25,36.31,36.675,36.165,36.51,3315224.0
2016-07-26,36.35,36.54,36.144,36.43,3079047.0
2016-07-27,36.4,36.515,35.85,36.01,4016576.0
2016-07-28,35.92,36.19,35.75,36.09,2247435.0
2016-07-29,35.82,36.2,35.73,35.97,9550986.0
2016-08-01,35.93,36.14,35.61,35.74,4303831.0
2016-08-02,35.96,36.175,35.44,35.86,4278815.0
2016-08-03,35.78,36.72,35.55,36.46,6659997.0
2016-08-04,36.41,36.985,36.41,36.85,3856089.0
2016-08-05,36.93,36.94,36.52,36.59,4369275.0
2016-08-08,36.77,36.96,36.61,36.68,3006145.0
2016-08-09,36.69,36.8,36.07,36.26,3119743.0
2016-08-10,35.89,36.03,35.5,35.63,2710063.0
2016-08-11,35.79,36.265,35.63,36.14,2899920.0
2016-08-12,36.2,36.665,36.16,36.36,2513904.0
2016-08-15,36.43,36.6499,36.045,36.07,3114026.0
2016-08-16,36.02,36.32,35.99,36.0,3100490.0
2016-08-17,36.04,36.15,35.84,36.12,3160450.0
2016-08-18,36.23,36.78,36.1,36.78,3459441.0
2016-08-19,36.6,36.64,36.22,36.36,4550085.0
2016-08-22,36.04,36.29,35.99,36.11,3907564.0
2016-08-23,36.15,36.39,36.15,36.25,3566182.0
2016-08-24,36.05,36.21,35.94,36.09,3173565.0
2016-08-25,36.1,36.14,35.65,35.69,3079285.0
2016-08-26,35.83,36.12,35.52,35.64,3044685.0
2016-08-29,35.64,35.74,35.33,35.73,2917426.0
2016-08-30,35.89,36.12,35.64,35.73,2230189.0
2016-08-31,35.5,35.72,35.3,35.62,3251756.0
2016-09-01,35.54,35.69,35.275,35.61,2605207.0
2016-09-02,35.97,36.19,35.715,36.15,2432950.0
2016-09-06,39.53,42.33,39.41,41.0,64012714.0
2016-09-07,40.91,42.18,40.88,41.92,24177658.0
2016-09-08,42.23,44.0,42.17,43.98,18297024.0
2016-09-09,43.21,43.43,42.68,42.8,8831821.0
2016-09-12,42.3,43.59,42.2,43.42,9491506.0
2016-09-13,42.59,42.817,41.49,41.52,7159238.0
2016-09-14,41.4,42.36,41.12,41.93,5397985.0
2016-09-15,41.93,42.465,41.82,42.22,4343325.0
2016-09-16,41.92,42.83,41.72,42.46,9275183.0
