Date,Open,High,Low,Close,Volume
2016-01-04,60.65,61.45,60.02,60.4,2766165.0
2016-01-05,60.42,60.96,60.16,60.79,2186173.0
2016-01-06,59.85,60.6,59.71,60.1,1661665.0
2016-01-07,58.97,59.91,58.16,58.43,2108617.0
2016-01-08,59.13,59.96,58.01,58.16,1761606.0
2016-01-11,58.26,58.65,56.3,57.18,2313190.0
2016-01-12,57.65,59.35,57.64,59.19,3121264.0
2016-01-13,59.03,59.56,54.98,55.04,4266001.0
2016-01-14,55.02,55.84,54.26,55.49,4759982.0
2016-01-15,54.34,55.23,53.79,54.88,3336083.0
2016-01-19,54.31,55.33,53.23,53.78,2744990.0
2016-01-20,52.9,54.38,52.17,53.98,2716889.0
2016-01-21,54.17,54.43,53.29,53.72,3493619.0
2016-01-22,54.3,54.82,54.2,54.77,1889777.0
2016-01-25,54.73,54.91,54.12,54.16,2678972.0
2016-01-26,54.44,54.75,53.94,54.45,2230833.0
2016-01-27,53.25,56.0,52.99,54.3,4261594.0
2016-01-28,54.77,55.99,52.66,52.75,3066759.0
2016-01-29,52.97,53.46,52.32,52.86,4148135.0
2016-02-01,52.7,53.445,52.43,53.3,2687636.0
2016-02-02,52.42,53.16,52.12,52.77,1982002.0
2016-02-03,53.25,53.25,51.9101,52.6,1988381.0
2016-02-04,52.87,53.12,52.38,53.05,2428531.0
2016-02-05,52.33,52.4,50.9975,51.21,2687857.0
2016-02-08,51.12,51.44,49.3,50.3,2310374.0
2016-02-09,49.84,51.03,49.7,50.45,1993501.0
2016-02-10,50.82,51.7,50.52,50.72,1345941.0
2016-02-11,49.62,50.1,48.83,49.46,2292790.0
2016-02-12,49.75,50.43,49.3,50.4,2286395.0
2016-02-16,50.93,52.09,50.68,51.94,2081726.0
2016-02-17,53.0,53.27,52.63,53.15,3299814.0
2016-02-18,53.08,53.345,52.7838,52.99,1556746.0
2016-02-19,52.91,53.51,52.59,53.41,2018745.0
2016-02-22,53.53,54.83,53.53,54.0,1875101.0
2016-02-23,53.7,54.31,53.6,53.99,1497043.0
2016-02-24,53.65,54.34,52.94,54.2,1274303.0
2016-02-25,54.1,54.36,53.46,54.3,1873695.0
2016-02-26,54.46,54.84,54.27,54.58,1562654.0
2016-02-29,54.35,54.43,53.67,53.69,1723046.0
2016-03-01,53.76,54.15,52.88,54.13,2082334.0
2016-03-02,54.16,54.92,54.05,54.91,1682602.0
2016-03-03,54.75,55.06,54.35,55.0,1463708.0
2016-03-04,54.83,55.81,54.8,55.68,1452064.0
2016-03-07,55.33,56.12,55.12,55.58,1526084.0
2016-03-08,55.19,55.57,54.43,54.66,1424430.0
2016-03-09,54.92,55.1,54.35,54.59,1096994.0
2016-03-10,54.78,55.05,54.03,54.76,1503852.0
2016-03-11,55.18,56.34,55.1,56.33,1483149.0
2016-03-14,55.93,56.58,55.72,56.42,1148038.0
2016-03-15,56.31,56.7,55.19,55.35,1649448.0
2016-03-16,55.23,55.6,54.06,54.5,2107129.0
2016-03-17,54.58,54.58,53.31,54.04,2133237.0
2016-03-18,54.19,54.85,53.85,54.71,5643955.0
2016-03-21,54.82,54.87,54.34,54.45,2128274.0
2016-03-22,53.95,55.04,53.21,55.0,5611315.0
2016-03-23,55.06,55.24,54.61,54.77,2005624.0
2016-03-24,54.32,54.63,53.895,54.26,1357047.0
2016-03-28,54.38,54.54,54.06,54.39,1033132.0
2016-03-29,54.12,55.075,53.93,55.03,1654599.0
2016-03-30,55.36,55.75,54.91,55.05,966716.0
2016-03-31,55.19,55.34,54.77,55.0,1769458.0
2016-04-01,54.78,55.29,54.78,55.19,1936763.0
2016-04-04,55.35,56.7,55.35,56.07,2617276.0
2016-04-05,55.64,55.73,54.6765,54.89,2653735.0
2016-04-06,54.85,55.91,54.85,55.81,3419990.0
2016-04-07,55.63,56.075,55.01,55.27,1768255.0
2016-04-08,55.5,55.87,55.18,55.37,1338918.0
2016-04-11,55.48,56.48,55.22,56.21,2724325.0
2016-04-12,56.59,57.67,56.2,57.5,3317154.0
2016-04-13,57.99,58.49,57.78,58.36,2730486.0
2016-04-14,58.49,58.67,58.02,58.56,1388876.0
2016-04-15,58.49,58.72,58.13,58.68,1468536.0
2016-04-18,58.26,58.92,57.84,58.65,2031924.0
2016-04-19,58.65,58.905,57.955,58.6,2390608.0
2016-04-20,60.75,61.57,60.27,60.94,3162547.0
2016-04-21,61.0,61.35,60.1,60.48,3121482.0
2016-04-22,60.63,60.95,60.36,60.67,1990915.0
2016-04-25,60.67,61.0,60.48,60.55,1869482.0
2016-04-26,60.66,60.72,59.97,60.18,1693569.0
2016-04-27,60.34,62.12,60.22,61.95,2975567.0
2016-04-28,77.0,79.61,76.95,77.79,32961004.0
2016-04-29,77.45,77.69,76.14,76.2,15432791.0
2016-05-02,76.37,76.7,75.99,76.3,11043738.0
2016-05-03,76.13,76.3,75.71,75.85,8664376.0
2016-05-04,75.5,75.88,75.26,75.36,7304450.0
2016-05-05,75.4,76.07,75.31,75.51,9452153.0
2016-05-06,75.2,75.59,74.94,75.1,3589843.0
2016-05-09,75.24,75.84,75.11,75.12,5866874.0
2016-05-10,75.52,75.65,75.25,75.51,6456805.0
2016-05-11,75.65,75.75,75.41,75.68,4570566.0
2016-05-12,75.7,75.91,75.47,75.83,4204221.0
2016-05-13,75.68,76.2,75.575,75.74,4513625.0
2016-05-16,75.84,76.55,75.75,76.4,3785669.0
2016-05-17,76.39,76.5,75.97,76.09,4226752.0
2016-05-18,76.19,76.78,76.01,76.35,6760950.0
