Date,Open,High,Low,Close,Volume
2016-01-04,36.03,36.43,35.11,36.27,4653163.0
2016-01-05,36.5,36.88,35.92,36.33,3092673.0
2016-01-06,35.65,35.92,34.33,34.75,4120910.0
2016-01-07,34.05,34.81,33.755,34.54,5974801.0
2016-01-08,34.38,34.53,32.16,32.54,9802283.0
2016-01-11,33.12,33.12,30.65,31.35,7835025.0
2016-01-12,31.72,31.94,30.415,31.57,6089973.0
2016-01-13,31.59,32.45,30.95,31.07,4733959.0
2016-01-14,31.19,32.43,30.45,32.11,5229934.0
2016-01-15,30.48,31.2399,29.91,30.89,8660078.0
2016-01-19,31.46,31.73,29.39,29.83,5466911.0
2016-01-20,29.19,29.5,27.745,29.22,6750525.0
2016-01-21,29.45,29.47,27.41,27.56,10447097.0
2016-01-22,28.24,28.507,27.03,27.93,8350589.0
2016-01-25,27.61,27.69,26.35,26.4,6461757.0
2016-01-26,26.5,28.14,26.5,27.74,5956766.0
2016-01-27,27.4,27.92,26.73,26.97,4982523.0
2016-01-28,27.17,27.27,26.25,26.755,8695489.0
2016-01-29,29.02,30.15,28.05,29.05,12430968.0
2016-02-01,29.06,30.93,28.6,30.41,7997413.0
2016-02-02,29.71,30.79,28.27,28.61,6713418.0
2016-02-03,30.18,31.33,29.77,30.52,9232946.0
2016-02-04,30.57,33.62,30.56,32.19,11677257.0
2016-02-05,31.34,31.906,30.5,31.59,7819035.0
2016-02-08,30.91,31.29,29.685,30.36,4843070.0
2016-02-09,29.97,30.21,28.946,29.41,5722036.0
2016-02-10,29.73,30.76,29.66,30.19,5512398.0
2016-02-11,29.48,29.8,28.64,29.03,5989364.0
2016-02-12,29.51,29.93,28.51,29.88,4263013.0
2016-02-16,30.18,31.53,29.85,31.33,4966436.0
2016-02-17,31.51,32.4,31.42,31.97,5097286.0
2016-02-18,31.83,33.65,31.54,33.11,5550176.0
2016-02-19,32.44,32.73,31.02,31.34,4411569.0
2016-02-22,31.98,32.54,31.565,32.23,4554540.0
2016-02-23,32.04,32.06,30.655,30.74,4239142.0
2016-02-24,30.37,31.25,29.23,31.08,4672602.0
2016-02-25,31.01,31.01,29.8,30.92,3040417.0
2016-02-26,31.32,32.13,31.11,31.69,3486365.0
2016-02-29,31.64,31.99,31.25,31.36,3555786.0
2016-03-01,31.8,33.86,31.65,33.23,6654074.0
2016-03-02,33.28,34.18,32.82,33.93,4881432.0
2016-03-03,33.74,35.065,33.69,34.75,4239905.0
2016-03-04,34.92,35.66,34.425,34.53,5198404.0
2016-03-07,34.23,36.23,33.77,35.48,5140266.0
2016-03-08,35.24,35.39,34.13,34.24,5705825.0
2016-03-09,34.36,35.12,33.9,34.21,4586116.0
2016-03-10,34.33,35.23,33.97,34.95,4281483.0
2016-03-11,35.66,36.18,35.25,36.17,3333055.0
2016-03-14,35.7,35.99,34.45,35.36,6751596.0
2016-03-15,35.35,35.5,33.91,34.62,3614508.0
2016-03-16,34.27,34.95,33.8,34.49,4212726.0
2016-03-17,34.68,35.55,34.45,34.93,4231929.0
2016-03-18,35.17,36.99,34.96,36.57,11672878.0
2016-03-21,36.36,36.95,36.06,36.54,2886796.0
2016-03-22,36.31,37.45,36.1,37.04,4086212.0
2016-03-23,36.72,36.8,34.75,34.8,4559847.0
2016-03-24,34.59,34.7,32.4,33.23,8569957.0
2016-03-28,33.66,33.99,33.25,33.54,3925239.0
2016-03-29,33.21,33.93,32.48,33.8,3537127.0
2016-03-30,34.03,34.57,33.55,34.17,3719870.0
2016-03-31,33.98,34.63,33.885,34.45,2741179.0
2016-04-01,33.9,34.12,33.34,33.69,4556119.0
2016-04-04,33.67,33.84,33.23,33.55,2313276.0
2016-04-05,33.27,33.4,32.65,32.86,3464262.0
2016-04-06,32.86,33.72,32.01,33.72,3525959.0
2016-04-07,33.3,33.6,32.65,33.11,3182953.0
2016-04-08,33.39,34.12,33.08,33.23,2972935.0
2016-04-11,34.35,35.79,34.21,34.98,7545207.0
2016-04-12,34.94,35.1819,34.03,35.04,4681494.0
2016-04-13,34.73,35.13,33.85,33.93,7300240.0
2016-04-14,29.67,29.85,26.9275,27.11,48458893.0
2016-04-15,26.97,27.124,25.54,25.59,19415584.0
2016-04-18,25.51,26.27,25.14,25.78,10781341.0
2016-04-19,25.84,26.12,25.18,25.33,8957061.0
2016-04-20,25.43,26.005,25.22,25.67,8669477.0
