Date,Open,High,Low,Close,Volume
2016-01-04,141.03,141.08,138.45,140.69,1765849.0
2016-01-05,141.56,143.95,141.24,143.62,1753542.0
2016-01-06,142.99,144.41,142.01,143.12,2334852.0
2016-01-07,149.5,154.31,147.1101,149.61,4601743.0
2016-01-08,149.88,151.0,146.5901,147.0,1696205.0
2016-01-11,147.72,148.5999,144.7901,147.05,1521538.0
2016-01-12,148.19,148.2,144.66,147.04,1317011.0
2016-01-13,147.13,147.23,143.6401,144.13,1145309.0
2016-01-14,143.9,144.54,141.25,143.25,1860946.0
2016-01-15,141.43,144.71,141.2,142.75,2022663.0
2016-01-19,144.82,146.2,143.1,145.62,2069808.0
2016-01-20,143.72,146.65,142.1201,145.14,2200564.0
2016-01-21,144.97,146.205,142.36,143.45,1710108.0
2016-01-22,145.27,149.23,145.06,148.76,2077410.0
2016-01-25,149.3,149.5,147.16,148.25,1608713.0
2016-01-26,148.25,150.97,147.6001,148.38,1463319.0
2016-01-27,148.94,149.63,144.8,146.11,1694760.0
2016-01-28,146.76,152.46,146.7,151.82,2443795.0
2016-01-29,152.27,152.9299,151.26,152.48,2058840.0
2016-02-01,152.9,155.68,152.75,154.36,1553697.0
2016-02-02,153.59,154.5836,151.895,152.51,1253176.0
2016-02-03,152.53,153.24,148.15,150.4,1831539.0
2016-02-04,149.5,150.05,145.44,146.95,3022386.0
2016-02-05,147.29,147.46,137.82,137.95,4864686.0
2016-02-08,135.54,136.42,130.23,134.95,4595487.0
2016-02-09,134.08,138.81,133.42,136.09,2175669.0
2016-02-10,137.55,140.14,137.1,138.8,1690033.0
2016-02-11,137.33,137.74,134.4,135.61,1746389.0
2016-02-12,136.87,138.44,135.81,138.03,1201598.0
2016-02-16,139.73,141.22,137.985,139.29,1396667.0
2016-02-17,140.49,142.51,139.97,142.01,1796973.0
2016-02-18,142.17,142.48,139.56,140.33,1186690.0
2016-02-19,140.1,140.54,138.27,139.51,1309487.0
2016-02-22,139.87,142.33,139.44,140.6,1584558.0
2016-02-23,140.0,140.6,138.5,139.47,1358048.0
2016-02-24,138.72,140.2,137.25,139.08,1485547.0
2016-02-25,139.66,143.69,137.57,143.64,1911047.0
2016-02-26,143.91,144.41,140.9401,142.05,1332638.0
2016-02-29,141.69,143.56,141.4,141.43,1052517.0
2016-03-01,142.42,144.99,142.16,144.52,1250071.0
2016-03-02,143.68,144.36,142.17,143.78,1218326.0
2016-03-03,143.57,144.54,141.1,144.45,1146307.0
2016-03-04,143.94,144.93,142.8301,143.9,1283075.0
2016-03-07,142.59,143.175,137.91,138.71,2861396.0
2016-03-08,138.45,141.905,137.85,139.97,1416724.0
2016-03-09,140.27,141.17,139.11,140.28,1248884.0
2016-03-10,141.58,141.74,139.74,140.5,1080045.0
2016-03-11,141.65,142.31,140.575,142.06,1293092.0
2016-03-14,142.96,143.72,140.98,141.9,2100892.0
2016-03-15,141.6,144.87,141.5,144.13,1234190.0
2016-03-16,143.3,145.0,142.4,144.54,901895.0
2016-03-17,144.54,147.16,144.175,146.84,1247914.0
2016-03-18,147.11,149.46,146.35,147.04,2678922.0
2016-03-21,146.81,147.7,146.37,147.2,1165058.0
2016-03-22,146.67,149.56,146.67,149.42,1474870.0
2016-03-23,149.42,150.76,149.08,150.11,1808155.0
2016-03-24,149.29,150.26,149.05,149.9,1566005.0
2016-03-28,150.52,151.45,149.17,149.41,1051470.0
2016-03-29,149.71,150.72,149.07,149.71,1716242.0
2016-03-30,150.44,152.1,149.75,151.6,1406269.0
2016-03-31,151.58,152.23,150.64,151.09,1370770.0
2016-04-01,150.36,153.12,150.0,152.68,1415009.0
2016-04-04,153.17,153.215,150.33,151.47,1682009.0
2016-04-05,151.0,152.275,149.6,151.36,2193875.0
2016-04-06,158.015,160.35,156.0,160.34,4170920.0
2016-04-07,160.04,160.39,156.405,157.37,2551096.0
2016-04-08,158.1,159.9,158.0,159.01,1341539.0
2016-04-11,158.93,159.73,157.4,157.47,1202196.0
2016-04-12,157.61,158.35,156.65,156.95,1447214.0
2016-04-13,157.05,157.82,154.96,156.05,2401931.0
2016-04-14,156.06,158.21,155.87,156.84,1237790.0
2016-04-15,156.18,157.27,155.53,156.71,1290566.0
2016-04-18,156.87,158.65,156.515,158.05,1181646.0
2016-04-19,158.57,159.28,157.07,157.3,1536710.0
2016-04-20,157.28,157.67,155.93,156.01,845983.0
2016-04-21,156.19,156.85,154.96,155.16,1188759.0
2016-04-22,155.03,155.7399,154.0,154.85,1293780.0
2016-04-25,154.95,157.45,154.91,156.84,960957.0
2016-04-26,157.18,157.39,156.11,156.25,704123.0
2016-04-27,155.99,156.96,154.88,156.64,863375.0
2016-04-28,155.68,157.1899,155.055,155.58,782467.0
2016-04-29,154.9,157.24,154.7,156.06,858215.0
2016-05-02,156.07,158.34,156.07,157.77,916015.0
2016-05-03,156.91,158.53,156.19,158.49,1147713.0
2016-05-04,157.45,159.99,156.68,158.83,1195584.0
2016-05-05,158.43,159.4,157.77,159.19,1279921.0
2016-05-06,158.83,159.78,158.04,159.59,1085927.0
2016-05-09,159.85,162.32,159.83,161.11,1020067.0
2016-05-10,161.29,163.59,160.83,163.52,1614133.0
2016-05-11,163.5,165.81,162.44,162.94,1596821.0
2016-05-12,163.22,163.42,161.335,161.9,1055978.0
2016-05-13,162.0,162.26,160.38,161.47,1388921.0
2016-05-16,160.61,163.23,160.61,162.53,707133.0
2016-05-17,161.87,161.87,157.56,158.15,1523680.0
2016-05-18,157.48,157.51,153.44,154.48,3098784.0
2016-05-19,154.26,156.16,154.076,156.09,1247968.0
2016-05-20,156.92,156.92,153.74,154.1,2329727.0
2016-05-23,154.41,155.32,154.08,154.29,1041958.0
2016-05-24,155.23,158.14,155.23,157.7,1229529.0
2016-05-25,157.62,158.11,155.91,156.9,977520.0
2016-05-26,157.22,158.1,156.55,157.95,1042766.0
2016-05-27,158.15,158.97,157.66,157.83,820459.0
2016-05-31,158.55,158.55,152.21,153.15,3243526.0
2016-06-01,153.15,154.4303,152.66,153.81,1731864.0
2016-06-02,153.56,154.72,152.84,154.15,1008343.0
2016-06-03,153.75,154.48,153.04,153.4,1000765.0
2016-06-06,153.45,155.27,153.45,155.1,1093093.0
2016-06-07,152.0,153.245,149.26,151.11,3686660.0
2016-06-08,151.4,155.12,151.0,154.06,1952575.0
2016-06-09,154.21,154.4202,153.01,154.1,1136984.0
2016-06-10,153.16,154.01,152.75,153.4,970138.0
2016-06-13,153.0,153.96,152.46,152.88,1238892.0
2016-06-14,154.55,157.94,154.55,157.12,2706732.0
2016-06-15,157.62,158.16,155.25,156.24,1193480.0
2016-06-16,154.88,156.84,154.5,156.76,970184.0
2016-06-17,155.5,156.01,153.83,154.05,1941317.0
2016-06-20,155.86,156.17,154.33,154.33,1421518.0
2016-06-21,155.29,155.75,154.336,154.84,1203463.0
2016-06-22,154.85,155.76,153.5,153.65,1417712.0
2016-06-23,155.01,156.03,154.11,155.99,1200488.0
2016-06-24,150.89,154.9999,150.89,152.53,3791343.0
2016-06-27,152.4,153.693,151.53,153.1,1491766.0
2016-06-28,154.48,157.77,153.54,157.65,2337996.0
2016-06-29,159.05,160.39,157.91,159.39,2479973.0
2016-06-30,164.4,166.22,162.35,165.4,4467692.0
2016-07-01,165.74,167.91,163.02,163.61,1919144.0
2016-07-05,164.05,167.0,163.01,165.9,1574916.0
2016-07-06,165.68,166.95,165.03,165.34,1767590.0
2016-07-07,166.0,166.56,165.575,166.01,1438297.0
2016-07-08,166.76,167.28,165.25,165.99,1017088.0
2016-07-11,165.52,165.82,163.9,164.21,1337746.0
2016-07-12,165.1,165.18,162.6,163.73,1384569.0
2016-07-13,163.62,164.71,163.27,163.52,990810.0
2016-07-14,164.0,164.99,162.57,162.91,1001202.0
2016-07-15,163.4,164.13,163.01,163.09,931497.0
2016-07-18,162.74,163.5,162.25,163.12,680854.0
2016-07-19,162.79,164.85,162.62,164.01,861863.0
2016-07-20,164.37,166.44,163.41,166.34,1263248.0
2016-07-21,165.33,165.8366,164.47,165.39,949133.0
2016-07-22,165.58,168.13,165.49,167.66,835343.0
2016-07-25,167.66,167.87,165.77,166.32,527914.0
2016-07-26,166.49,166.71,164.87,165.39,750872.0
2016-07-27,165.48,165.7,161.75,162.97,1264515.0
2016-07-28,163.15,164.01,162.31,163.59,815091.0
2016-07-29,163.68,165.21,163.56,164.63,801175.0
2016-08-01,164.94,165.6,163.62,163.93,947015.0
2016-08-02,163.99,164.07,162.26,162.63,948541.0
2016-08-03,162.91,162.94,162.01,162.7,632873.0
2016-08-04,163.21,164.0788,162.89,163.62,681017.0
2016-08-05,163.65,164.99,162.86,163.08,874428.0
2016-08-08,162.96,163.0,161.51,162.65,569563.0
2016-08-09,162.73,166.68,162.64,164.65,826678.0
2016-08-10,164.84,166.24,164.71,166.11,760559.0
2016-08-11,166.47,167.43,165.07,165.14,635009.0
2016-08-12,165.23,165.96,164.82,165.51,740637.0
2016-08-15,165.43,165.45,164.53,165.0,687703.0
2016-08-16,164.41,165.47,164.4,164.47,652177.0
2016-08-17,164.85,165.47,163.315,165.29,599307.0
2016-08-18,165.29,165.9,164.96,165.27,1056964.0
2016-08-19,165.0,165.67,164.75,165.5,598046.0
2016-08-22,165.71,166.73,165.33,165.78,815022.0
2016-08-23,166.35,166.62,166.03,166.37,586425.0
2016-08-24,166.04,167.0,165.9973,166.61,694496.0
2016-08-25,166.65,167.58,166.0,166.69,868908.0
2016-08-26,166.85,168.683,165.32,165.59,806105.0
2016-08-29,165.88,166.93,165.74,166.8,674310.0
2016-08-30,166.06,167.2,165.03,166.15,855884.0
2016-08-31,165.92,165.92,163.51,164.05,1247877.0
2016-09-01,163.87,165.13,163.87,164.8,623289.0
2016-09-02,166.12,167.89,165.68,167.0,546625.0
2016-09-06,167.0,167.49,166.3,166.85,790745.0
2016-09-07,166.23,167.0,164.835,165.99,744267.0
2016-09-08,166.0,166.42,164.12,165.55,1073811.0
2016-09-09,164.34,165.21,162.35,162.35,1282418.0
2016-09-12,162.35,165.05,162.35,164.87,1013787.0
2016-09-13,164.6,164.86,160.51,161.31,1545989.0
2016-09-14,161.81,163.15,161.39,162.62,822338.0
2016-09-15,163.0,166.94,163.0,166.47,1361118.0
2016-09-16,165.15,165.99,162.52,164.61,1744897.0
2016-09-19,164.64,165.35,162.24,162.68,1320872.0
2016-09-20,163.77,164.17,162.85,162.85,794180.0
2016-09-21,164.15,165.99,163.23,165.79,1050041.0
2016-09-22,166.13,167.03,165.51,166.02,1063653.0
2016-09-23,165.76,167.32,165.04,166.63,711400.0
2016-09-26,166.0,166.91,165.51,165.58,911886.0
2016-09-27,165.69,166.92,165.075,165.96,978736.0
2016-09-28,164.81,165.78,163.13,165.3,982482.0
2016-09-29,164.88,164.96,163.1,163.67,1001970.0
2016-09-30,164.69,168.68,163.115,166.49,1659440.0
2016-10-03,166.45,166.46,164.79,165.51,1240190.0
2016-10-04,165.83,166.88,165.1,165.85,1502442.0
2016-10-05,172.93,173.55,167.88,168.6,4498620.0
2016-10-06,169.0,171.77,168.22,171.03,2157718.0
2016-10-07,171.55,171.93,167.7,168.84,1751101.0
2016-10-10,169.8,171.82,169.8,171.24,1309689.0
2016-10-11,171.06,171.16,168.24,169.71,1199935.0
2016-10-12,169.71,170.95,169.27,170.0,849501.0
2016-10-13,169.04,169.61,168.28,168.94,993402.0
2016-10-14,169.27,169.93,168.39,169.46,890942.0
