Date,Open,High,Low,Close,Volume
2016-01-04,7.03,7.79,6.89,7.71,27031161.0
2016-01-05,7.65,7.835,7.44,7.65,24616534.0
2016-01-06,7.36,7.38,6.36,6.69,29471841.0
2016-01-07,6.47,6.85,6.285,6.85,21613627.0
2016-01-08,6.83,7.13,6.52,6.95,16793548.0
2016-01-11,6.54,6.6297,6.33,6.54,19399918.0
2016-01-12,6.56,6.63,5.56,5.94,27791935.0
2016-01-13,6.01,6.465,5.9,6.46,23174368.0
2016-01-14,6.51,6.85,6.435,6.63,24455237.0
2016-01-15,6.3,6.75,6.12,6.7,19395168.0
2016-01-19,6.74,7.09,6.31,6.52,19733744.0
2016-01-20,6.06,7.52,5.9,7.38,22418638.0
2016-01-21,7.72,8.9297,7.67,8.8,27236098.0
2016-01-22,9.18,9.29,8.38,8.77,25657583.0
2016-01-25,8.5,9.0,7.88,7.93,16055926.0
2016-01-26,8.18,8.68,7.77,8.6,10903455.0
2016-01-27,8.56,9.525,8.5,8.82,19788227.0
2016-01-28,9.48,9.62,8.4,8.54,14844235.0
2016-01-29,8.86,9.1,8.49,8.89,22569507.0
2016-02-01,8.49,8.72,7.96,8.5,14403018.0
2016-02-02,8.11,8.46,7.745,8.17,19304903.0
2016-02-03,8.28,8.99,7.83,8.97,17250911.0
2016-02-04,8.86,9.23,8.42,8.84,17355124.0
2016-02-05,8.85,9.65,8.52,9.34,21850094.0
2016-02-08,9.2,9.9,8.92,9.34,29740928.0
2016-02-09,9.17,9.39,7.95,8.37,17908132.0
2016-02-10,8.59,8.72,8.12,8.58,10615310.0
2016-02-11,8.35,8.41,7.72,8.15,18761867.0
2016-02-12,8.21,9.0,7.88,8.93,13930330.0
2016-02-16,8.81,8.91,7.94,8.0,18445680.0
2016-02-17,8.26,9.09,7.94,8.88,20466613.0
2016-02-18,9.1,9.16,8.3,8.49,20475075.0
2016-02-19,8.36,8.3608,6.96,7.09,33696747.0
2016-02-22,7.3,7.4,7.12,7.26,11722650.0
2016-02-23,7.05,7.1,6.57,6.63,16140460.0
2016-02-24,6.39,6.89,6.12,6.83,24125645.0
2016-02-25,6.54,7.1,6.41,6.77,16897157.0
2016-02-26,5.8,6.49,5.3,6.38,57150959.0
2016-02-29,6.22,6.235,5.64,5.78,25975231.0
2016-03-01,5.91,5.94,5.41,5.62,21614862.0
2016-03-02,5.59,6.22,5.49,6.21,34060021.0
2016-03-03,5.99,7.635,5.98,7.34,43382897.0
2016-03-04,7.56,8.79,7.275,7.83,46799545.0
2016-03-07,7.97,9.09,7.935,8.59,38235945.0
2016-03-08,8.36,8.4,7.03,7.33,27366394.0
2016-03-09,7.66,7.82,7.07,7.13,22196202.0
2016-03-10,7.01,7.49,6.6206,7.26,22519305.0
2016-03-11,7.37,8.335,7.275,8.0,19299562.0
2016-03-14,7.64,7.76,7.2,7.46,14838416.0
2016-03-15,7.38,7.83,6.97,7.23,16661622.0
2016-03-16,7.32,7.92,7.08,7.9,15321196.0
2016-03-17,8.18,8.22,7.75,8.1,21246029.0
2016-03-18,8.2,8.24,7.67,7.93,30899893.0
2016-03-21,7.94,8.05,7.69,7.86,11380736.0
2016-03-22,7.76,8.19,7.73,8.08,12597226.0
2016-03-23,7.93,8.04,7.27,7.35,9892035.0
2016-03-24,7.12,7.56,7.02,7.38,10038424.0
2016-03-28,7.4,7.605,7.07,7.5,8697031.0
2016-03-29,7.26,8.1,7.11,8.0,18379416.0
2016-03-30,8.04,8.14,7.65,7.7,13042056.0
2016-03-31,7.76,8.321,7.65,8.07,13028226.0
