Date,Open,High,Low,Close,Volume
2016-01-04,75.2,75.2,73.6115,74.52,2482989.0
2016-01-05,74.93,75.44,73.61,74.3,1526236.0
2016-01-06,73.25,74.03,72.68,72.92,1723579.0
2016-01-07,72.1,73.18,70.71,70.92,2452909.0
2016-01-08,71.18,71.67,68.15,68.26,3029526.0
2016-01-11,68.27,69.08,67.01,67.84,1803923.0
2016-01-12,68.58,69.325,67.26,68.41,1501912.0
2016-01-13,68.49,68.715,66.3601,66.7,1711715.0
2016-01-14,66.38,67.36,65.5,66.86,2101792.0
2016-01-15,65.37,69.0,65.09,67.65,3553086.0
2016-01-19,64.75,67.87,62.9,64.22,10680581.0
2016-01-20,62.81,63.21,59.73,61.8,5417683.0
2016-01-21,61.62,62.91,60.85,61.05,3727005.0
2016-01-22,62.11,62.44,61.3,61.65,4367488.0
2016-01-25,61.61,61.76,60.62,60.93,3220493.0
2016-01-26,61.31,62.65,60.57,62.48,1913543.0
2016-01-27,62.39,63.18,61.09,61.61,1651681.0
2016-01-28,62.21,62.61,60.42,61.38,1967610.0
2016-01-29,61.91,63.97,61.7,63.84,2429933.0
2016-02-01,63.04,65.21,62.51,64.73,2868002.0
2016-02-02,64.72,65.36,63.21,63.76,7388056.0
2016-02-03,64.06,64.58,62.655,63.76,6147004.0
2016-02-04,63.28,64.99,63.14,64.68,3578104.0
2016-02-05,64.63,64.93,63.29,63.86,3000441.0
2016-02-08,63.09,63.81,61.62,62.92,1975697.0
2016-02-09,62.14,63.19,61.022,62.17,2389364.0
2016-02-10,62.49,62.79,61.48,61.69,1314598.0
2016-02-11,60.56,61.535,59.75,60.75,3319347.0
2016-02-12,61.26,61.9078,60.43,61.73,1899313.0
2016-02-16,62.74,63.35,61.56,63.24,1759992.0
2016-02-17,63.9,66.25,63.81,65.62,2376359.0
2016-02-18,65.2,65.57,64.59,65.26,1405141.0
2016-02-19,64.87,64.87,63.29,64.51,1375227.0
2016-02-22,65.01,65.6,64.88,65.26,1066058.0
2016-02-23,65.27,65.96,64.38,64.42,1352250.0
2016-02-24,64.0,65.19,62.98,64.94,1478776.0
2016-02-25,64.94,65.15,63.71,65.12,984080.0
2016-02-26,65.92,65.92,64.61,65.46,1628682.0
2016-02-29,65.69,65.95,64.88,64.98,1223879.0
2016-03-01,65.69,67.86,65.06,67.6,1913853.0
2016-03-02,67.09,67.94,66.96,67.71,1458545.0
2016-03-03,67.51,69.56,66.95,69.1,2414782.0
2016-03-04,69.13,71.11,68.81,69.77,1433419.0
2016-03-07,69.3,71.29,69.13,70.71,1856002.0
2016-03-08,70.51,70.99,68.95,69.38,1455695.0
2016-03-09,69.63,70.63,69.17,70.2,1036986.0
2016-03-10,70.49,70.79,69.42,70.48,1089042.0
2016-03-11,70.97,71.89,70.56,71.84,1247522.0
2016-03-14,71.67,72.39,71.44,71.86,1456055.0
2016-03-15,70.5,71.14,69.47,70.0,2406880.0
2016-03-16,69.55,70.49,68.88,70.28,2481133.0
2016-03-17,69.87,71.32,69.6,70.12,2856119.0
2016-03-18,70.6,72.9,70.3101,72.19,3830294.0
2016-03-21,71.99,71.99,70.82,71.54,1817900.0
2016-03-22,71.53,73.2,71.29,72.58,2454480.0
2016-03-23,72.36,72.62,71.8,71.98,2103259.0
2016-03-24,71.9,71.98,70.58,70.93,1740770.0
2016-03-28,70.98,71.7113,70.73,71.12,1123952.0
2016-03-29,71.36,71.95,71.06,71.84,1079103.0
2016-03-30,72.15,73.29,71.75,72.59,1159495.0
2016-03-31,72.72,73.89,72.43,73.38,1606316.0
2016-04-01,73.06,73.98,72.48,73.77,1475806.0
2016-04-04,73.62,74.06,72.05,72.29,2381531.0
2016-04-05,71.7,72.16,71.34,71.75,1947862.0
2016-04-06,71.71,72.47,71.13,72.25,966887.0
2016-04-07,71.75,72.42,70.33,70.86,1504710.0
2016-04-08,71.26,71.71,70.34,70.63,1386388.0
2016-04-11,70.83,71.25,70.31,70.83,1719353.0
2016-04-12,71.05,71.5,69.67,70.24,1876071.0
2016-04-13,70.88,72.2,70.54,71.8,1611778.0
2016-04-14,71.6,72.0,70.66,71.01,1623673.0
2016-04-15,71.01,71.58,70.87,71.18,1256926.0
2016-04-18,71.19,71.27,70.63,71.18,1486883.0
2016-04-19,71.36,72.19,71.32,71.76,1307291.0
2016-04-20,71.83,72.48,71.2,72.22,1016473.0
2016-04-21,72.62,73.36,72.13,72.18,1265484.0
2016-04-22,72.21,73.3,71.76,73.03,1411232.0
2016-04-25,72.63,73.04,71.72,72.09,1021646.0
2016-04-26,72.19,72.97,71.7,72.6,1045306.0
2016-04-27,72.66,73.58,72.35,73.36,838802.0
2016-04-28,72.69,73.0,71.92,72.05,943785.0
2016-04-29,72.09,72.09,70.95,71.35,1438767.0
2016-05-02,71.49,72.18,70.71,72.04,1309683.0
2016-05-03,71.32,71.59,70.74,71.06,1666131.0
2016-05-04,70.54,70.76,69.73,70.47,1537530.0
2016-05-05,70.13,70.58,69.42,70.02,1097463.0
2016-05-06,69.74,69.9,68.42,69.29,2000157.0
2016-05-09,69.17,69.83,69.14,69.35,1061450.0
2016-05-10,69.47,70.91,69.06,70.72,1293694.0
2016-05-11,68.19,68.97,66.2,66.48,3127824.0
2016-05-12,66.8,67.11,65.67,66.37,1894213.0
2016-05-13,65.73,66.38,64.2,64.43,4098743.0
2016-05-16,64.34,65.46,64.27,65.17,1709764.0
2016-05-17,65.2,66.09,64.21,64.89,1908398.0
2016-05-18,64.47,64.87,63.675,63.96,2041194.0
2016-05-19,63.94,64.76,63.15,63.28,4425908.0
2016-05-20,63.48,64.88,63.13,64.67,3161737.0
2016-05-23,64.81,65.03,63.8,63.96,3489381.0
2016-05-24,64.12,64.76,63.81,63.85,3152181.0
2016-05-25,62.38,64.25,61.89,63.89,7166622.0
2016-05-26,64.07,64.35,62.4,62.55,2487614.0
2016-05-27,62.63,63.21,62.06,62.54,2774728.0
2016-05-31,62.79,62.96,61.68,61.96,3696997.0
2016-06-01,61.85,62.72,61.77,62.33,2067453.0
2016-06-02,62.41,63.37,62.33,63.23,2860910.0
2016-06-03,62.96,63.22,62.37,63.18,2177733.0
2016-06-06,63.25,63.71,62.87,63.01,1671061.0
2016-06-07,63.07,64.42,63.04,64.3,1972241.0
2016-06-08,64.28,64.67,63.98,64.0,1837885.0
2016-06-09,63.82,63.85,62.35,62.52,1304373.0
2016-06-10,61.91,62.13,61.4,61.77,1894777.0
2016-06-13,61.51,61.95,60.94,61.02,1781880.0
2016-06-14,61.0,61.415,60.4,60.79,2300546.0
2016-06-15,60.8,62.81,60.8,61.72,2381307.0
2016-06-16,60.83,61.08,60.37,60.56,2400780.0
