Date,Open,High,Low,Close,Volume
2016-01-04,139.45,140.15,137.32,138.75,3287526.0
2016-01-05,139.0,140.94,138.37,138.51,3184443.0
2016-01-06,136.55,138.45,136.55,137.45,2300840.0
2016-01-07,135.0,135.26,133.14,134.31,2470850.0
2016-01-08,135.6,137.01,133.82,134.16,2148124.0
2016-01-11,134.34,137.29,133.39,134.88,2407392.0
2016-01-12,136.29,137.9,135.54,136.97,3088125.0
2016-01-13,137.42,138.01,133.0,133.77,2521224.0
2016-01-14,133.64,137.36,133.44,135.79,2871189.0
2016-01-15,134.59,135.2,130.65,132.76,3332633.0
2016-01-19,134.57,135.65,132.9,134.91,3007161.0
2016-01-20,132.66,134.655,129.54,133.05,2917516.0
2016-01-21,133.47,133.61,130.74,131.68,2193874.0
2016-01-22,133.59,135.4,132.92,135.31,1930040.0
2016-01-25,134.73,136.25,134.28,134.73,1320450.0
2016-01-26,134.59,135.06,132.07,134.1,1721902.0
2016-01-27,134.05,137.21,133.34,135.83,3308858.0
2016-01-28,130.86,133.0,127.18,128.17,4610403.0
2016-01-29,129.07,132.06,128.6,132.06,3189336.0
2016-02-01,131.26,132.1,129.64,130.69,1772135.0
2016-02-02,129.31,129.86,126.53,126.89,1838132.0
2016-02-03,127.94,127.94,123.19,126.05,2984896.0
2016-02-04,126.36,128.61,125.95,127.8,2319021.0
2016-02-05,127.0,127.25,121.3,123.18,4172099.0
2016-02-08,121.75,122.82,119.75,121.94,2958363.0
2016-02-09,121.03,125.47,120.73,124.45,2855139.0
2016-02-10,126.07,129.0,125.22,125.46,1584451.0
2016-02-11,122.86,124.2871,122.25,123.3,1441929.0
2016-02-12,124.52,126.55,123.96,126.48,1574417.0
2016-02-16,127.72,128.415,126.42,127.42,2466423.0
2016-02-17,128.17,131.61,127.56,130.7,1832443.0
2016-02-18,130.26,131.37,129.29,129.69,1292932.0
2016-02-19,129.52,130.76,128.31,130.16,1303282.0
2016-02-22,131.0,131.99,130.32,131.44,937100.0
2016-02-23,131.03,131.62,128.84,129.74,1244233.0
2016-02-24,128.38,130.07,127.65,129.77,924605.0
2016-02-25,130.0,130.99,129.08,130.57,1077713.0
2016-02-26,130.94,131.6,130.27,130.71,897215.0
2016-02-29,130.24,131.0399,129.13,129.19,2237028.0
2016-03-01,129.84,135.74,129.7,135.28,2598226.0
2016-03-02,134.84,138.58,134.72,138.12,3278212.0
2016-03-03,137.75,139.04,136.46,138.67,2122105.0
2016-03-04,138.78,140.99,138.46,140.3,2355674.0
2016-03-07,138.72,141.62,137.29,141.55,3182911.0
2016-03-08,140.24,141.0325,138.78,139.08,2196402.0
2016-03-09,139.65,140.27,137.47,138.15,2588844.0
2016-03-10,138.94,140.16,136.7,137.96,2398657.0
2016-03-11,138.88,140.86,138.8,140.22,2036114.0
2016-03-14,139.61,140.57,138.861,139.77,1124341.0
2016-03-15,138.59,138.77,137.025,138.26,1524201.0
2016-03-16,138.29,139.43,137.46,139.08,1261614.0
2016-03-17,138.81,139.33,136.58,138.25,2386229.0
2016-03-18,138.85,140.77,137.76,140.0,3271798.0
2016-03-21,139.5,140.18,138.88,139.63,1280907.0
2016-03-22,139.15,139.98,138.38,138.85,1617083.0
2016-03-23,139.0,139.75,138.415,138.82,1076582.0
2016-03-24,138.15,139.22,137.4,139.02,992996.0
2016-03-28,139.59,139.8814,138.12,138.53,827738.0
2016-03-29,138.39,140.28,137.7,140.15,1208198.0
2016-03-30,141.04,142.04,140.35,140.79,894260.0
2016-03-31,140.75,142.21,140.14,141.59,1165342.0
2016-04-01,140.21,142.99,140.19,142.67,1045536.0
2016-04-04,142.18,144.93,142.16,144.05,1851979.0
2016-04-05,143.36,143.36,140.96,141.38,1410371.0
2016-04-06,141.43,145.31,141.22,145.11,1714281.0
2016-04-07,144.45,144.53,141.43,142.05,1322671.0
2016-04-08,142.87,143.32,141.47,142.21,961972.0
2016-04-11,142.51,143.26,141.45,141.66,922626.0
2016-04-12,142.27,142.82,141.53,142.43,1139511.0
2016-04-13,143.04,145.1,142.99,145.05,1039578.0
2016-04-14,145.34,145.77,144.495,144.62,706141.0
2016-04-15,144.62,145.47,144.07,145.34,834720.0
2016-04-18,145.42,146.6,144.76,146.47,907628.0
2016-04-19,145.87,146.77,145.15,145.59,1312082.0
2016-04-20,145.82,146.86,145.0,146.44,1323106.0
2016-04-21,146.12,147.77,145.77,147.35,1329224.0
2016-04-22,147.47,147.94,145.6401,146.85,1014583.0
2016-04-25,146.74,147.24,146.304,146.56,1396711.0
2016-04-26,146.13,146.38,144.54,145.61,1794158.0
2016-04-27,145.61,147.7521,145.155,147.14,1497750.0
2016-04-28,147.21,147.9,143.28,145.32,3063489.0
2016-04-29,143.9,144.58,141.125,144.25,2205747.0
2016-05-02,145.01,146.7699,144.98,146.5,1537092.0
2016-05-03,146.16,146.23,143.725,144.87,981695.0
2016-05-04,143.23,145.03,142.98,144.55,982477.0
2016-05-05,144.18,145.78,143.79,145.14,1224014.0
2016-05-06,145.0,147.53,144.8551,146.97,1257404.0
2016-05-09,147.29,148.5,146.7842,147.46,1191248.0
2016-05-10,148.36,148.8899,147.08,148.83,1471477.0
2016-05-11,149.0,149.95,147.95,147.97,972180.0
2016-05-12,148.29,149.26,147.58,148.92,1203302.0
2016-05-13,148.37,149.35,147.4,147.89,1531051.0
