Date,Open,High,Low,Close,Volume
2016-01-04,116.91,116.91,114.525,116.46,4990855.0
2016-01-05,116.72,117.89,116.21,116.68,2816727.0
2016-01-06,115.78,116.65,114.5,115.49,2677303.0
2016-01-07,113.63,114.09,111.42,112.09,5276916.0
2016-01-08,112.35,113.0,109.76,110.16,4422365.0
2016-01-11,110.51,110.62,108.1946,109.58,4525815.0
2016-01-12,110.36,113.13,110.05,112.26,4037787.0
2016-01-13,112.41,113.035,108.93,109.23,3434267.0
2016-01-14,108.74,111.8,107.51,110.76,4238172.0
2016-01-15,109.08,110.65,107.791,109.27,6356945.0
2016-01-19,111.49,114.16,109.6,112.58,7122232.0
2016-01-20,112.09,115.74,110.15,114.79,8380500.0
2016-01-21,114.67,115.48,112.26,113.5,5413190.0
2016-01-22,114.67,115.15,113.89,114.33,3622152.0
2016-01-25,114.52,115.31,112.85,113.38,2908450.0
2016-01-26,112.91,114.18,111.76,113.96,4593148.0
2016-01-27,114.43,114.81,111.84,112.33,4719874.0
2016-01-28,112.29,113.25,110.61,111.38,3525521.0
2016-01-29,111.93,115.16,110.62,115.16,5280844.0
2016-02-01,114.83,116.15,114.11,115.89,4333531.0
2016-02-02,114.95,115.39,113.27,113.88,2997694.0
2016-02-03,114.37,114.37,110.3,112.75,3462331.0
2016-02-04,112.67,114.55,112.04,114.2,3608238.0
2016-02-05,114.07,114.205,110.9,111.72,3330817.0
2016-02-08,110.5,111.12,108.8301,110.02,5050159.0
2016-02-09,109.365,112.28,109.14,111.16,3680202.0
2016-02-10,111.33,114.48,111.33,112.74,3023348.0
2016-02-11,111.32,111.69,110.09,110.62,3955031.0
2016-02-12,111.2,111.91,110.21,111.82,2552095.0
2016-02-16,112.63,115.27,112.53,115.15,3445698.0
2016-02-17,115.5,118.39,115.2,118.3,4465264.0
2016-02-18,118.5,120.0,117.06,117.45,3847147.0
2016-02-19,117.5,118.55,116.02,117.68,4481125.0
2016-02-22,119.12,122.14,118.96,121.27,5054758.0
2016-02-23,120.64,121.8,120.27,121.15,2804371.0
2016-02-24,119.93,120.32,117.83,120.2,2559687.0
2016-02-25,120.2,121.23,119.82,121.2,2281481.0
2016-02-26,121.48,122.26,120.89,121.33,2877828.0
2016-02-29,121.1,121.82,118.97,119.1,4526052.0
2016-03-01,119.49,122.22,119.37,121.67,3295498.0
2016-03-02,121.23,121.84,120.37,121.27,2670930.0
2016-03-03,120.86,121.86,120.09,121.82,3064146.0
2016-03-04,121.32,122.19,120.74,121.8,2873930.0
2016-03-07,121.08,122.74,120.9,121.76,2315423.0
2016-03-08,121.28,122.32,120.73,121.66,2507343.0
2016-03-09,121.88,122.12,120.45,121.1,2094097.0
2016-03-10,121.2,122.7599,120.4103,122.09,2638429.0
2016-03-11,122.47,125.32,122.25,125.1,3765960.0
2016-03-14,124.8,126.02,124.36,125.22,2856220.0
2016-03-15,124.54,125.47,124.08,124.85,2610268.0
2016-03-16,124.39,125.55,124.1,124.9,2140906.0
2016-03-17,124.61,124.96,122.22,124.53,3911441.0
2016-03-18,124.86,127.08,124.5316,126.72,6948407.0
2016-03-21,126.24,127.0,125.68,126.74,2667008.0
2016-03-22,126.65,128.815,126.02,128.02,3984005.0
2016-03-23,128.15,130.35,128.02,129.79,6166362.0
2016-03-24,128.97,130.32,127.17,128.59,4153996.0
2016-03-28,128.82,129.5,128.01,128.92,1955202.0
2016-03-29,129.27,130.09,128.54,129.83,2463118.0
2016-03-30,130.09,131.105,129.39,129.68,2578505.0
2016-03-31,129.64,129.97,128.29,128.9,3181784.0
2016-04-01,128.69,130.44,128.36,129.92,3901675.0
2016-04-04,130.5,130.7,128.875,129.49,2811778.0
2016-04-05,128.95,129.46,126.9,127.04,4439814.0
2016-04-06,127.23,128.42,126.88,128.03,3021346.0
2016-04-07,127.51,128.44,126.23,126.87,3186604.0
2016-04-08,127.19,128.15,125.26,125.68,3642689.0
2016-04-11,125.83,126.94,125.83,126.33,3119234.0
2016-04-12,126.3,127.36,125.4,126.8,2887244.0
2016-04-13,127.65,128.66,127.27,127.76,2592359.0
2016-04-14,127.72,128.57,127.5595,127.98,1674578.0
2016-04-15,127.89,128.06,126.22,127.33,2835230.0
2016-04-18,126.88,128.03,126.6,127.81,2717084.0
2016-04-19,130.09,131.3,129.12,130.5,4340035.0
2016-04-20,131.29,135.11,130.9,133.93,7320974.0
2016-04-21,133.56,134.0,132.43,132.96,3785921.0
2016-04-22,133.72,134.33,133.0519,134.13,2782268.0
2016-04-25,133.71,134.07,132.59,133.78,2702128.0
2016-04-26,133.97,134.61,133.0,134.24,2637466.0
