Date,Open,High,Low,Close,Volume
2016-01-04,45.67,45.905,45.36,45.87,17821096.0
2016-01-05,46.2,46.55,45.63,46.5,15629504.0
2016-01-06,45.49,45.95,45.28,45.52,19082428.0
2016-01-07,45.12,45.67,45.0,45.27,19275201.0
2016-01-08,45.66,45.74,44.7,44.83,16594748.0
2016-01-11,45.11,45.23,44.6025,45.09,14225157.0
2016-01-12,45.24,45.25,44.53,44.93,15121628.0
2016-01-13,45.11,45.27,44.08,44.15,19291024.0
2016-01-14,44.22,45.19,44.05,44.87,18433335.0
2016-01-15,44.04,44.55,43.86,44.43,27990110.0
2016-01-19,44.74,45.01,44.53,44.87,20360913.0
2016-01-20,44.38,44.77,43.79,44.42,28287262.0
2016-01-21,45.0,46.33,44.43,45.87,31351919.0
2016-01-22,46.41,47.12,46.0,47.04,23074450.0
2016-01-25,47.08,47.78,46.54,47.03,24298127.0
2016-01-26,47.13,48.265,47.05,48.25,22619802.0
2016-01-27,48.29,49.49,48.25,49.03,33791266.0
2016-01-28,49.06,49.46,48.47,49.01,20084971.0
2016-01-29,49.39,49.99,49.22,49.97,29081811.0
2016-02-01,49.94,51.02,49.69,50.76,28536429.0
2016-02-02,50.61,50.63,49.65,49.91,21606202.0
2016-02-03,50.25,50.62,49.42,50.62,20308743.0
2016-02-04,50.37,50.6,49.67,50.43,19593865.0
2016-02-05,50.32,51.2,50.31,50.97,25787362.0
2016-02-08,50.6,50.8,49.77,50.74,27057594.0
2016-02-09,50.06,50.61,49.35,50.15,22632413.0
2016-02-10,50.19,50.3236,49.62,49.98,18632566.0
2016-02-11,49.6,50.1,49.265,49.39,30519992.0
2016-02-12,49.54,50.19,49.35,50.11,20990816.0
2016-02-16,50.24,50.3,49.58,50.24,16358077.0
2016-02-17,50.41,50.6,50.08,50.32,15228574.0
2016-02-18,50.12,51.1,49.96,50.94,19678274.0
2016-02-19,50.74,51.07,50.31,50.86,15605180.0
2016-02-22,51.02,51.15,50.77,51.07,12455198.0
2016-02-23,50.97,50.99,50.36,50.63,11594459.0
2016-02-24,50.27,50.87,50.17,50.82,11240801.0
2016-02-25,50.9,51.3,50.78,51.11,12358286.0
2016-02-26,51.15,51.34,50.92,51.02,13010225.0
2016-02-29,50.86,51.38,50.685,50.73,15954835.0
2016-03-01,50.99,51.47,50.98,51.46,12002466.0
2016-03-02,51.37,52.2,51.19,52.12,14790962.0
2016-03-03,52.14,52.22,51.61,51.89,15404478.0
2016-03-04,51.75,52.0,51.5,51.81,13957218.0
2016-03-07,51.53,52.35,51.4,52.21,14907414.0
2016-03-08,52.05,52.75,51.93,52.46,14225986.0
2016-03-09,52.55,52.96,52.0,52.34,15466618.0
2016-03-10,52.55,52.66,51.99,52.32,15111084.0
2016-03-11,52.65,52.78,52.24,52.53,15223768.0
2016-03-14,52.55,52.75,52.23,52.54,11729370.0
2016-03-15,52.24,52.7401,52.24,52.67,11295734.0
2016-03-16,52.67,53.38,52.4,53.21,11866427.0
2016-03-17,53.28,53.805,53.19,53.63,16400622.0
2016-03-18,53.81,53.85,53.24,53.24,23207899.0
2016-03-21,53.19,53.59,53.02,53.44,10678884.0
2016-03-22,53.42,53.46,53.1,53.21,10852024.0
2016-03-23,53.13,53.2299,52.82,52.91,9716116.0
2016-03-24,52.74,53.62,52.66,53.56,15094723.0
2016-03-28,53.56,53.73,53.2,53.4,8527060.0
2016-03-29,53.51,54.08,53.3,54.05,10770474.0
2016-03-30,54.17,54.37,53.7,54.04,14528283.0
2016-03-31,54.01,54.26,53.92,54.08,12426088.0
2016-04-01,53.32,54.09,53.1,54.01,13806670.0
2016-04-04,54.03,54.42,53.8,54.42,11402636.0
2016-04-05,54.38,54.49,53.95,54.09,12978036.0
2016-04-06,53.616,53.62,53.13,53.52,12993580.0
2016-04-07,52.52,52.7,51.77,52.0,23072292.0
2016-04-08,52.2,52.58,52.05,52.18,12196939.0
2016-04-11,52.36,52.4,51.5,51.61,14975792.0
2016-04-12,51.66,52.19,51.605,51.95,12334862.0
2016-04-13,52.07,52.09,50.84,51.29,19752544.0
2016-04-14,51.28,51.55,51.24,51.36,10083000.0
2016-04-15,51.28,51.49,51.1,51.35,11860408.0
2016-04-18,51.37,51.895,51.18,51.73,14322856.0
2016-04-19,51.8,52.17,51.79,52.08,11392645.0
2016-04-20,52.15,52.22,51.66,51.75,15411619.0
2016-04-21,50.56,50.68,49.47,50.03,32168558.0
2016-04-22,50.15,50.63,50.05,50.55,17822775.0
2016-04-25,50.53,50.95,50.275,50.76,12439525.0
2016-04-26,50.98,51.0,50.28,50.44,10064034.0
2016-04-27,50.46,51.8099,50.46,51.69,17012392.0
2016-04-28,51.3,51.56,50.92,51.02,13054587.0
2016-04-29,50.95,51.05,50.64,50.94,13684582.0
2016-05-02,51.22,51.45,51.04,51.32,11103773.0
2016-05-03,51.11,51.32,50.36,50.68,12900543.0
2016-05-04,50.48,50.985,50.2,50.84,9033324.0
2016-05-05,50.99,51.04,50.6327,50.84,10788845.0
2016-05-06,50.91,51.14,50.6137,51.12,9782309.0
2016-05-09,51.22,51.43,51.01,51.08,8719092.0
2016-05-10,51.38,51.55,51.27,51.54,7903323.0
2016-05-11,51.48,51.695,51.08,51.15,8508773.0
2016-05-12,51.22,51.6,51.085,51.47,9916583.0
2016-05-13,51.41,51.49,50.85,50.94,9561248.0
2016-05-16,50.77,51.33,50.64,51.23,7903413.0
2016-05-17,51.2,51.35,50.67,50.9,10466783.0
2016-05-18,50.92,51.03,50.06,50.39,10481764.0
2016-05-19,50.0,50.02,49.12,49.63,16022403.0
2016-05-20,49.8,49.8,49.47,49.66,15345780.0
2016-05-23,49.66,49.78,49.045,49.14,13262364.0
2016-05-24,49.36,49.62,49.2,49.58,11826571.0
2016-05-25,49.63,50.0078,49.4,49.85,9497542.0
2016-05-26,49.85,50.28,49.79,50.16,11043917.0
2016-05-27,50.39,50.86,50.18,50.62,10648657.0
2016-05-31,50.88,51.16,50.59,50.9,15834250.0
2016-06-01,50.87,50.98,50.22,50.43,10670471.0
2016-06-02,50.47,50.77,50.12,50.77,8721138.0
2016-06-03,50.77,51.0,50.61,50.92,9500653.0
2016-06-06,51.06,51.085,50.65,50.71,10075220.0
2016-06-07,50.6,51.985,50.6,51.75,15210890.0
2016-06-08,51.51,51.7,51.24,51.52,10546166.0
2016-06-09,51.64,52.0,51.37,51.95,9790673.0
2016-06-10,51.86,52.83,51.72,52.67,15629030.0
2016-06-13,52.5,52.83,52.233,52.57,12472062.0
2016-06-14,52.37,53.1025,52.32,52.99,10734932.0
2016-06-15,52.97,53.2136,52.76,52.84,10288979.0
2016-06-16,52.84,53.48,52.57,53.46,11912787.0
2016-06-17,53.43,53.78,53.01,53.78,18836250.0
2016-06-20,54.0,54.19,53.43,53.76,14344319.0
2016-06-21,53.89,54.49,53.44,54.1,11892327.0
2016-06-22,54.23,54.4,53.99,54.03,12957682.0
2016-06-23,54.4,54.68,54.2,54.67,12326947.0
2016-06-24,54.47,55.22,54.125,54.43,43839462.0
2016-06-27,54.06,54.87,53.88,54.74,22581038.0
2016-06-28,54.76,54.99,54.34,54.82,17779672.0
2016-06-29,54.92,55.3,54.83,55.06,18184056.0
2016-06-30,55.27,55.92,54.79,55.84,22143337.0
2016-07-01,55.85,56.29,55.59,56.23,16091691.0
2016-07-05,56.32,56.95,56.32,56.53,20701937.0
2016-07-06,56.21,56.33,55.45,56.26,15760370.0
2016-07-07,56.1,56.14,55.1,55.38,13574093.0
2016-07-08,55.39,56.03,55.01,55.9,15946159.0
2016-07-11,55.75,56.0,55.405,55.93,12434536.0
2016-07-12,55.75,55.96,55.37,55.47,14897469.0
2016-07-13,55.58,56.04,55.37,56.0,11405273.0
2016-07-14,55.62,56.1,55.62,55.84,11098313.0
2016-07-15,56.05,56.08,55.6,55.84,13949251.0
2016-07-18,55.87,56.0,55.76,55.93,9623240.0
2016-07-19,55.96,56.0,55.5503,55.7,10270107.0
2016-07-20,55.58,55.665,55.31,55.62,12008665.0
2016-07-21,55.53,55.67,55.24,55.37,9953912.0
2016-07-22,55.44,56.2,55.39,56.1,10973194.0
2016-07-25,56.1,56.1,55.635,55.87,10843809.0
2016-07-26,55.85,56.25,54.69,54.81,18752063.0
2016-07-27,54.95,55.44,54.44,55.32,17066109.0
2016-07-28,55.2,55.21,54.64,54.86,10672326.0
2016-07-29,54.99,55.72,54.97,55.41,15508926.0
2016-08-01,55.58,55.8195,54.37,54.5,17434449.0
2016-08-02,54.45,54.59,53.72,54.0,18428217.0
2016-08-03,54.16,54.2,53.63,53.9,10429357.0
2016-08-04,54.0,54.14,53.826,53.93,11309513.0
2016-08-05,53.94,53.99,53.33,53.64,13460135.0
2016-08-08,53.64,53.74,53.4,53.59,9829729.0
2016-08-09,53.6,53.78,53.33,53.66,7906231.0
2016-08-10,53.82,53.98,53.59,53.81,8875724.0
2016-08-11,53.81,53.99,53.74,53.86,7824815.0
2016-08-12,53.96,53.98,53.52,53.65,7654804.0
2016-08-15,53.66,53.85,53.53,53.61,8250875.0
2016-08-16,53.5,53.51,52.73,52.76,13933073.0
2016-08-17,52.9,53.17,52.38,53.17,12930096.0
2016-08-18,52.95,53.06,52.52,52.87,11204892.0
2016-08-19,52.89,52.91,52.16,52.45,11990682.0
2016-08-22,52.58,52.69,52.17,52.55,8183851.0
2016-08-23,52.655,52.82,52.46,52.63,7775055.0
2016-08-24,52.55,52.72,52.17,52.53,8900724.0
2016-08-25,52.53,52.79,52.326,52.75,8680067.0
2016-08-26,52.64,53.005,51.9,52.07,15105303.0
2016-08-29,52.36,52.69,52.16,52.5,11960151.0
2016-08-30,52.58,52.59,52.03,52.27,9161865.0
2016-08-31,52.22,52.46,52.08,52.33,10390472.0
2016-09-01,52.14,52.71,52.04,52.56,9988839.0
2016-09-02,52.8,53.14,52.52,52.88,13275072.0
2016-09-06,53.09,53.84,52.825,53.51,17234527.0
2016-09-07,53.5,53.79,53.28,53.71,10611407.0
2016-09-08,53.6,53.88,53.43,53.6,9005335.0
2016-09-09,53.13,53.24,51.77,51.82,18258506.0
2016-09-12,51.75,52.835,51.71,52.57,15678641.0
2016-09-13,52.05,52.12,51.15,51.45,17602439.0
2016-09-14,51.59,51.86,51.3,51.49,11941487.0
2016-09-15,51.49,52.1,51.115,51.98,13047106.0
2016-09-16,51.89,51.97,51.62,51.88,19931774.0
2016-09-19,51.89,51.96,51.02,51.2,14578346.0
2016-09-20,51.6,51.8,51.13,51.27,14000668.0
2016-09-21,51.37,52.01,51.25,51.87,14434727.0
2016-09-22,52.15,52.49,52.0,52.35,12751595.0
2016-09-23,52.3,52.82,52.15,52.56,13014691.0
2016-09-26,52.45,52.56,52.015,52.15,10558519.0
2016-09-27,52.31,52.66,52.0,52.49,8259032.0
2016-09-28,52.31,52.439,51.81,52.06,13278593.0
2016-09-29,51.84,52.41,51.77,52.12,10803542.0
2016-09-30,52.43,52.57,51.96,51.98,13077552.0
2016-10-03,51.84,52.14,51.6,51.88,9120117.0
2016-10-04,51.77,51.94,51.0,51.26,13753265.0
2016-10-05,50.69,50.82,50.03,50.27,17190908.0
2016-10-06,50.32,50.52,49.97,50.26,11722944.0
2016-10-07,50.46,50.54,49.92,49.92,13816797.0
2016-10-10,50.23,50.3,49.63,50.19,10687665.0
2016-10-11,50.1,50.21,49.65,49.9,11737192.0
2016-10-12,49.96,50.48,49.94,50.3,8880104.0
2016-10-13,50.23,50.41,49.82,50.29,11156909.0
2016-10-14,50.34,50.61,50.27,50.28,8852787.0
