Date,Open,High,Low,Close,Volume
2016-01-04,33.19,33.29,32.67,33.27,4176324.0
2016-01-05,33.45,33.7,33.23,33.65,3490645.0
2016-01-06,33.36,34.16,33.27,33.43,5741480.0
2016-01-07,32.91,33.48,32.5,32.5,5309019.0
2016-01-08,32.7,32.92,31.96,31.975,4021226.0
2016-01-11,32.06,32.35,31.72,31.86,5348816.0
2016-01-12,32.16,32.39,31.92,32.27,4116317.0
2016-01-13,32.37,32.4989,31.22,31.25,5137840.0
2016-01-14,31.25,31.45,30.15,30.57,5367195.0
2016-01-15,29.85,30.09,29.09,29.86,9196895.0
2016-01-19,30.11,30.24,29.11,29.41,5009082.0
2016-01-20,28.96,29.625,28.25,29.32,7177587.0
2016-01-21,29.52,29.52,29.0,29.09,5582601.0
2016-01-22,29.51,30.61,29.51,30.42,6105312.0
2016-01-25,29.7,29.88,28.83,28.85,6853420.0
2016-01-26,28.89,29.3101,28.73,29.11,4087589.0
2016-01-27,29.12,29.41,28.65,28.77,5567448.0
2016-01-28,29.02,29.24,28.34,28.84,4498839.0
2016-01-29,29.05,29.98,29.05,29.31,6570796.0
2016-02-01,29.35,30.169,29.35,29.96,5487359.0
2016-02-02,29.5,29.62,28.21,28.93,6304870.0
2016-02-03,29.06,29.2,28.18,28.64,4800567.0
2016-02-04,28.45,29.61,28.45,29.2,4939524.0
2016-02-05,29.76,29.96,29.0989,29.19,5624239.0
2016-02-08,28.84,29.495,28.065,29.38,7763081.0
2016-02-09,29.36,29.97,29.01,29.06,6999894.0
2016-02-10,29.28,29.84,28.65,28.87,9520125.0
2016-02-11,29.34,29.73,28.31,28.93,16443350.0
2016-02-12,29.4,30.68,28.39,30.65,11525181.0
2016-02-16,31.28,31.31,30.355,30.9,5381722.0
2016-02-17,31.03,31.98,31.01,31.76,6683583.0
2016-02-18,31.44,31.61,30.37,31.39,5139148.0
2016-02-19,31.23,31.49,30.88,31.39,4674673.0
2016-02-22,31.73,31.76,30.48,30.66,4376909.0
2016-02-23,30.68,31.19,30.12,30.8,4672199.0
2016-02-24,30.4,30.8,30.13,30.72,2448643.0
2016-02-25,30.73,30.87,30.17,30.86,4177214.0
2016-02-26,30.95,31.4524,30.84,31.1,3250170.0
2016-02-29,31.02,31.57,30.75,31.31,6925750.0
2016-03-01,31.48,32.48,31.475,32.46,6305079.0
2016-03-02,32.46,32.84,32.41,32.75,4118412.0
2016-03-03,32.22,32.81,31.925,32.74,4741028.0
2016-03-04,32.52,32.6001,31.845,32.5,4485628.0
2016-03-07,32.59,34.77,32.5,33.61,10658503.0
2016-03-08,33.62,34.29,33.42,33.57,5239641.0
2016-03-09,33.67,34.25,33.65,33.92,4827620.0
2016-03-10,34.05,34.07,32.64,33.07,4462206.0
2016-03-11,33.25,33.31,32.78,33.04,4102825.0
2016-03-14,33.54,33.57,32.685,33.49,5579018.0
2016-03-15,33.19,33.56,33.0801,33.31,3669008.0
2016-03-16,33.22,33.89,32.98,33.37,4107096.0
2016-03-17,32.94,33.08,32.57,32.92,5193863.0
2016-03-18,33.05,33.59,32.87,33.42,8777074.0
2016-03-21,33.43,33.57,33.01,33.27,2945379.0
2016-03-22,33.18,33.305,32.68,32.93,3310447.0
2016-03-23,32.99,32.99,31.96,32.12,3661762.0
2016-03-24,31.97,32.155,31.51,32.14,3139400.0
