Date,Open,High,Low,Close,Volume
2016-01-04,60.5,61.49,60.36,61.46,11988833.0
2016-01-05,62.03,63.05,61.85,62.92,13325063.0
2016-01-06,62.48,63.95,62.47,63.55,16564074.0
2016-01-07,62.97,65.23,62.92,65.03,26427257.0
2016-01-08,65.08,65.41,63.41,63.54,17765041.0
2016-01-11,63.76,64.465,63.625,64.22,12652602.0
2016-01-12,64.38,64.73,63.431,63.62,12194283.0
2016-01-13,63.73,63.73,61.83,61.92,13725740.0
2016-01-14,62.0,63.62,61.82,63.06,12934566.0
2016-01-15,61.55,62.47,61.26,61.93,15171377.0
2016-01-19,62.25,62.8,62.01,62.56,13051305.0
2016-01-20,61.8,62.33,60.2,60.84,17367780.0
2016-01-21,60.98,62.79,60.91,61.88,12088980.0
2016-01-22,62.44,63.26,62.13,62.69,9197462.0
2016-01-25,62.78,63.82,62.55,63.45,12823265.0
2016-01-26,63.36,64.47,63.26,64.0,9441146.0
2016-01-27,64.1,65.18,63.89,63.95,10213965.0
2016-01-28,64.03,64.51,63.43,64.22,11278194.0
2016-01-29,64.75,66.53,64.74,66.36,16437904.0
2016-02-01,65.91,67.93,65.89,67.5,14727358.0
2016-02-02,67.3,67.84,66.28,66.86,13585054.0
2016-02-03,67.31,67.5,65.07,66.27,12315265.0
2016-02-04,65.76,66.55,65.01,66.42,12833366.0
2016-02-05,66.86,67.53,65.88,67.0,14195739.0
2016-02-08,66.5,67.15,65.163,66.9,20743404.0
2016-02-09,65.49,66.41,64.68,65.81,14642057.0
2016-02-10,66.19,66.59,65.645,65.79,9708996.0
2016-02-11,65.02,65.76,64.78,65.32,11186005.0
2016-02-12,65.52,66.25,64.87,66.18,9695125.0
2016-02-16,66.61,66.8,65.5,65.9,11356522.0
2016-02-17,66.1,66.61,65.81,66.11,12416647.0
2016-02-18,63.74,64.78,62.35,64.12,27894515.0
2016-02-19,63.89,64.765,63.44,64.66,15558412.0
2016-02-22,64.96,66.135,64.96,65.63,10586801.0
2016-02-23,65.84,66.6,65.28,66.48,11432011.0
2016-02-24,66.19,67.33,65.72,67.12,10286797.0
2016-02-25,67.45,68.13,67.33,68.04,9581195.0
2016-02-26,68.08,68.2,66.3,66.51,10981181.0
2016-02-29,66.63,66.95,66.22,66.34,9345004.0
2016-03-01,66.65,66.89,66.0,66.46,10427925.0
2016-03-02,66.21,66.67,66.0,66.21,9164983.0
2016-03-03,65.95,66.2,64.88,66.14,11846211.0
2016-03-04,66.14,67.28,66.09,66.78,10010539.0
2016-03-07,66.62,68.48,66.27,67.89,12825429.0
2016-03-08,67.73,68.47,67.485,68.04,9947466.0
2016-03-09,67.79,67.99,67.12,67.53,7824756.0
