Date,Open,High,Low,Close,Volume
2016-01-04,44.81,45.53,44.3949,45.52,1646254.0
2016-01-05,45.57,45.705,45.24,45.49,1566922.0
2016-01-06,44.7,44.895,44.0,44.23,1378315.0
2016-01-07,43.32,44.58,43.15,43.79,1994407.0
2016-01-08,43.54,43.67,41.74,41.93,2958780.0
2016-01-11,42.07,42.2,39.41,39.76,3725662.0
2016-01-12,40.02,40.44,37.9,38.35,3538004.0
2016-01-13,37.92,40.02,37.89,37.96,4673555.0
2016-01-14,38.14,38.93,37.42,38.5,1770883.0
2016-01-15,37.55,38.16,36.9,37.05,2434447.0
2016-01-19,37.44,37.58,36.218,36.46,2377798.0
2016-01-20,35.88,36.77,34.52,36.05,2680409.0
2016-01-21,36.23,37.36,35.78,36.41,1647912.0
2016-01-22,37.25,38.18,36.91,37.74,1873201.0
2016-01-25,34.07,34.19,31.53,32.11,8386684.0
2016-01-26,32.4,32.94,31.86,32.08,2887274.0
2016-01-27,31.73,33.7099,31.73,32.6,2064444.0
2016-01-28,32.8,33.3,31.63,31.65,2466838.0
2016-01-29,31.86,35.41,31.7,35.28,5158792.0
2016-02-01,34.79,35.26,33.4,35.01,3585805.0
2016-02-02,34.14,34.39,33.32,33.36,3029772.0
2016-02-03,33.95,34.31,32.89,33.31,3747026.0
2016-02-04,33.13,34.55,33.11,34.43,3319042.0
2016-02-05,34.21,34.86,33.3,33.4,1402320.0
2016-02-08,33.2,33.39,31.8,32.19,2066269.0
2016-02-09,31.67,32.927,31.63,32.69,3128848.0
2016-02-10,31.63,33.15,31.29,31.35,3092819.0
2016-02-11,30.82,31.3,29.73,29.94,2988264.0
2016-02-12,30.38,31.09,30.12,31.03,2271281.0
2016-02-16,31.5,31.69,30.6903,31.51,2352671.0
2016-02-17,32.07,33.12,31.71,32.71,2006866.0
2016-02-18,32.85,33.16,32.0,32.73,1989132.0
2016-02-19,31.67,32.49,30.56,31.56,3522612.0
2016-02-22,32.97,32.97,31.76,32.35,1492379.0
2016-02-23,32.17,32.68,31.93,32.58,1446714.0
2016-02-24,32.01,32.63,31.66,32.31,1663941.0
2016-02-25,32.56,32.99,31.84,32.42,1435968.0
2016-02-26,32.54,34.093,32.19,33.56,2113596.0
2016-02-29,32.54,35.19,32.54,33.77,2816120.0
2016-03-01,34.18,35.415,33.98,35.4,1932642.0
2016-03-02,35.2,36.98,35.07,36.9,2884122.0
2016-03-03,36.73,37.83,36.73,37.68,2447455.0
2016-03-04,37.91,38.0,36.23,36.76,3203757.0
2016-03-07,36.64,37.19,35.63,36.24,2099353.0
2016-03-08,35.84,36.135,34.66,35.36,2393392.0
2016-03-09,35.65,36.04,35.28,35.6,2395293.0
2016-03-10,35.64,35.92,34.56,35.04,1716136.0
2016-03-11,35.53,36.99,35.165,36.96,1555194.0
2016-03-14,36.3,38.41,36.3,38.02,2476718.0
2016-03-15,37.93,37.93,36.4,37.02,1277932.0
2016-03-16,37.05,38.25,36.605,37.99,2021710.0
2016-03-17,37.75,39.59,37.75,39.39,2604935.0
2016-03-18,39.5,39.9,38.29,39.43,8024556.0
2016-03-21,39.27,40.647,39.27,40.11,2768376.0
2016-03-22,39.68,40.44,39.52,40.19,2172964.0
2016-03-23,39.86,40.12,39.03,39.2,1255647.0
2016-03-24,38.63,38.74,38.15,38.53,1519127.0
2016-03-28,38.66,38.76,38.05,38.46,1116612.0
2016-03-29,38.09,38.98,37.4,38.96,1378286.0
2016-03-30,38.99,39.32,37.5,38.25,1509728.0
2016-03-31,38.16,39.07,38.08,39.03,2292068.0
2016-04-01,38.78,39.48,38.46,39.2,1975259.0
2016-04-04,39.0,39.39,37.78,37.84,1351319.0
2016-04-05,37.47,37.65,36.19,36.47,1503686.0
2016-04-06,36.39,37.37,36.39,37.35,1355102.0
2016-04-07,36.94,37.45,36.785,37.0,1816216.0
2016-04-08,35.52,37.4,35.52,37.19,1877984.0
2016-04-11,37.59,38.06,37.03,37.23,1039877.0
2016-04-12,37.21,38.05,36.96,37.94,1543639.0
2016-04-13,38.23,39.15,38.09,39.11,1352569.0
2016-04-14,39.2,39.2,38.04,38.31,1500186.0
2016-04-15,38.12,38.98,38.12,38.62,1760421.0
2016-04-18,38.06,39.01,38.06,39.01,1380363.0
2016-04-19,39.25,40.31,39.21,39.79,1680250.0
2016-04-20,39.79,40.07,39.425,39.55,1455749.0
2016-04-21,39.41,40.18,39.35,39.41,1647061.0
2016-04-22,38.84,40.97,38.84,40.74,2868999.0
2016-04-25,40.25,40.5,38.97,39.74,1776866.0
2016-04-26,39.73,40.92,39.73,40.8,2161450.0
2016-04-27,40.73,41.88,40.66,41.63,2021620.0
2016-04-28,41.24,42.32,40.86,41.75,3306553.0
2016-04-29,43.52,44.485,40.91,41.85,2842606.0
2016-05-02,41.8,41.8,40.51,41.32,1913636.0
2016-05-03,41.03,41.03,39.3901,39.93,2337720.0
2016-05-04,39.57,39.57,38.34,38.96,2313667.0
2016-05-05,39.07,40.31,38.8001,40.19,1819715.0
2016-05-06,40.05,41.03,39.71,40.9,1608715.0
2016-05-09,40.94,41.69,40.81,41.57,1745386.0
2016-05-10,41.95,42.47,41.405,42.43,2278778.0
2016-05-11,42.51,43.26,41.73,42.78,2631893.0
2016-05-12,43.21,43.6,42.2989,42.51,1509266.0
2016-05-13,42.45,42.89,41.82,42.56,2153541.0
2016-05-16,39.33,41.1,38.29,39.63,3935533.0
2016-05-17,39.2,39.21,37.58,37.97,3815250.0
