Date,Open,High,Low,Close,Volume
2016-01-04,71.39,71.46,70.09,70.88,1626758.0
2016-01-05,71.25,71.76,70.65,71.44,1692417.0
2016-01-06,70.63,71.335,68.91,69.62,1944755.0
2016-01-07,68.64,69.51,68.39,68.87,1716205.0
2016-01-08,69.25,70.26,68.5,68.66,1398910.0
2016-01-11,69.34,70.26,68.41,69.16,1304414.0
2016-01-12,69.82,70.47,68.59,69.58,834625.0
2016-01-13,69.77,69.9099,66.78,67.4,1943789.0
2016-01-14,67.33,67.57,65.62,66.74,1836275.0
2016-01-15,64.86,66.15,63.99,65.41,1787370.0
2016-01-19,66.35,66.68,63.89,64.74,1423883.0
2016-01-20,63.7,65.84,61.72,64.99,2407264.0
2016-01-21,64.94,67.27,64.4,65.95,1808183.0
2016-01-22,66.99,67.69,66.29,67.06,1149533.0
2016-01-25,67.04,67.62,63.54,63.78,2123214.0
2016-01-26,63.94,65.82,63.42,65.37,1617796.0
2016-01-27,65.14,66.0,64.33,64.61,1851119.0
2016-01-28,65.35,65.6899,63.02,63.41,1478064.0
2016-01-29,63.41,65.02,63.41,64.9,2219222.0
2016-02-01,64.58,65.55,64.21,65.05,1669686.0
2016-02-02,64.05,64.6299,62.415,62.63,1558759.0
2016-02-03,63.24,63.57,61.82,63.42,1731847.0
2016-02-04,63.3,64.91,63.22,64.6,1344442.0
2016-02-05,64.52,64.78,62.62,62.7,1654461.0
2016-02-08,61.91,62.31,60.59,61.63,2523572.0
2016-02-09,63.32,64.77,62.01,63.21,3957098.0
2016-02-10,63.86,65.28,63.21,64.66,2245462.0
2016-02-11,63.59,64.88,63.18,63.67,1468560.0
2016-02-12,64.35,65.67,63.53,65.59,1390017.0
2016-02-16,66.61,67.66,66.19,67.08,1562982.0
2016-02-17,68.04,69.64,67.81,68.94,1811258.0
2016-02-18,68.93,69.2,67.425,68.71,1356909.0
2016-02-19,68.29,69.35,68.13,69.17,1002251.0
2016-02-22,69.9,70.69,69.9,70.64,1110528.0
2016-02-23,70.55,71.13,70.02,70.26,1721424.0
2016-02-24,69.18,70.835,68.4,70.68,1256507.0
2016-02-25,71.03,71.67,70.59,71.65,1344995.0
2016-02-26,72.7,73.24,72.05,72.58,1101126.0
2016-02-29,72.43,73.48,72.16,72.84,1771068.0
2016-03-01,73.66,74.89,73.2501,74.67,1455005.0
2016-03-02,74.49,75.66,74.35,75.03,1719406.0
2016-03-03,75.03,75.72,74.81,75.61,1207650.0
2016-03-04,75.74,76.7,75.67,76.04,1238545.0
2016-03-07,75.86,76.83,75.58,76.24,1424997.0
2016-03-08,75.69,75.9,74.28,74.36,1351603.0
2016-03-09,74.43,74.52,73.6,74.04,886392.0
2016-03-10,74.36,75.11,72.89,74.0,1085064.0
2016-03-11,74.88,76.6,74.4901,76.52,1133939.0
2016-03-14,76.76,77.38,76.14,76.45,1079287.0
2016-03-15,76.02,76.63,75.81,76.09,1070798.0
2016-03-16,75.69,77.4,75.5525,77.26,1189454.0
2016-03-17,76.94,79.26,76.87,79.05,2173538.0
2016-03-18,79.71,81.08,79.48,80.79,2954386.0
2016-03-21,79.0,79.6,75.09,77.07,4769382.0
2016-03-22,76.35,76.69,75.29,76.15,1890870.0
2016-03-23,76.12,76.12,74.39,74.73,1321750.0
2016-03-24,74.0,75.205,73.42,74.96,966651.0
2016-03-28,75.04,75.49,74.25,74.65,1211947.0
2016-03-29,74.63,75.21,74.13,74.94,999062.0
2016-03-30,75.65,76.495,75.23,76.41,1247710.0
2016-03-31,76.21,77.35,75.84,76.43,1337322.0
2016-04-01,75.64,76.133,74.6,75.39,1370909.0
2016-04-04,75.36,75.86,75.07,75.42,1180717.0
2016-04-05,75.04,75.28,74.58,74.92,924154.0
2016-04-06,74.92,75.51,74.32,75.5,1345795.0
2016-04-07,75.25,75.75,74.15,74.85,1365327.0
2016-04-08,75.29,75.91,74.88,75.5,921142.0
2016-04-11,76.0,77.49,75.71,76.44,1926410.0
2016-04-12,76.41,77.17,76.265,76.86,982743.0
2016-04-13,77.29,78.14,76.905,78.0,963075.0
2016-04-14,78.19,78.37,77.43,77.8,547019.0
2016-04-15,78.07,78.265,77.61,77.72,854702.0
2016-04-18,77.31,77.5,76.74,77.04,1079710.0
