Date,Open,High,Low,Close,Volume
2016-01-04,67.03,69.2743,64.64,68.77,4249811.0
2016-01-05,69.24,72.64,67.65,70.07,4286074.0
2016-01-06,67.73,68.88,65.36,66.44,3316082.0
2016-01-07,63.94,64.01,59.8,60.19,5525585.0
2016-01-08,61.51,63.09,57.55,57.74,5739956.0
2016-01-11,59.01,59.99,56.01,56.79,4612373.0
2016-01-12,58.45,58.62,54.93,55.62,3806449.0
2016-01-13,56.16,56.89,51.634,52.47,5412986.0
2016-01-14,52.76,52.99,49.95,51.5,4978199.0
2016-01-15,53.16,59.125,52.05,58.37,10548094.0
2016-01-19,59.85,61.12,57.3101,59.13,5851507.0
2016-01-20,57.51,57.7,52.52,56.33,6212920.0
2016-01-21,56.42,57.47,54.33,56.68,4076555.0
2016-01-22,59.0,60.79,57.96,59.17,3590006.0
2016-01-25,60.98,63.75,60.17,61.0,5653956.0
2016-01-26,61.64,63.74,59.66,63.41,3065061.0
2016-01-27,62.69,65.0,61.25,62.23,3125804.0
2016-01-28,64.67,66.41,62.29,63.15,3660737.0
2016-01-29,63.71,67.36,63.55,67.34,3137641.0
2016-02-01,66.51,67.68,63.55,67.1,3953064.0
2016-02-02,65.54,65.95,61.26,62.0,5434337.0
2016-02-03,62.47,63.9099,59.53,63.17,4244309.0
2016-02-04,62.49,65.5,61.31,63.78,3671378.0
2016-02-05,63.31,64.34,61.5,61.91,2462127.0
2016-02-08,61.08,61.46,57.05,58.8,3846555.0
2016-02-09,57.47,60.76,56.58,58.45,2733703.0
2016-02-10,59.01,60.2,57.61,58.14,2776627.0
2016-02-11,58.46,61.66,56.51,59.69,5410806.0
2016-02-12,62.75,69.28,62.3,69.14,10716630.0
2016-02-16,70.84,76.0,69.85,74.65,9057822.0
2016-02-17,75.31,78.27,73.66,76.21,6938908.0
2016-02-18,75.65,79.75,73.55,78.45,6318313.0
2016-02-19,76.37,77.69,75.65,77.18,4207768.0
2016-02-22,79.18,81.32,78.62,79.53,4864286.0
2016-02-23,79.71,80.77,78.23,79.65,4283953.0
2016-02-24,78.44,80.03,75.57,79.67,4629121.0
2016-02-25,78.92,80.8,77.8,80.63,2670567.0
2016-02-26,81.39,83.6,81.18,82.17,2963423.0
2016-02-29,82.17,83.12,81.61,82.48,2443685.0
2016-03-01,84.45,86.24,84.17,84.51,5704973.0
2016-03-02,85.08,85.365,83.3,85.0,5406944.0
2016-03-03,84.15,88.87,83.58,88.35,5501369.0
2016-03-04,88.37,88.3899,84.32,85.44,6043705.0
2016-03-07,83.5,85.8,82.08,83.99,5196995.0
2016-03-08,83.2,83.85,80.12,80.27,3564395.0
2016-03-09,81.42,82.44,79.77,81.56,2373544.0
2016-03-10,82.74,84.77,81.3,84.06,3265203.0
2016-03-11,83.54,87.21,83.2,86.06,3903532.0
2016-03-14,86.16,87.17,84.66,85.22,2555874.0
2016-03-15,86.07,86.49,81.9464,83.25,3402115.0
2016-03-16,82.89,86.6,82.7,86.3,2380011.0
2016-03-17,86.7,89.28,86.6,88.8,3257924.0
2016-03-18,91.68,96.5604,91.36,94.02,7033643.0
2016-03-21,93.08,93.2999,90.061,92.74,2733596.0
2016-03-22,94.33,96.6,93.68,95.0,4003273.0
2016-03-23,94.75,94.77,91.5,91.76,2251653.0
2016-03-24,90.5,93.68,89.55,93.47,3299510.0
2016-03-28,93.53,93.89,89.61,92.83,3305621.0
2016-03-29,94.72,95.43,92.15,94.14,3412723.0
2016-03-30,95.65,95.99,91.74,93.99,3214215.0
2016-03-31,94.08,94.62,92.01,93.43,2973099.0
2016-04-01,91.84,95.25,90.34,94.74,4544990.0
2016-04-04,94.56,96.22,93.17,93.4,2754961.0
2016-04-05,91.62,93.3,90.4,90.92,4427082.0
2016-04-06,91.7,91.82,85.72,89.55,7577053.0
2016-04-07,95.04,100.84,94.77,99.99,12644101.0
2016-04-08,100.62,102.44,97.4,98.78,6249676.0
2016-04-11,99.63,101.45,98.3,98.31,3806875.0
2016-04-12,97.76,98.2212,95.52,97.19,3439515.0
2016-04-13,96.37,98.195,95.73,97.68,2991667.0
2016-04-14,101.0,101.16,96.6,97.67,3933212.0
2016-04-15,97.42,98.66,96.8101,97.67,1860989.0
2016-04-18,97.09,97.38,95.9,96.48,2528898.0
2016-04-19,96.71,100.4,96.71,99.99,3433298.0
2016-04-20,99.27,100.98,98.5,99.39,2424557.0
2016-04-21,96.79,97.1799,94.36,95.79,5222400.0
2016-04-22,95.53,96.77,94.38,96.0,2481996.0
2016-04-25,95.83,95.83,89.94,90.94,4901501.0
2016-04-26,90.94,92.28,89.26,89.66,3680855.0
2016-04-27,89.39,91.09,88.88,89.17,2514768.0
2016-04-28,88.36,92.37,88.29,89.22,2969777.0
2016-04-29,88.02,90.78,87.77,88.3,3214663.0
2016-05-02,91.3,94.49,90.77,94.28,4269257.0
2016-05-03,92.99,95.73,91.58,94.45,3669064.0
2016-05-04,92.38,93.47,90.12,91.23,3308154.0
2016-05-05,91.07,91.56,88.98,89.62,3925552.0
2016-05-06,91.61,92.86,88.58,91.21,3671643.0
2016-05-09,91.55,92.165,89.06,89.62,2693027.0
2016-05-10,89.84,94.09,89.72,94.03,3093236.0
2016-05-11,93.99,94.24,92.06,92.96,2085338.0
2016-05-12,93.69,94.39,91.51,93.42,1876110.0
2016-05-13,92.53,93.29,89.73,89.95,2340992.0
2016-05-16,89.84,91.84,89.55,90.88,1520512.0
2016-05-17,90.88,93.6,90.29,91.23,1978769.0
2016-05-18,90.41,91.64,88.09,88.45,2691399.0
2016-05-19,87.7,89.32,87.16,88.45,2505311.0
2016-05-20,88.93,90.257,88.605,88.96,1746942.0
2016-05-23,89.3,91.98,89.0,91.48,2112047.0
2016-05-24,92.38,93.59,91.7011,93.22,1620409.0
2016-05-25,93.87,97.1852,93.8,96.65,3365998.0
2016-05-26,97.45,97.45,93.81,94.62,1975033.0
2016-05-27,94.55,96.8,94.09,95.96,1597959.0
2016-05-31,96.4,97.7,95.7,96.18,2139066.0
2016-06-01,94.01,97.01,93.08,96.73,2100508.0
2016-06-02,96.84,99.87,96.01,99.41,2985406.0
2016-06-03,98.92,98.94,96.06,98.5,2769190.0
