Date,Open,High,Low,Close,Volume
2016-01-04,35.61,35.87,35.39,35.7,2819292.0
2016-01-05,35.68,36.14,35.19,36.06,2141174.0
2016-01-06,35.85,36.6,35.74,36.44,5191872.0
2016-01-07,36.1,36.66,36.055,36.58,5212230.0
2016-01-08,36.58,36.75,36.08,36.18,3005505.0
2016-01-11,36.23,36.61,36.21,36.47,3885497.0
2016-01-12,36.61,36.7,35.87,36.33,3354193.0
2016-01-13,36.3,36.68,36.05,36.11,4818019.0
2016-01-14,36.17,36.93,36.15,36.71,3671440.0
2016-01-15,36.23,36.73,35.99,36.5,3878549.0
2016-01-19,36.73,37.35,36.5665,37.21,5422532.0
2016-01-20,37.1,37.24,36.11,36.62,5464385.0
2016-01-21,36.65,37.06,35.91,36.13,5359249.0
2016-01-22,36.31,36.67,36.01,36.63,4530973.0
2016-01-25,36.65,36.76,36.295,36.53,2343133.0
2016-01-26,36.65,37.09,36.4,36.77,2709050.0
2016-01-27,36.69,37.17,36.385,36.68,3760169.0
2016-01-28,36.36,37.84,36.1,37.57,3168006.0
2016-01-29,37.54,38.26,37.5,38.22,5407145.0
2016-02-01,38.09,38.74,37.9,38.56,6105036.0
2016-02-02,38.33,38.995,38.29,38.98,5094618.0
2016-02-03,38.88,39.43,36.25,39.25,8312260.0
2016-02-04,39.13,39.5033,38.82,39.07,5492676.0
2016-02-05,38.92,39.63,38.47,39.53,5090738.0
2016-02-08,39.51,40.21,38.865,39.25,7091229.0
2016-02-09,39.24,39.745,39.03,39.62,4267762.0
2016-02-10,39.5,39.77,38.7848,39.35,4688783.0
2016-02-11,39.29,39.46,38.87,38.99,4570967.0
2016-02-12,39.04,39.3,38.46,38.82,4062011.0
2016-02-16,38.92,38.92,38.43,38.83,3158875.0
2016-02-17,38.94,38.95,38.5001,38.94,4160120.0
2016-02-18,39.02,39.82,38.9,39.64,3784971.0
2016-02-19,39.72,39.72,39.22,39.33,4361583.0
2016-02-22,39.48,39.76,39.27,39.67,2395782.0
2016-02-23,39.54,39.9,39.36,39.83,2925474.0
