Date,Open,High,Low,Close,Volume
2016-01-04,46.12,46.13,45.36,45.8,3472249.0
2016-01-05,45.81,46.765,45.61,46.48,3895832.0
2016-01-06,45.77,45.98,45.17,45.63,2748012.0
2016-01-07,44.74,45.32,43.74,43.83,3939038.0
2016-01-08,43.67,44.12,42.84,42.93,4067028.0
2016-01-11,43.36,43.75,42.76,43.12,3612195.0
2016-01-12,43.53,43.53,42.76,43.36,2941432.0
2016-01-13,43.52,43.7,41.849,41.91,3847011.0
2016-01-14,42.13,42.56,41.52,42.41,4700148.0
2016-01-15,41.05,42.96,40.44,42.81,7656773.0
2016-01-19,43.42,43.5099,42.1,42.79,4548708.0
2016-01-20,42.58,43.59,41.69,43.08,5903164.0
2016-01-21,47.1,48.3,45.96,46.78,11718177.0
2016-01-22,47.51,47.79,47.19,47.72,3715586.0
2016-01-25,47.32,48.31,47.32,47.5,3574831.0
2016-01-26,47.58,48.4,47.37,48.35,3506953.0
2016-01-27,48.35,49.14,47.87,48.14,2606753.0
2016-01-28,47.97,48.4,47.71,47.995,2419389.0
2016-01-29,48.42,50.3,48.35,50.27,4473723.0
2016-02-01,49.91,50.258,49.43,49.9,3148166.0
2016-02-02,49.12,49.68,48.24,48.5,3542402.0
2016-02-03,48.88,48.88,47.17,48.55,4172575.0
2016-02-04,48.69,49.49,48.43,49.36,2255279.0
2016-02-05,49.01,49.15,47.835,48.07,3575645.0
2016-02-08,47.85,47.85,46.555,47.38,4200499.0
2016-02-09,47.0,47.89,46.86,47.22,3177229.0
2016-02-10,47.37,47.8,46.83,46.87,2386852.0
2016-02-11,46.06,47.605,45.85,47.25,3263014.0
2016-02-12,47.53,47.75,46.27,47.65,2845803.0
2016-02-16,48.04,48.38,47.56,48.08,3414206.0
2016-02-17,48.44,49.03,48.08,48.82,2802426.0
2016-02-18,48.82,48.96,47.89,47.94,2452519.0
2016-02-19,47.86,48.57,47.86,48.43,2008712.0
2016-02-22,48.82,49.25,48.56,48.89,2330300.0
2016-02-23,48.57,48.93,48.3,48.46,2019026.0
2016-02-24,47.35,47.87,46.33,47.58,6968683.0
2016-02-25,47.73,48.26,47.22,48.25,2388015.0
2016-02-26,48.51,48.715,48.26,48.39,2404003.0
2016-02-29,48.26,48.47,47.22,47.22,2522418.0
2016-03-01,47.8,48.32,47.24,48.21,2276479.0
2016-03-02,48.19,48.24,47.33,48.16,2571313.0
2016-03-03,47.95,48.29,47.4301,47.86,1412670.0
2016-03-04,47.84,47.84,46.84,47.0,4379352.0
2016-03-07,46.65,47.225,45.91,47.12,3875057.0
2016-03-08,46.64,46.81,45.94,45.95,2040186.0
2016-03-09,46.09,46.72,46.0,46.43,2589533.0
2016-03-10,46.58,47.065,45.91,46.38,2425485.0
2016-03-11,46.88,47.03,46.575,46.72,2882677.0
2016-03-14,46.93,47.58,46.53,47.0,3774022.0
2016-03-15,47.18,47.22,46.81,47.06,2572624.0
2016-03-16,46.7,47.68,46.7,47.65,3380718.0
2016-03-17,47.36,47.5,46.81,47.04,2426629.0
2016-03-18,47.17,47.68,46.9146,47.47,3507564.0
2016-03-21,47.19,47.51,46.99,47.49,4148284.0
2016-03-22,47.46,47.91,47.22,47.57,2078513.0
2016-03-23,47.6,47.65,47.16,47.33,1672871.0
2016-03-24,47.08,47.22,46.9,47.02,2462194.0
2016-03-28,47.18,47.5,46.98,47.04,2188832.0
2016-03-29,47.0,47.325,46.912,47.25,2346485.0
2016-03-30,47.55,47.95,47.25,47.87,2189175.0
2016-03-31,47.84,47.98,47.4,47.43,2503985.0
2016-04-01,46.99,47.695,46.6311,47.62,1930186.0
2016-04-04,47.64,47.64,46.91,47.14,2280129.0
2016-04-05,46.9,47.14,46.8088,46.91,2204154.0
2016-04-06,46.79,47.32,46.42,47.25,1876941.0
2016-04-07,46.96,47.06,46.03,46.14,2677783.0
2016-04-08,46.48,46.75,45.98,46.3,1764134.0
2016-04-11,46.41,46.75,46.185,46.21,1506920.0
2016-04-12,46.11,46.32,45.405,45.87,1770069.0
2016-04-13,46.11,46.745,45.915,46.65,1405211.0
2016-04-14,46.51,46.55,45.69,46.55,2181599.0
2016-04-15,46.49,46.5,45.93,46.01,1682659.0
2016-04-18,46.05,46.31,45.86,46.26,1913644.0
2016-04-19,46.5,46.5,45.7,45.9,1994805.0
2016-04-20,45.79,46.73,45.69,46.46,2952059.0
2016-04-21,46.31,46.35,45.95,46.03,2126258.0
2016-04-22,46.03,46.47,45.75,45.87,2084246.0
2016-04-25,45.76,46.09,45.47,45.79,1571141.0
2016-04-26,45.93,47.08,45.93,46.95,4205411.0
2016-04-27,46.83,47.36,46.35,47.35,3303170.0
2016-04-28,45.0,45.7499,41.53,43.23,18924859.0
2016-04-29,42.99,43.9,42.7099,43.08,4517307.0
2016-05-02,43.21,43.87,43.09,43.74,3141948.0
2016-05-03,43.3,43.49,42.96,43.48,2926527.0
2016-05-04,43.34,43.71,42.84,42.98,3431743.0
2016-05-05,42.97,43.375,42.74,43.09,3033653.0
2016-05-06,42.77,43.22,42.61,43.2,1675280.0
2016-05-09,43.35,43.58,43.01,43.07,2237835.0
2016-05-10,43.15,43.55,42.93,43.24,1878291.0
2016-05-11,43.13,43.43,42.88,43.06,2318722.0
2016-05-12,43.26,43.3,42.37,42.92,2595807.0
2016-05-13,42.84,43.54,42.67,43.24,2941844.0
2016-05-16,42.98,43.82,42.98,43.51,2853744.0
2016-05-17,43.43,44.15,43.3,43.53,3298591.0
2016-05-18,43.36,44.215,43.235,43.93,2731721.0
2016-05-19,43.79,44.06,43.46,43.84,4267619.0
2016-05-20,44.12,44.79,44.02,44.75,2555688.0
2016-05-23,44.89,45.08,44.81,44.89,2795389.0
2016-05-24,45.05,47.89,44.9,47.45,13259313.0
