Date,Open,High,Low,Close,Volume
2016-01-04,26.56,26.91,26.23,26.71,3523301.0
2016-01-05,26.77,26.85,26.24,26.42,2653585.0
2016-01-06,25.91,26.0,25.47,25.65,4164199.0
2016-01-07,24.97,25.46,24.81,24.88,4234049.0
2016-01-08,25.18,25.21,24.545,24.6,3401580.0
2016-01-11,24.79,24.81,24.0,24.11,4627252.0
2016-01-12,24.42,24.51,23.26,24.01,4346853.0
2016-01-13,24.16,24.16,22.605,22.89,6543508.0
2016-01-14,23.1,23.29,22.34,22.99,5925672.0
2016-01-15,22.07,22.42,21.84,22.34,6297852.0
2016-01-19,22.7,22.7,21.71,21.94,3933656.0
2016-01-20,21.44,21.71,20.69,21.47,5413765.0
2016-01-21,21.47,21.78,21.01,21.09,4564790.0
2016-01-22,21.53,21.745,21.22,21.51,3626260.0
2016-01-25,21.36,21.43,20.33,20.39,5023437.0
2016-01-26,20.74,21.76,20.73,21.25,6930452.0
2016-01-27,21.16,22.56,21.03,21.78,6364095.0
2016-01-28,22.13,22.92,22.0289,22.15,5320236.0
2016-01-29,22.23,22.7,22.09,22.68,4663810.0
2016-02-01,22.55,22.65,22.265,22.5,3114083.0
2016-02-02,22.3,22.37,21.32,21.54,4338012.0
2016-02-03,21.76,21.84,20.78,21.775,4598784.0
2016-02-04,21.74,22.565,21.64,22.05,5028633.0
2016-02-05,22.15,22.38,21.56,21.63,3199305.0
2016-02-08,21.25,21.63,20.41,20.72,4836154.0
2016-02-09,20.33,20.976,20.16,20.77,4782764.0
2016-02-10,20.94,21.44,20.73,20.74,4048528.0
2016-02-11,20.1,20.23,19.65,19.9,4638813.0
2016-02-12,20.41,21.25,20.2,20.99,4314309.0
2016-02-16,21.34,21.905,20.99,21.68,3870442.0
2016-02-17,22.02,22.29,21.5,21.59,3119577.0
2016-02-18,21.68,22.15,21.03,21.17,4097394.0
2016-02-19,21.06,21.53,20.95,21.41,2326445.0
2016-02-22,21.65,22.245,21.63,22.21,4232203.0
2016-02-23,22.06,22.11,21.1,21.21,4109514.0
2016-02-24,20.68,20.99,20.08,20.675,5896029.0
2016-02-25,20.79,21.25,20.41,21.23,3852239.0
2016-02-26,21.55,22.09,21.35,21.77,4091791.0
2016-02-29,21.72,21.83,21.31,21.32,2989449.0
2016-03-01,21.46,22.64,21.4,22.31,3979983.0
2016-03-02,22.36,22.88,22.3,22.83,2334820.0
2016-03-03,22.8,23.57,22.744,23.56,3143453.0
2016-03-04,23.78,24.625,23.545,24.34,7573670.0
2016-03-07,24.1,24.6,23.7,24.44,3134521.0
2016-03-08,24.12,24.37,23.54,23.68,3082938.0
2016-03-09,23.95,24.04,23.415,23.58,2667370.0
2016-03-10,23.84,24.22,23.43,24.14,3777034.0
2016-03-11,24.42,24.97,24.41,24.93,3205741.0
2016-03-14,24.65,25.02,24.42,24.83,2526985.0
2016-03-15,24.5,24.86,24.16,24.83,3107264.0
2016-03-16,24.73,25.21,24.32,24.8,3566694.0
2016-03-17,24.79,25.09,24.38,25.01,2957064.0
2016-03-18,25.18,25.58,23.93,25.21,4923722.0
2016-03-21,25.22,25.6,25.01,25.39,2181185.0
2016-03-22,24.91,25.56,24.91,25.35,1898541.0
2016-03-23,25.24,25.32,24.85,24.94,2220966.0
2016-03-24,24.67,25.08,24.185,25.02,2812924.0
2016-03-28,25.07,25.27,24.61,24.75,2118126.0
2016-03-29,24.5,24.5,23.62,24.33,5249405.0
2016-03-30,24.68,25.01,24.2,24.63,2744936.0
2016-03-31,24.44,24.76,24.04,24.21,2789901.0
2016-04-01,24.0,24.19,23.57,24.17,2686827.0
2016-04-04,24.2,24.58,24.0,24.14,2499060.0
2016-04-05,23.79,24.02,23.54,23.66,2393371.0
2016-04-06,23.67,24.03,23.47,23.97,2117991.0
2016-04-07,23.63,23.73,23.14,23.3,2535288.0
2016-04-08,23.65,24.005,23.3,23.47,3110998.0
2016-04-11,23.67,24.11,23.57,23.72,1999227.0
2016-04-12,23.85,24.65,23.73,24.49,3151809.0
2016-04-13,24.51,25.41,24.49,25.33,4084609.0
2016-04-14,25.23,26.11,25.17,25.58,2952511.0
2016-04-15,25.65,25.7,25.335,25.54,2404629.0
2016-04-18,25.27,25.91,25.2,25.72,2251714.0
2016-04-19,25.85,26.3,25.63,26.29,2835893.0
2016-04-20,25.76,26.96,25.76,26.91,2993922.0
2016-04-21,26.98,27.38,26.665,26.72,2506662.0
2016-04-22,26.74,27.34,26.66,27.28,2924068.0
2016-04-25,27.13,27.35,26.77,27.29,4044120.0
2016-04-26,26.42,27.65,26.42,27.45,5048303.0
2016-04-27,27.45,27.86,27.23,27.84,3110241.0
2016-04-28,27.6,27.87,27.32,27.51,2744853.0
2016-04-29,27.43,27.76,27.23,27.52,3010521.0
2016-05-02,27.71,27.74,27.215,27.5,2275406.0
2016-05-03,27.08,27.35,26.59,26.83,2715573.0
2016-05-04,26.61,26.89,25.55,25.93,4993431.0
2016-05-05,26.03,26.22,25.69,25.88,2453795.0
2016-05-06,25.59,26.03,25.53,25.99,2274765.0
2016-05-09,26.22,26.22,25.65,26.02,2883883.0
2016-05-10,26.25,26.79,26.24,26.66,2953559.0
2016-05-11,26.53,27.07,26.46,26.66,2872923.0
2016-05-12,26.95,27.21,26.23,26.4,2444389.0
2016-05-13,26.31,26.75,25.79,25.88,2068158.0
2016-05-16,25.8,26.48,25.78,26.24,2695623.0
2016-05-17,26.05,26.64,25.91,26.2,3250460.0
2016-05-18,26.21,27.3801,26.16,27.34,4099634.0
2016-05-19,27.1,27.78,26.69,26.94,3738793.0
2016-05-20,27.04,27.42,27.0101,27.17,2141757.0
2016-05-23,27.16,27.35,26.82,27.14,1855267.0
2016-05-24,27.39,27.805,27.28,27.57,2007428.0
2016-05-25,27.7,28.48,27.64,28.17,3725290.0
2016-05-26,28.22,28.26,27.77,27.84,2513044.0
2016-05-27,27.92,28.17,27.68,28.16,2057324.0
2016-05-31,28.39,28.48,27.92,28.02,2272581.0
2016-06-01,27.77,28.395,27.41,28.39,2606475.0
2016-06-02,28.29,28.67,28.15,28.67,2300653.0
2016-06-03,28.12,28.38,27.45,28.34,4566664.0
2016-06-06,28.41,29.23,28.36,29.13,4002743.0
2016-06-07,29.46,29.46,28.98,29.03,3671593.0
2016-06-08,29.02,29.3,28.88,29.11,2238106.0
2016-06-09,28.92,28.96,28.415,28.7,3420552.0
2016-06-10,28.23,28.3,27.871,27.99,2680832.0
2016-06-13,27.66,28.1,27.52,27.52,2995028.0
2016-06-14,27.36,27.66,26.7,26.82,3369950.0
2016-06-15,26.93,27.58,26.77,26.92,3467699.0
2016-06-16,26.65,26.8,26.15,26.43,3933196.0
2016-06-17,26.55,26.91,26.32,26.63,5174104.0
2016-06-20,27.17,27.42,26.61,26.67,2589684.0
2016-06-21,26.74,26.87,26.34,26.82,1941164.0
2016-06-22,26.82,27.29,26.611,26.97,2940459.0
2016-06-23,27.45,28.17,27.31,28.16,3015819.0
2016-06-24,26.35,26.78,25.28,25.29,7663277.0
2016-06-27,24.92,25.11,23.34,23.59,4689532.0
2016-06-28,24.12,24.5,23.86,24.39,4786561.0
2016-06-29,24.41,25.025,24.27,24.99,4860988.0
2016-06-30,25.29,25.46,24.85,25.13,6933986.0
2016-07-01,24.93,25.235,24.5006,24.92,4301706.0
2016-07-05,24.47,24.515,23.02,23.44,7121685.0
2016-07-06,23.29,23.99,23.02,23.99,5310937.0
2016-07-07,24.5,24.71,24.1,24.41,4741414.0
2016-07-08,24.82,25.12,24.545,24.74,4748880.0
2016-07-11,25.0,25.27,24.8,24.93,3581718.0
2016-07-12,25.35,25.76,25.16,25.61,4195251.0
2016-07-13,25.52,25.71,25.27,25.55,2856983.0
2016-07-14,26.11,26.29,25.84,26.02,2867796.0
2016-07-15,26.25,26.27,25.9,26.01,2257737.0
2016-07-18,26.0,26.09,25.741,25.86,2414253.0
2016-07-19,25.79,26.11,25.6201,25.88,1854976.0
2016-07-20,25.94,26.06,25.65,25.97,2124544.0
2016-07-21,26.04,26.27,25.67,26.0,2775838.0
2016-07-22,26.15,26.41,25.78,26.31,2928215.0
2016-07-25,26.37,26.41,26.12,26.3,2371492.0
2016-07-26,26.36,26.785,26.0,26.59,4056897.0
2016-07-27,27.6,28.35,27.31,27.98,7550914.0
2016-07-28,27.88,28.38,27.6,28.14,4783281.0
2016-07-29,27.97,28.15,27.7,27.88,3359088.0
2016-08-01,27.9,28.01,27.24,27.35,3850680.0
2016-08-02,27.4,27.61,26.74,27.04,3137419.0
